708794989,6517116,kela,_kela_auron_1__11458,2439,1648282,______________kela,kela,__kela_auron_1__11458,column,2439,1,httpscomfyuachajnikzavarochnyjkelaauron1l11458html,column,05112025_2024,column,__42,Фастів,0
708789770,6567474,RINGEL,Стакан RINGEL Guten Morgen 350 мл (RG-0001/350),129,1653134,Посуда >> Для напитков >> Стаканы >> Стаканы Ringel,ringel,Склянка з подвійними стінками Ringel Guten Morgen 350 мл (RG-0001/350),,224,1,https://comfy.ua/stakan-dlja-kofe-i-chaja-stekljannyj-ringel-guten-morgen-350-ml-rg-0001-350.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
708789951,,,,,1648615,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Набір ємностей для сипучих Kela Thea 3 шт. (11921),,469,1,https://comfy.ua/nabor-emkostej-dlja-sypuchih-kela-thea-3-sht-11921.html,579,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
708790303,,,,,1648255,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Amelie 1.0 л 10х17.5 см (11956),,359,1,https://comfy.ua/emkost-dlja-sypuchih-kela-amelie-1-0-l-10h17-5-sm-11956.html,639,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
708790340,6670268,KELA,Банка KELA Arik 0.6 л 10.5 х 11 см серый (12107),386,1648262,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Arik Grey 0.6 л 10.5х11 см (12107),,429,1,https://comfy.ua/emkost-dlja-sypuchih-kela-arik-grey-0-6-l-10-5h11-sm-12107.html,659,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708790353,6567477,RINGEL,Чашка RINGEL Guten Morgen 250 мл (RG-0002/250),129,1653137,Посуда >> Для напитков >> Чашки >> Чашки Ringel,ringel,Чашка з подвійними стінками Ringel Guten Morgen 250 мл (RG-0002/250),,225,1,https://comfy.ua/chashka-ringel-guten-morgen-250-ml-rg-0002-250.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
708790378,6517176,KELA,Банка KELA Baker 0.6 л (10767),489,1648267,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Baker 0.6 л 9.5х11 см (10767),,489,1,https://comfy.ua/emkost-dlja-sypuchih-kela-baker-0-6-l-9-5h11-sm-10767.html,889,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708790391,6630896,ARDESTO,Набор столовых приборов ARDESTO Black Mars Bergmann 24 шт (AR0724BES),1766,1647431,Посуда >> Для сервировки,ardesto,Набір столових приборів Ardesto Black Mars Bergmann 24 пр (AR0724BES),,1766,1,https://comfy.ua/nabor-stolovyh-priborov-ardesto-black-mars-bergmann-24-pr-ar0724bes.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
708790424,6630897,ARDESTO,Набор столовых приборов ARDESTOBlack Mars Bordeaux 24 шт (AR0724BS),3087,1647432,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір столових приборів Ardesto Black Mars Bordeaux 24 пр (AR0724BS),,3087,1,https://comfy.ua/nabor-stolovyh-priborov-ardesto-black-mars-bordeaux-24-pr-ar0724bs.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
708790427,6517178,KELA,Банка KELA Baker 1.3 л 9.5 х 23.5 см (10769),709,1648269,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Baker 1.3 л 9.5х23.5 см (10769),,709,1,https://comfy.ua/emkost-dlja-sypuchih-kela-baker-1-3-l-9-5h23-5-sm-10769.html,1089,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
708791348,,,,,1648275,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Kela,kela,Ємність для зберігання Kela Salena 15х20.5 см (12067),,1429,1,https://comfy.ua/emkost-dlja-hranenija-kela-salena-15h20-5-sm-12067.html,2189,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
708793454,6670547,KELA,Набор стаканов KELA Fontana 250 мл 2 шт (12417),419,1648599,Посуда >> Для напитков >> Стаканы >> Стаканы Kela,kela,Набір склянок Kela Fontana 250 мл 2 шт. (12417),,419,1,https://comfy.ua/nabor-stakanov-dlja-kofe-i-chaja-kela-fontana-250-ml-2-sht-12417.html,749,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
708793959,,,,,1648875,Посуда >> Нарезка и измельчение,berghoff,Терка Berghoff 3950204 27 см,,519,1,https://comfy.ua/terka-berghoff-3950204-27-sm.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
708794050,,,,,1648877,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Berghoff",berghoff,Терка для імбиру Berghoff 3950201 27 см,,519,1,https://comfy.ua/terka-dlja-imbirja-berghoff-3950201-27-sm.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
708794142,,,,,1648876,Посуда >> Нарезка и измельчение,berghoff,Терка Berghoff 3950202 27 см,,519,1,https://comfy.ua/terka-berghoff-3950202-27-sm.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
708794989,6517116,KELA,Заварник KELA Auron 1 л (11458),2439,1648282,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Kela,kela,Чайник заварювальний Kela Auron 1 л (11458),,2439,1,https://comfy.ua/chajnik-zavarochnyj-kela-auron-1-l-11458.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
708795031,6670191,KELA,Заварник KELA Aurora 1.3 л (16940),2549,1648283,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Kela,kela,Чайник заварювальний Kela Aurora 1.3 л (16940),,2549,1,https://comfy.ua/chajnik-zavarochnyj-kela-aurora-1-3-l-16940.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
