711729969,6709533,interline,__interline_hgs_563_fgk_xm,5767,1659561,____________interline,interline,___interline_hgs_563_fgk_xm,column,6999,1,httpscomfyuavarochnajapanelgazovajainterlinehgs563fgkxmhtml,7799,05112025_2123,column,__42,Фастів,0
712431823,,,,,1648982,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Berghoff,berghoff,Френч-прес Berghoff 1107129 600 мл,,999,1,https://comfy.ua/french-press-berghoff-1107129-650-ml.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
712508591,6677914,ZYXEL,netw.a ZYXEL LTE2566-M634 (LTE2566-M634-EUZNV1F),3999,1660312,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> 3G/4G модемы >> 3G/4G модемы Zyxel",zyxel,Модем 4G Zyxel LTE2566-M634 (LTE2566-M634-EUZNV1F),,3176,1,https://comfy.ua/marshrutizator-ethernet-zyxel-lte2566-m634-lte2566-m634-euznv1f.html,3529,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
713267456,,,,,1656611,Детские товары >> Подгузники и пеленание,huggies,Серветки вологі для дітей Huggies Natural 56х3 шт. (5029053550176),,205,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-huggies-natural-56h3-sht-5029053550176.html,230,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
713273512,,,,,1651068,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення MT-304-NP,,919,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-mt-304-np.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
713467331,6612084,PANASONIC,Гарнитура PANASONIC RB-HX220BEE-K,1599,1662705,"Аудио, фото и видео >> Наушники >> Наушники Panasonic",panasonic,Навушники повнорозмірні бездротові Panasonic RB-HX220BEE-K,,1599,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-panasonic-rb-hx220bee-k.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
713535339,,,,,1656635,Техника для кухни >> Крупная техника,whirlpool,Варильна поверхня електрична Whirlpool WF S0160 NE,,26899,1,https://comfy.ua/catalog/product/view/id/1247323,29099,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
713568621,,,,,1653490,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE505X,,2499,1,https://comfy.ua/tochka-dostupa-tp-link-re505x.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
713569064,,,,,1659113,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway AutoID 2USBx2.1A White (CW-CHS015-WT),,179,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-autoid-2usbx2-1a-white-cw-chs015-wt.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
713571083,6652262,WHIRLPOOL,Варочная поверхность WHIRLPOOL WFS0160NE,26899,1656635,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня електрична Whirlpool WF S0160 NE,,26899,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-whirlpool-wf-s0160-ne.html,29099,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
713571084,6632932,OCEAN,"Бойлер OCEAN FLAT RZB80M, ET+DT",9175,1662180,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели OCEAN,ocean,Водонагрівач OCEAN Flat RZB80M ET+DT,,9175,1,https://comfy.ua/vodonagrevatel-ocean-flat-rzb80m-et-dt.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
713571085,6632931,OCEAN,"Бойлер OCEAN FLAT RZB50M, ET+WT",7793,1662179,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели OCEAN,ocean,Водонагрівач OCEAN Flat RZB50M ET+DT,,8339,1,https://comfy.ua/vodonagrevatel-ocean-flat-rzb50m-et-dt.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
713571090,,,,,1662178,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели OCEAN,ocean,Водонагрівач OCEAN Flat RZB100M ET+WT,,10099,1,https://comfy.ua/vodonagrevatel-ocean-flat-rzb100m-et-wt.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
713592552,,,,,1663939,Техника для кухни >> Мелкая техника,electrolux,Електричний чайник Electrolux E7GK1-8BP,,4399,1,https://comfy.ua/catalog/product/view/id/1248713,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
713596722,6576776,GRAPHITE,Дриль-шуруповерт GRAPHITE Energy+ SET,7499,1662313,Инструменты и автотовары >> Электроинструменты,graphite,Дриль-шуруповерт GRAPHITE Energy+ SET (58G022-PS15),,7499,1,https://comfy.ua/catalog/product/view/id/1245373,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
713712494,,,,,1662039,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Кабель синхронізації даних XOKO USB Type-C to Micro USB Black (XK-AC020-BK),,69,1,https://comfy.ua/kabel-sinhronizacii-dannyh-xoko-usb-type-c-to-micro-usb-black-xk-ac020-bk.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
713713166,,,,,1660313,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Кабель синхронізації даних XOKO AUX-001-BK 1.0mm Black,,199,1,https://comfy.ua/perehodnik-audio-xoko-aux-001-bk-1-0mm-black.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
713715774,,,,,1659165,Техника для дома >> Климатическая техника,sanitas,Зволожувач повітря Sanitas SLB 40,,4109,1,https://comfy.ua/catalog/product/view/id/1249743/s/uvlazhnitel-vozduha-sanitas-slb-40,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
713715801,,,,,1663939,Техника для кухни >> Мелкая техника,electrolux,Електричний чайник Electrolux E7GK1-8BP,,4399,1,https://comfy.ua/catalog/product/view/id/1248713/s/jelektricheskij-chajnik-electrolux-e7gk1-8bp,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
713715816,6662854,SATURN,Соковыжималка SATURN ST-FP7046,1449,1657173,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Saturn,saturn,Соковитискач відцентровий Saturn ST-FP7046,,1449,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-saturn-st-fp7046.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
713726322,6632928,OCEAN,"Бойлер OCEAN FLAT RZB100M, ET+DT",11039,1662181,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели OCEAN,ocean,Водонагрівач OCEAN Flat RZB100M ET+DT,,11039,1,https://comfy.ua/vodonagrevatel-ocean-flat-rzb100m-et-dt.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
713728959,6707493,EPSON,МФУ струйное EPSON EcoTank L15150 WI-FI Black (C11CH72404),59175,.1662089,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",epson,БФП кольорового друку Epson L15150 (C11CH72404),,59175,1,https://comfy.ua/mfu-cvetnoj-pechati-epson-l15150-c11ch72404.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
713730425,6670616,KELA,Форма для запекания KELA Maila 33.5 х 16 см (12483),1759,1650179,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Kela,kela,"Форма для приготування Kela Maila 33,5х16 см (12483)",,1759,1,https://comfy.ua/forma-dlja-prigotovlenija-kela-maila-33-5h16-sm-12483.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
