713738376,column,column,column,column,1660320,___________viewsonic,viewsonic,_viewsonic_pa503s_vs16905,column,14289,1,httpscomfyuaproektorviewsonicpa503svs16905html,column,05112025_1757,column,__42,Фастів,0
711729969,6709533,INTERLINE,Варочная поверхность INTERLINE HGS 563 FGK XM,5767,1659561,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Interline,interline,Варильна поверхня газова Interline HGS 563 FGK XM,,6999,1,https://comfy.ua/varochnaja-panel-gazovaja-interline-hgs-563-fgk-xm.html,7799,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
711906634,6635733,BOSCH,Дрель-шуруповерт BOSCH Professional GSB 12V-30 (0.601.9G9.100),6930,1660446,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Bosch,bosch,Ударний дриль Bosch GSB 12V-30 набор (0.601.9G9.100),,6929,1,https://comfy.ua/udarnaja-drel-bosch-gsb-12v-30-nabor-0-601-9g9-100.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
711968548,6612185,TEFAL,Блендер TEFAL BL91HD31,10999,1661757,Техника для кухни >> Мелкая техника,tefal,Блендер стаціонарний Tefal BL91HD31,,10999,1,https://comfy.ua/catalog/product/view/id/1242543,13799,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
711998250,6625523,ARDESTO,Весы напольные ARDESTO SCB-965TRAVEL,329,1662204,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Ardesto,ardesto,Ваги підлогові Ardesto SCB-965 Travel,,399,1,https://comfy.ua/vesy-napol-nye-ardesto-scb-965-travel.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
712008399,6602621,SAMSUNG,Пылесос SAMSUNG VC05K51F0VP/UK,7199,1648055,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання без мішка Samsung VC05K51F0VP/UK,,5799,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-samsung-vc05k51f0vp-uk.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
712045432,6612185,TEFAL,Блендер TEFAL BL91HD31,10999,1661757,Техника для кухни >> Мелкая техника,tefal,Блендер стаціонарний Tefal BL91HD31,,10999,1,https://comfy.ua/blender-pogruzhnoj-tefal-bl91hd31.html,13799,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
712045457,6570864,HANSA,Варочная поверхность HANSA BHKW310300,7299,1569240,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня газова Hansa BHKW310300,,7299,1,https://comfy.ua/varochnaja-panel-gazovaja-hansa-bhkw310300.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
712149768,6511659,ARIETE,Пароварка ARIETE 0911,1599,1661074,Техника для кухни >> Мелкая техника >> Пароварки >> Пароварки Ariete,ariete,Пароварка Ariete 0911,,1599,1,https://comfy.ua/parovarka-ariete-0911.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
712492624,6658456,MAXMARK,Сковорода MAXMARK Nano Quartz 24 см Black (MK-BG7724),379,1643919,Посуда >> Для приготовления >> Сковороды >> Сковороды Maxmark,maxmark,Сковорода універсальна Maxmark MK-BG7724,,379,1,https://comfy.ua/skovoroda-universal-naja-maxmark-mk-bg7724.html,469,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
713262672,,,,,1662708,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор ігровий Philips 242S1AE/00 Black,,6329,1,https://comfy.ua/monitor-igrovoj-philips-242s1ae-00-black.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
713267540,6443014,PAMPERS,Подгузники PAMPERS Premium Care Midi 3 6-10 кг 120 шт (4015400465461),2349,1656725,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Pampers,pampers,"Одноразові підгузки Pampers Premium Care Розмір 3 Midi (6-10 кг), 120 шт. (81689714)",,1399,1,https://comfy.ua/podguzniki-dlja-detej-pampers-premium-3-120-sht-4015400465461.html,1939,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
713404735,6662854,SATURN,Соковыжималка SATURN ST-FP7046,1449,1657173,Техника для кухни >> Мелкая техника,saturn,Соковитискач відцентровий Saturn ST-FP7046,,1449,1,https://comfy.ua/catalog/product/view/id/1243453/s/sokovyzhimalka-centrobezhnaja-saturn-st-fp7046,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
713467332,6612085,PANASONIC,Гарнитура PANASONIC RB-HX220BEE-S,1599,1662704,"Аудио, фото и видео >> Наушники >> Наушники Panasonic",panasonic,Навушники повнорозмірні бездротові Panasonic RB-HX220BEE-S,,1599,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-panasonic-rb-hx220bee-s.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
