718594582,column,column,column,column,1662444,Инструменты и автотовары >> Электроинструменты,ryobi,_ryobi_rdp102l,column,12999,1,httpscomfyuacatalogproductviewid1248133,column,05112025_2142,column,__42,Фастів,0
718709806,6879692,MIELE,Посудомоечная машина MIELE G 5000 SC CleanSteel,48989,1663047,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Miele,miele,Посудомийна машина окремостояча Miele G 5000 SC CleanSteel,,48989,1,https://comfy.ua/posudomoechnaja-mashina-miele-g-5000-sc-cleansteel.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
718736341,,,,,1668245,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Noveen,noveen,Блендер стаціонарний Noveen Sport Mix & Fit SB1000 Xline,,1449,1,https://comfy.ua/blender-stacionarnyj-noveen-sport-mix-fit-sb1000-xline.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
718816624,,,,,1668375,Инструменты и автотовары >> Садовые инструменты >> Измельчители ветвей >> Измельчители ветвей Ryobi,ryobi,Подрiбнювач садовий Ryobi RSH3045,,12499,1,https://comfy.ua/izmel-chitel-sadovyj-ryobi-rsh3045.html,14999,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
718885892,,,,,1669135,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEA23GLR,,3529,1,https://comfy.ua/catalog/product/view/id/1267023,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
718955469,,,,,1668674,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Кардрідер Transcend TS-RDC8K2 USB 3.1 Gen 1 Type-C,,949,1,https://comfy.ua/catalog/product/view/id/1264933,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
718962817,,,,,1665374,Красота и здоровье >> Уход за телом,beurer,Змінні насадки для манікюрного набору Beurer циліндричний бор для MP 40,,432,1,https://comfy.ua/smennye-nasadki-dlja-manikjurnogo-nabora-beurer-cilindricheskij-bor-dlja-mp-40.html,739,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
718964588,,,,,1647075,Бытовая химия >> Для кухни и мытья посуды,karapuz,"Засіб для ручного миття посуду Карапуз Бальзам з антибактеріальним сріблом, 0,5 л",,26,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-karapuz-bal-zam-s-antibakterial-nym-serebrom-0-5-l.html,48,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
718964958,6603526,SENCOR,Электробритва SENCOR SMS 5011SL,1599,1668333,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Sencor,sencor,Бритва Sencor SMS 5011SL,,1599,1,https://comfy.ua/britva-sencor-sms-5011sl.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
719040704,6615094,GORENJE,Пылесос GORENJE VCEA 23 GLR (TPC01),4499,1669135,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEA23GLR,,3529,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-gorenje-vcea23glr.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
719050378,,,,,1653276,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Аксессуары для графических планшетов >> Аксессуары для графических планшетов Huion",huion,Перо для графічного планшета Huion Scribo PW310,,1999,1,https://comfy.ua/pero-dlja-graficheskogo-plansheta-huion-scribo-pw310.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
719054812,,,,,1663013,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 4V-4Ah (GP44F1),,205,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-4v-4ah-gp44f1.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
719055436,,,,,.1651359,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 550W, APFC 14см вент,80+ (GP-550-White)",,1919,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-550w-apfc-14sm-vent-80-gp-550-white.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
719055438,,,,,.1651350,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 550W APFC 14см вент,80+ (GP-550)",,1919,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-550w-apfc-14sm-vent-80-gp-550.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
719055440,,,,,.1651356,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX 700W (GE-700),,1879,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-700w-ge-700.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
719055445,,,,,1651363,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 800W, box, APFC, 12см,80+ (VP-800)",,2089,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-800w-box-apfc-12sm-80-vp-800.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
719055447,,,,,.1651366,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 600W,RGB,APFC, 12см вент,80+ (VP-600-M-RGB)",,1939,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-600w-rgb-apfc-12sm-vent-80-vp-600-m-rgb.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055449,,,,,1651367,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 700W,RGB,modular, APFC, 12см,80+ (VP-700-M-RGB)",,2199,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-700w-rgb-modular-apfc-12sm-80-vp-700-m-rgb.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
719055451,,,,,1651368,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Блок живлення для ПК Gamemax ATX 800W,RGB,modular, APFC, 12см,80+ (VP-800-M-RGB)",,2279,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-800w-rgb-modular-apfc-12sm-80-vp-800-m-rgb.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055519,,,,,.1651846,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec GPC-700S,,2519,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-gpc-700s.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
719055526,,,,,.1651754,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec TPS-700S,,2699,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-tps-700s.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055560,,,,,1651851,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fsp,Блок живлення для ПК FSP ATX-700PNR PRO,,2399,1,https://comfy.ua/blok-pitanija-dlja-pk-fsp-atx-700pnr-pro.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
719055567,,,,,.1651833,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec BDF-650C,,3509,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-bdf-650c.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055588,,,,,.1652923,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME A520M-K,,2399,1,https://comfy.ua/materinskaja-plata-asus-prime-a520m-k.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
719055727,,,,,.1652886,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B450-PLUS,,3999,1,https://comfy.ua/materinskaja-plata-asus-prime-b450-plus.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055772,,,,,.1652952,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B550M-A,,4079,1,https://comfy.ua/materinskaja-plata-asus-prime-b550m-a.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
719055801,,,,,.1651922,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock AMD AM4 B550 4DDR4 2PCIex16 2M.2 HDMI (B550 Phantom Gaming 4),,4165,1,https://comfy.ua/materinskaja-plata-asrock-amd-am4-b550-4ddr4-2pciex16-2m-2-hdmi-b550-phantom-gaming-4.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
