719566873,6615096,gorenje,_gorenje_vcea_28_glbk_tpc01,4699,1670064,__________gorenje,gorenje,______gorenje_vcea28glbk,column,4699,1,httpscomfyuapylesosdljasuhojuborkismeshkomgorenjevcea28glbkhtml,column,05112025_1848,column,__42,Фастів,0
719281468,7088161,DE BUYER,Крышка DE BUYER 28 см (3429.28),2174,1668235,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды de Buyer,de-buyer,Кришка для посуду de Buyer 28 см 3429.28,,2174,1,https://comfy.ua/kryshka-dlja-posudy-de-buyer-28-sm-3429-28.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
719282639,6676955,INTERLINE,Варочная поверхность INTERLINE HGG 734 FGT BA,4999,1664793,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Interline,interline,Варильна поверхня Domino Interline HGG 734 FGT BA,,4999,1,https://comfy.ua/varochnaja-panel-domino-interline-hgg-734-fgt-ba.html,5799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
719329303,,,,,1657199,Детские товары >> Подгузники и пеленание,tena,Пелюшки для дітей Tena Plus 60x60 см 30 шт. (7322540800746),,505,1,https://comfy.ua/catalog/product/view/id/1273763,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
719566873,6615096,GORENJE,Пылесос GORENJE VCEA 28 GLBK (TPC01),4699,1670064,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEA28GLBK,,4699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-gorenje-vcea28glbk.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
719566876,6625545,GORENJE,Пылесос GORENJE VCEA02GALWCY,4499,1672291,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA02GALWCY,,4499,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-gorenje-vcea02galwcy.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
719566878,6615039,GORENJE,Пылесос GORENJE VCEA 01 GACWCY (CJ173),3499,1672290,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA01GACWCY,,3149,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-gorenje-vcea01gacwcy.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
719566879,6623628,GORENJE,Пылесос GORENJE VCEA 01 GACBUCY (CJ173),4209,1672289,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCEA01GACBUCY,,3489,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-gorenje-vcea01gacbucy.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
719566880,6606820,BOSCH,Пылесос BOSCH BGL6PET1,12999,1669517,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання з мішком Bosch BGL6PET1,,12999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-bosch-bgl6pet1.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
719566881,6606904,BOSCH,Пылесос BOSCH BGS41PET1,16299,1663871,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch BGS41PET1,,16299,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-bosch-bgs41pet1.html,17899,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
719566889,6625543,GORENJE,Пылесос GORENJE SVC252GFA,5999,1672297,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Gorenje,gorenje,Пилосос ручний для дому Gorenje SVC252GFA,,5699,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-gorenje-svc252gfa.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
