720222600,6186527,forte,__forte_tdr1000va_22649,1909,1671464,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",column,__forte_tdr1000va,column,2795,1,httpscomfyuastabilizatornaprjazhenijafortetdr1000vahtml,column,05112025_1741,column,__42,Фастів,0
720222600,6186527,FORTE,Стабилизатор напряжения FORTE TDR-1000VA (22649),1909,1671464,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TDR-1000VA,,2795,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tdr-1000va.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
720222601,6134264,FORTE,Стабилизатор напряжения FORTE TDR-2000VA (22650),2202,1671465,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TDR-2000VA,,3225,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tdr-2000va.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
720222604,7162960,EUROPOWER,Стабилизатор напряжения EUROPOWER EPX-604 600VA 300W,840,1671466,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Europower",europower,Стабілізатор напруги Europower EPX-604,,870,1,https://comfy.ua/stabilizator-naprjazhenija-europower-epx-604.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
720222648,,,,,1669384,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 3 3100 (100-100000284BOX),,1939,1,https://comfy.ua/processor-amd-ryzen-3-3100-100-100000284box.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
720222658,,,,,.1669377,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 3600 (100-100000031BOX),,3559,1,https://comfy.ua/processor-amd-ryzen-5-3600-100-100000031box.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
720222716,,,,,1669405,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i5 9500 (CM8068403362610),,4464,1,https://comfy.ua/processor-intel-core-i5-9500-cm8068403362610.html,9919,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
720224908,,,,,1669949,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Gusto,gusto,Чайник металевий Gusto GT-T-522-L Лаванда 2.2 л,,1199,1,https://comfy.ua/chajnik-metallicheskij-gusto-gt-t-522-l-lavanda-2-2-l.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
720224909,,,,,1669948,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Gusto,gusto,Чайник металевий Gusto GT-T-533-P Перчинка 3.3 л,,1013,1,https://comfy.ua/chajnik-metallicheskij-gusto-gt-t-533-p-perchinka-3-3-l.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
720225121,6652578,BRABANTIA,Доска гладильная Brabantia Ironing Tables B 124x38 см (134265),5995,1671469,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Brabantia",brabantia,Прасувальна дошка Brabantia 124x38 см 134265,,5995,1,https://comfy.ua/gladil-naja-doska-brabantia-124x38-sm-134265.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
720225619,6826373,ZOJIRUSHI,Термос Zojirushi SV-GR50XA 0.5 л Steel (1678.03.06),1739,1671562,Посуда >> Для напитков,zojirushi,Термос Zojirushi SV-GR50XA 0.5 л Steel (1678.03.06),,1399,1,https://comfy.ua/termos-zojirushi-sv-gr50xa-0-5-l-steel-1678-03-06.html,2199,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
720225620,6826382,ZOJIRUSHI,Термос ZOJIRUSHI SJ-JS10RA 1 л Red (1678.04.36),1980,1671563,Посуда >> Для напитков,zojirushi,Термос Zojirushi SJ-JS10RA 1 л Red (1678.04.36),,1980,1,https://comfy.ua/termos-zojirushi-sj-js10ra-1-l-red-1678-04-36.html,2277,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
