722315293,6670216,kela,_kela_calido_4__black_12471,5179,1673836,________kela,kela,_kela_calido_24__40__12471,column,4491,1,httpscomfyuakastrjuljakelacalido24sm40l12471html,6899,05112025_2051,column,__42,Фастів,0
720225838,,,,,1668407,Посуда >> Нарезка и измельчение,fiskars,Ножиці кухонні Fiskars Classic 18 см для зелени (1000819),,1615,1,https://comfy.ua/nozhnicy-kuhonnye-fiskars-classic-18-sm-dlja-zeleni-1000819.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
720225874,7060560,SOLA,"Набор столовых ножей SOLA Ibiza 3 пр, (31IBIZE1133)",472,1653034,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Набір ножів десертних Sola 3 шт 31IBIZE1133,,472,1,https://comfy.ua/nabor-nozhej-desertnyh-sola-3-sht-31ibize1133.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
720383383,,,,,.1671173,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 161 (i510400FGT10302GB161),,19658,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-161-i510400fgt10302gb161.html,22595,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
720383386,,,,,.1671176,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 162 (i510400FGT10302GB162),,17578,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-162-i510400fgt10302gb162.html,20205,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
720383439,,,,,.1671180,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 81 (i510400FGT10302GB81),,18269,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-81-i510400fgt10302gb81.html,20999,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
720383444,,,,,.1671184,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F GT 1030 2GB 82 (i510400FGT10302GB82),,16407,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-gt-1030-2gb-82-i510400fgt10302gb82.html,18859,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
720393211,7061162,EMILE HENRY,Форма для запекания EMILE HENRY Bakeware (026180),1795,1673886,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 31x13 см 026180,,1795,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-31x13-sm-026180.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
720621473,6619399,KENWOOD,Миксер KENWOOD HMP32.A0WH,2199,1673562,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Kenwood,kenwood,Міксер з чашею Kenwood HMP32.A0WH,,2199,1,https://comfy.ua/mikser-s-chashej-kenwood-hmp32-a0wh.html,2399,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,2
720633289,,,,,1675277,Красота и здоровье >> Уход за волосами,babyliss,Фен-щітка Babyliss AS970E,,3999,1,https://comfy.ua/catalog/product/view/id/1291703/s/fen-schetka-babyliss-as970e,4399,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
720642244,6635695,BOSCH,Нивелир лазерный BOSCH BoschAdvancedLevel 360 Basic (0.603.663.B03),9606,1660452,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch AdvancedLevel 360 Basic (0.603.663.B03),,9605,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-advancedlevel-360-basic-0-603-663-b03.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
