723307198,column,column,column,column,1661646,Посуда >> Кухонные аксессуары,tescoma,_tescoma_428288_grandchef,column,559,1,httpscomfyuacatalogproductviewid1299153,column,05112025_1939,column,__42,Фастів,0
723307198,,,,,1661646,Посуда >> Кухонные аксессуары,tescoma,Вінчик tescoma 428288 GrandChef,,559,1,https://comfy.ua/catalog/product/view/id/1299153,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
723307208,,,,,.1661270,Техника для кухни >> Мир кофе,tescoma,Модуль для збивання молока tescoma 420714 Presto,,422,1,https://comfy.ua/venchik-tescoma-420714-presto.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
723307209,,,,,1661644,Посуда >> Кухонные аксессуары,tescoma,Шумовка tescoma 428278 GrandChef,,649,1,https://comfy.ua/catalog/product/view/id/1299103,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
723307246,,,,,1675360,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Dream Machines",dream-machines,Миша дротова ігрова Dream Machines DM6 HOLEY USB Black,,1199,1,https://comfy.ua/mysh-provodnaja-igrovaja-dream-machines-dm6-holey-usb-black.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
723307250,,,,,1674355,Посуда >> Для приготовления,sola,Каструля Sola 6 л 13DIAM 824,,4794,1,https://comfy.ua/kastrjulja-sola-6-l-13diam-824.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
723313145,,,,,1669384,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 3 3100 (100-100000284BOX),,1939,1,https://comfy.ua/catalog/product/view/id/1269763,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
723313259,,,,,1622050,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",gembird,Зовнішній карман Gembird 2.5'' USB 3.0 Transparent (EE2-U3S9-6),,359,1,https://comfy.ua/vneshnij-karman-gembird-2-5-usb-3-0-transparent-ee2-u3s9-6.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
723313260,,,,,1673819,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",gembird,Зовнішній карман Gembird EE2-U3S-6-GR,,379,1,https://comfy.ua/vneshnij-karman-gembird-ee2-u3s-6-gr.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
723313261,,,,,1673818,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Gembird",gembird,Зовнішній карман Gembird EE2-U3S-6,,379,1,https://comfy.ua/vneshnij-karman-gembird-ee2-u3s-6.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
723314224,6624458,SONOS,Сабвуфер для домашнего кинотеатра SONOS Sub Black (SUBG3EU1BLK),51999,1676526,Телевизоры и мультимедиа >> Мультимедиа и звук >> Саундбары и сабвуферы >> Саундбары и сабвуферы Sonos,sonos,Саундбар Sonos Sub Black (SUBG3EU1BLK),,51999,1,https://comfy.ua/saundbar-sonos-sub-black-subg3eu1blk.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
723314225,6624457,SONOS,Сабвуфер для домашнего кинотеатра SONOS Sub White (SUBG3EU1),38999,1676525,Телевизоры и мультимедиа >> Мультимедиа и звук >> Саундбары и сабвуферы >> Саундбары и сабвуферы Sonos,sonos,Саундбар Sonos Sub White (SUBG3EU1),,38999,1,https://comfy.ua/saundbar-sonos-sub-white-subg3eu1.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
723315322,6670258,KELA,Разделочная доска KELA Katana 23х15 см (11870),269,1673898,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Kela,kela,Обробна дошка Kela Katana 23х15 см (11870),,269,1,https://comfy.ua/razdelochnaja-doska-kela-katana-23h15-sm-11870.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
723315379,,,,,1661027,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 420602 Presto 8 см,,199,1,https://comfy.ua/sito-tescoma-420602-presto-8-sm.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
723315380,,,,,1661028,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 420603 Presto 10 см,,249,1,https://comfy.ua/sito-tescoma-420603-presto-10-sm.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
723315381,,,,,1661244,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 428340 GrandChef 6 cм,,229,1,https://comfy.ua/sito-tescoma-428340-grandchef-6-cm.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
723315383,,,,,1661029,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 420604 Presto 14 см,,309,1,https://comfy.ua/sito-tescoma-420604-presto-14-sm.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
723315385,,,,,1660939,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Друшляк tescoma 638051 Space Tone,,499,1,https://comfy.ua/durshlag-tescoma-638051-space-tone.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
723315387,,,,,1661649,Посуда >> Для запекания и выпечки >> Кондитерские принадлежности >> Кондитерские принадлежности Tescoma,tescoma,Сито-чашка tescoma 630341 Delicia,,649,1,https://comfy.ua/sito-chashka-tescoma-630341-delicia.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
723315390,,,,,1661252,Посуда >> Кухонные аксессуары,tescoma,Сито tescoma 428350 GrandChef 16 см,,759,1,https://comfy.ua/sito-tescoma-428350-grandchef-16-sm.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
723315392,,,,,1661248,Посуда >> Кухонные аксессуары,tescoma,Сито tescoma 428354 GrandChef 20 cм,,869,1,https://comfy.ua/sito-tescoma-428354-grandchef-20-cm.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
723315447,6670198,KELA,Френч-пресс KELA Verona 1000 мл Grey (10884),899,1675425,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Kela,kela,Френч-прес Kela Verona Gray 1000 мол (10884),,899,1,https://comfy.ua/french-press-kela-verona-gray-1000-ml-10884.html,1499,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
723315459,6670196,KELA,Френч-пресс KELA Roma 600 мл (10849),979,1673834,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Kela,kela,Френч-прес Kela Roma 600 мл (10849),,979,1,https://comfy.ua/french-press-kela-roma-600-ml-10849.html,1499,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
723315826,6670271,KELA,Банка KELA Baker 0.25 л 7.5 х 11 см (10765),319,1673821,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Baker 0.25 л 7.5х11 см (10765),,319,1,https://comfy.ua/emkost-dlja-sypuchih-kela-baker-0-25-l-7-5h11-sm-10765.html,579,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
723315883,,,,,1672285,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Sola,sola,Набір посуду Sola 4 шт. 13RUBY 004,,13165,1,https://comfy.ua/nabor-posudy-sola-4-sht-13ruby-004.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
723315891,,,,,1661340,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Виделка десертна tescoma 391426 для торта Classic 3 шт.,,359,1,https://comfy.ua/vilka-desertnaja-tescoma-391426-dlja-torta-classic-3-sht.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
723316012,7060562,SOLA,Набор столовых приборов SOLA 24 шт (36MONTDS024),1325,1664951,Посуда >> Для сервировки,sola,Набір столових приборів Sola 24 шт. 36MONTD S024,,1769,1,https://comfy.ua/nabor-stolovyh-priborov-sola-24-sht-36montd-s024.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
723317990,6670273,KELA,Контейнер KELA Jule 0.8 л 10.5 х 15.5 см (12051),409,1675418,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Jule 0.8 л (12051),,409,1,https://comfy.ua/emkost-dlja-sypuchih-kela-jule-0-8-l-12051.html,679,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
723323315,6855551,RYOBI,Электролобзик Ryobi ONE+ RJS18-0 (5133005395),4110,1673208,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Ryobi,ryobi,Пила шабельна Ryobi ONE + RY18PSA-0 без АКБ і ЗУ,,5099,1,https://comfy.ua/pila-sabel-naja-ryobi-one-ry18psa-0-bez-akb-i-zu.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
723323458,,,,,1674455,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Ryobi,ryobi,Набір свердел Ryobi і біт RAKDD100 100 шт.,,1349,1,https://comfy.ua/nabor-sverl-ryobi-i-bit-rakdd100-100-sht.html,1799,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
723348724,6670272,KELA,Контейнер KELA Jule 0.5 л 10.5 х 10.5 см (12050),309,1675415,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Jule 0.5 л (12050),,309,1,https://comfy.ua/emkost-dlja-sypuchih-kela-jule-0-5-l-12050.html,549,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
723348734,6670275,KELA,Контейнер KELA Jule 1.9 л 10.5 х 30.5 см (12053),599,1675422,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Jule 1.9 л (12053),,599,1,https://comfy.ua/emkost-dlja-sypuchih-kela-jule-1-9-l-12053.html,919,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
723348754,,,,,1661020,Посуда >> Для напитков,tescoma,Чашка tescoma 387562 All Fit One Belly,,299,1,https://comfy.ua/chashka-tescoma-387562-all-fit-one-belly.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
723348756,,,,,1661008,Посуда >> Для напитков,tescoma,Чашка tescoma 387120 Crema з блюдцем,,329,1,https://comfy.ua/chashka-tescoma-387120-crema-s-bljudcem.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
723348776,,,,,1661009,Посуда >> Для напитков,tescoma,Чашка tescoma 387124 Crema з блюдцем,,449,1,https://comfy.ua/chashka-tescoma-387124-crema-s-bljudcem.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
