742458914,column,column,column,column,1676176,"Аудио, фото и видео >> Фотокамеры",canon,__canon_rf_extender_2x_4114c005,column,35599,1,httpscomfyuakonvertorfotocanonrfextender2x4114c005html,column,05112025_1825,column,__42,Фастів,0
742458914,,,,,.1676176,"Аудио, фото и видео >> Фотокамеры",canon,Конвертор фото Canon RF Extender 2x (4114C005),,35599,1,https://comfy.ua/konvertor-foto-canon-rf-extender-2x-4114c005.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
742458946,,,,,.1678865,Посуда >> Для приготовления,tescoma,Сотейник tescoma 780352 President Stone,,3599,1,https://comfy.ua/sotejnik-tescoma-780352-president-stone.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
742458947,,,,,.1678866,Посуда >> Для приготовления,tescoma,Сотейник tescoma 780354 President Stone,,3899,1,https://comfy.ua/sotejnik-tescoma-780354-president-stone.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
742459047,,,,,.1661597,Посуда >> Для напитков,tescoma,Френч-прес tescoma 646632 Teo 0.6 л,,1199,1,https://comfy.ua/french-press-tescoma-646632-teo-0-6-l.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
742459048,,,,,.1661594,Посуда >> Для напитков,tescoma,Чайник заварювальний tescoma 646622 Teo 1.25 л,,1499,1,https://comfy.ua/chajnik-zavarochnyj-tescoma-646622-teo-1-25-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
742459050,,,,,.1661288,Посуда >> Для напитков,tescoma,Чайник заварювальний tescoma 646624 Teo 1.7 л з ситечком для заварювання,,1599,1,https://comfy.ua/chajnik-zavarochnyj-tescoma-646624-teo-1-7-l-s-sitechkom-dlja-zavarivanija.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
742459092,,,,,.1661267,Посуда >> Нарезка и измельчение,tescoma,Дошка обробна tescoma 378812 Presto 30x20 см,,599,1,https://comfy.ua/razdelochnaja-doska-tescoma-378812-presto-30x20-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
742459110,,,,,1661035,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 420611 Presto 6 см,,299,1,https://comfy.ua/sito-tescoma-420611-presto-6-sm.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
742459111,,,,,1661036,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Tescoma",tescoma,Сито tescoma 420613 Presto 10 см,,349,1,https://comfy.ua/sito-tescoma-420613-presto-10-sm.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
742459112,6670192,KELA,Заварник KELA Aurora 1.8 л (16941),2209,1648284,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Kela,kela,Чайник заварювальний Kela Aurora 1.8 л (16941),,2209,1,https://comfy.ua/chajnik-zavarochnyj-kela-aurora-1-8-l-16941.html,3149,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
