742461866,column,column,column,column,1679576,_____________tescoma,tescoma,__tescoma_862008_sonic_12_,column,201,1,httpscomfyuanozhkuhonnyjtescoma862008sonic12smhtml,column,05112025_1906,column,__42,Фастів,0
742460683,,,,,.1661297,Посуда >> Нарезка и измельчение,tescoma,Терка tescoma 643744 Handy,,599,1,https://comfy.ua/terka-tescoma-643744-handy.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
742460685,,,,,1661296,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tescoma",tescoma,Терка tescoma 643780 Handy,,649,1,https://comfy.ua/terka-tescoma-643780-handy.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
742461529,,,,,1661419,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Набір столових приборів tescoma 391006 Banquet 24 шт.,,3999,1,https://comfy.ua/nabor-stolovyh-priborov-tescoma-391006-banquet-24-sht.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
742461715,,,,,1661405,Посуда >> Для напитков,tescoma,Термос tescoma 318520 Constant 0.3 л,,1359,1,https://comfy.ua/termos-tescoma-318520-constant-0-3-l.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
742461721,,,,,1661146,Посуда >> Для приготовления,tescoma,Сковорода для млинців tescoma 594225 Presto 25 см,,1199,1,https://comfy.ua/catalog/product/view/id/1339323,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
742461766,,,,,.1661629,Посуда >> Нарезка и измельчение,tescoma,Ніж кухонний tescoma 420150 Presto для тесту,,259,1,https://comfy.ua/nozh-kuhonnyj-tescoma-420150-presto-dlja-testa.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
742461769,,,,,1678634,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для піци tescoma 428244 GrandChef,,323,1,https://comfy.ua/nozh-dlja-piccy-tescoma-428244-grandchef.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
742461772,,,,,1661407,Посуда >> Для напитков,tescoma,Термос tescoma 318524 ??Constant 0.7 л,,1999,1,https://comfy.ua/termos-tescoma-318524-constant-0-7-l.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
742461791,,,,,1661425,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tescoma,tescoma,Набір столових приборів tescoma 391560 Victoria 24 шт.,,4299,1,https://comfy.ua/nabor-stolovyh-priborov-tescoma-391560-victoria-24-sht.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
742461834,,,,,1678831,Посуда >> Для приготовления,tescoma,Сковорода ВОК tescoma 594022 Presto,,1089,1,https://comfy.ua/skovoroda-vok-tescoma-594022-presto.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
