742514428,column,column,column,column,1677581,Посуда >> Для напитков,tescoma,_tescoma_306270_crema_400_,column,309,1,httpscomfyuachashkatescoma306270crema400mlhtml,column,05112025_2029,column,__42,Фастів,0
742514428,,,,,1677581,Посуда >> Для напитков,tescoma,Чашка tescoma 306270 Crema 400 мл,,309,1,https://comfy.ua/chashka-tescoma-306270-crema-400-ml.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
742514432,,,,,1678610,Посуда >> Для напитков,tescoma,Чашка tescoma 387566 All Fit One Belly,,359,1,https://comfy.ua/chashka-tescoma-387566-all-fit-one-belly.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
742514433,,,,,1678609,Посуда >> Для напитков,tescoma,Чашка tescoma 387564 All Fit One Belly,,359,1,https://comfy.ua/chashka-tescoma-387564-all-fit-one-belly.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
742514434,,,,,1677582,Посуда >> Для напитков,tescoma,Чашка tescoma 306275 Crema 300 мл,,349,1,https://comfy.ua/chashka-tescoma-306275-crema-300-ml.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
742514487,,,,,1677939,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629412 Delicia SiliconPrime 24 см,,1022,1,https://comfy.ua/catalog/product/view/id/1308983,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
742514490,,,,,1677934,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 624624 Saphir 38x28 см з гратами,,1487,1,https://comfy.ua/catalog/product/view/id/1308803,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
742514491,,,,,1677917,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623382 Delicia,,1199,1,https://comfy.ua/catalog/product/view/id/1307253,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
742514492,,,,,1677920,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629434 Delicia SiliconPrime,,1487,1,https://comfy.ua/catalog/product/view/id/1307823,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
742514494,,,,,1661584,Посуда >> Для напитков,tescoma,Чашка tescoma 387194.3 Crema Shine Blue,,399,1,https://comfy.ua/chashka-tescoma-387194-3-crema-shine-blue.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
742514497,,,,,1661578,Посуда >> Для напитков,tescoma,Чашка tescoma 387194.2 Crema Shine Red,,399,1,https://comfy.ua/chashka-tescoma-387194-2-crema-shine-red.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
742514501,,,,,1661265,Посуда >> Для напитков,tescoma,Чашка tescoma 387132 Crema,,399,1,https://comfy.ua/chashka-tescoma-387132-crema.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
742514691,,,,,1661010,Посуда >> Для напитков,tescoma,Чашка tescoma 387128 Crema з блюдцем,,539,1,https://comfy.ua/chashka-tescoma-387128-crema-s-bljudcem.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
742514718,,,,,1661416,Посуда >> Для сервировки,tescoma,Салатник tescoma 389216 Giro 16 см,,319,1,https://comfy.ua/catalog/product/view/id/1338793,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
742514747,,,,,1679456,Посуда >> Для хранения,tescoma,Хлібниця tescoma 900889 Online 42 x 24 см,,2999,1,https://comfy.ua/hlebnica-tescoma-900889-online-42-x-24-sm.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
742516618,,,,,1661156,Посуда >> Для приготовления,tescoma,Каструля tescoma 779216 Vision 16 см 1.5 л,,2499,1,https://comfy.ua/catalog/product/view/id/1299833,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
742517305,,,,,.1661452,Посуда >> Для сервировки,tescoma,Тарілка десертна tescoma 385320 Legend 21 см,,259,1,https://comfy.ua/tarelka-desertnaja-tescoma-385320-legend-21-sm.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
742517309,,,,,1661157,Посуда >> Для приготовления,tescoma,Каструля tescoma 779220 Vision 20 см 3.0 л,,3299,1,https://comfy.ua/catalog/product/view/id/1299843,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
742517345,,,,,1661158,Посуда >> Для приготовления,tescoma,Каструля tescoma 779222 Vision 22 см 4.0 л,,3699,1,https://comfy.ua/catalog/product/view/id/1299853,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
742517418,,,,,1661614,Посуда >> Для приготовления,tescoma,Каструля tescoma 780243 President 20 см 3.0 л,,3299,1,https://comfy.ua/catalog/product/view/id/1301703,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
742517421,,,,,1661160,Посуда >> Для приготовления,tescoma,Каструля tescoma 780325 President Stone 24 см 6.0 л,,4499,1,https://comfy.ua/catalog/product/view/id/1299883,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
