743356845,column,column,column,column,1677878,Посуда >> Для запекания и выпечки,tescoma,___tescoma_623282_delicia_20_,column,1161,1,httpscomfyuaformadljavypechkitescoma623282delicia20smhtml,column,05112025_1915,column,__42,Фастів,0
743356845,,,,,1677878,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623282 Delicia 20 см,,1161,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623282-delicia-20-sm.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
743356985,,,,,1677881,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623288 Delicia 26 см,,1749,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623288-delicia-26-sm.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
743357430,,,,,1680175,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO QC-300 3 USB Qualcom 3.0 4.8A Black (QC-300-BK),,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-qc-300-3-usb-qualcom-3-0-4-8a-black-qc-300-bk.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
743357433,,,,,1680177,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO QC-305 3 USB 5.1A Black (QC-305-BK),,225,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-qc-305-3-usb-5-1a-black-qc-305-bk.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
743357456,,,,,1680733,Техника для дома >> Аксессуары к крупной технике,vestfrost,Комплект кріплень для установки в колону Vestfrost XDV,,2299,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-vestfrost-xdv.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
743357530,,,,,1681652,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автотримач XOKO RMC100 Black (XK-RMC100-BLCK),,59,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rmc100-black-xk-rmc100-blck.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
743357531,,,,,1681655,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автотримач XOKO RMC10 Black (XK-RMC10-BLCK),,119,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rmc10-black-xk-rmc10-blck.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
743357547,,,,,.1681657,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Підставка для мобільного пристрою XOKO RM-C20,,149,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rm-c20.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
743357548,,,,,1681678,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Підставка для мобільного пристрою XOKO RM-C20 White,,149,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rm-c20-white.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
743357550,,,,,.1681680,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автотримач XOKO RM-C70 Flat Magnetic Silver,,149,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xoko-rm-c70-flat-magnetic-silver.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
743357553,,,,,1680554,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Baseus,baseus,Автотримач Baseus Small Ears Series Magnetic Suction Bracket Flat type Black (SUER-C01),,179,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-baseus-small-ears-series-magnetic-suction-bracket-flat-type-black-suer-c01.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
743358077,,,,,1664379,"Аудио, фото и видео >> Наушники >> Наушники HP",hp,Навушники вкладиші дротові HP DHE-7001,,199,1,https://comfy.ua/naushniki-vkladyshi-provodnye-hp-dhe-7001.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
743678790,,,,,1680179,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO QC-405 4 USB 6.2A Black (QC-405-BK),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-qc-405-4-usb-6-2a-black-qc-405-bk.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
743678791,,,,,1680180,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Мережевий зарядний пристрій XOKO QC-405 4 USB 6.2A White (QC-405-WH),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xoko-qc-405-4-usb-6-2a-white-qc-405-wh.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
743678973,,,,,1667050,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S20 (SM170746),,499,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-s20-sm170746.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
743679032,,,,,1667046,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy A60 (SM170708),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-a60-sm170708.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
743679034,,,,,1667049,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S10 Plus (SM170739),,699,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-s10-plus-sm170739.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
743679038,6717816,POWERPLANT,rechar POWERPLANT Samsung Galaxy A70 (EB-BA705ABU) 4500mAh (SM170715),499,1667047,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy A70 (SM170715),,599,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-a70-sm170715.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
743679039,6717821,POWERPLANT,rechar POWERPLANT Samsung Galaxy S20 Plus (EB-BG985ABY) 4500mAh (SM170777),499,1667052,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Samsung Galaxy S20 Plus (SM170777),,399,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-samsung-galaxy-s20-plus-sm170777.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
743679573,,,,,1681670,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник USB-C - USB XOKO AC-230 White (XK-AC230-WH),,79,1,https://comfy.ua/perehodnik-xoko-ac-230-white-xk-ac230-wh.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
743679607,,,,,1681666,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник USB-C - USB XOKO AC-120 Gray (XK-AC120-GR),,129,1,https://comfy.ua/perehodnik-xoko-ac-120-gray-xk-ac120-gr.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
743679634,,,,,1681614,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Кабель синхронізації даних XOKO AUX-001 1м White,,199,1,https://comfy.ua/perehodnik-audio-xoko-aux-001-1m-white.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
743679639,,,,,1681647,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник аудіо XOKO AC-001,,249,1,https://comfy.ua/perehodnik-audio-xoko-ac-001.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
743679836,,,,,1664266,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",atcom,Перехідник USB-C - USB Atcom USB-C to USB 3.0 AF OTG Black (11310),,105,1,https://comfy.ua/perehodnik-atcom-usb-c-to-usb-3-0-af-otg-black-11310.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
743681138,,,,,.1677003,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для фітнес-браслету XOKO for Xiaomi Mi Band 3/4 Flowers Red (XK-XM-SL-RD),,69,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-xoko-for-xiaomi-mi-band-3-4-flowers-red-xk-xm-sl-rd.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
743682156,,,,,1680074,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG2210MP,,6999,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg2210mp.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
743683623,,,,,.1682239,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A71 SM-A715 Black (704670),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a71-sm-a715-black-704670.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
743684225,,,,,1680156,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автомобільний зарядний пристрій XOKO 3 USB 4.2A CC-300 Black (CC-300-BK),,69,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xoko-3-usb-4-2a-cc-300-black-cc-300-bk.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
743686591,,,,,.1682773,"Аудио, фото и видео >> Аксессуары для фото, видео",xoko,Чохол для фотокамери XOKO KVR-005/010/100 Синий Bee Dual Lens (KVR-100-CS-BL),,49,1,https://comfy.ua/chehol-dlja-fotoapparata-xoko-kvr-005-010-100-sinij-bee-dual-lens-kvr-100-cs-bl.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
743687794,,,,,1678808,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Tescoma,tescoma,Набір посуду tescoma 780310 President Stone 8 пр.,,11999,1,https://comfy.ua/nabor-posudy-tescoma-780310-president-stone-8-pr.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
743687796,,,,,1681522,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Herevin,herevin,"Ємність для сипучих Herevin Kitchen Red Mat 1,5 л (147015-121)",,339,1,https://comfy.ua/emkost-dlja-hranenija-herevin-kitchen-red-mat-1-5-l-147015-121.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
743687877,,,,,1678795,Посуда >> Нарезка и измельчение,tescoma,Терка tescoma 638750 President X-sharp,,949,1,https://comfy.ua/terka-tescoma-638750-president-x-sharp.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
743687950,,,,,.1680624,Посуда >> Для напитков,tescoma,Френч-прес tescoma 646634 Teo 1.0 л,,1399,1,https://comfy.ua/french-press-tescoma-646634-teo-1-0-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
743687975,,,,,1679070,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,"Сушарка для білизни Eurogold 0303, 52х37 см",,110,1,https://comfy.ua/sushilka-dlja-bel-ja-eurogold-0303-52h37-sm.html,145,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
