743688604,column,column,column,column,1678927,Посуда >> Нарезка и измельчение,tescoma,__tescoma_884610_grandchef_9_,column,799,1,httpscomfyuanozhkuhonnyjtescoma884610grandchef9smhtml,column,05112025_2008,column,__42,Фастів,0
743680473,,,,,1666470,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Перехідник HP USB 3.1 Type-C --> HDMI (DHC-CT202),,799,1,https://comfy.ua/perehodnik-hp-usb-3-1-type-c-hdmi-dhc-ct202.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
743681911,,,,,1672243,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Black (704850),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-black-704850.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
743682219,,,,,.1678722,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,"Захисне скло для смартфону Armorstandart Icon for Apple iPhone 11 Pro /XS/X Black, 0.33mm, 3D (ARM55720-GI3D-BK)",,399,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-apple-iphone-11-pro-xs-x-black-0-33mm-3d-arm55720-gi3d-bk.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
743684224,,,,,1680157,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автомобільний зарядний пристрій XOKO CC-303 2 USB 2.1 Gold/White (CC-303-GDWH) + авто розгалужувач,,79,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xoko-cc-303-2-usb-2-1-gold-white-cc-303-gdwh-avto-razvetvetil.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
743684226,,,,,1680158,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Автомобільний зарядний пристрій XOKO CQC-100 1 USB Qualcom 3.0 3.1A Black (CQC-100-BK),,149,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-xoko-cqc-100-1-usb-qualcom-3-0-3-1a-black-cqc-100-bk.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
743687791,,,,,1682941,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки FLORINA",florina,Терка FLORINA Rubi 22 см (5T0215),,199,1,https://comfy.ua/terka-florina-rubi-22-sm-5t0215.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
743687795,,,,,1678798,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Tescoma,tescoma,Набір посуду tescoma 780210 President 10 пр.,,15999,1,https://comfy.ua/nabor-posudy-tescoma-780210-president-10-pr.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
743687876,,,,,1678794,Посуда >> Нарезка и измельчение,tescoma,Терка tescoma 638748 President X-sharp,,949,1,https://comfy.ua/terka-tescoma-638748-president-x-sharp.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
743687938,,,,,1677808,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки GALAX,galax,"Гель для прання GALAX універсальний 2000 р, 57 циклів (DOYPACK)",,94,1,https://comfy.ua/gel-dlja-stirki-galax-universal-nyj-2000-g-57-ciklov-doypack.html,148,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
743687972,,,,,1679067,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Eurogold",eurogold,"Сушарка для білизни Eurogold 0531, 3 в 1,  18 м",,869,1,https://comfy.ua/sushilka-dlja-bel-ja-eurogold-0531-3-v-1-18-m.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
743687979,,,,,1679075,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,Сушарка для білизни Eurogold 0708 (ширина 800мм) 5 м,,499,1,https://comfy.ua/sushilka-dlja-bel-ja-eurogold-0708-shirina-800mm-5-m.html,625,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
743688014,,,,,1677820,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки WASH&FREE,washfree,"Гель для прання WASH & FREE універсальний 5000 г, 143 циклу",,199,1,https://comfy.ua/gel-dlja-stirki-wash-free-universal-nyj-5000-g-143-cikla.html,316,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,17
743688085,,,,,1678816,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для хліба tescoma 862050 Sonic 20 см,,449,1,https://comfy.ua/nozh-dlja-hleba-tescoma-862050-sonic-20-sm.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
743688094,6972345,GALAX,Гель для стирки Galax для цветных вещей 4 л (4260637720016),307,1677809,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки GALAX,galax,"Гель для прання GALAX для кольорової білизни 4000 г, 114 циклів",,206,1,https://comfy.ua/gel-dlja-stirki-galax-dlja-cvetnogo-bel-ja-4000-g-114-ciklov.html,325,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
743688140,,,,,1678819,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для хліба tescoma 863036 Presto20 см,,404,1,https://comfy.ua/nozh-dlja-hleba-tescoma-863036-presto20-sm.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
743688142,,,,,1678821,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для хліба tescoma 863114 Presto Bianco 20 см,,599,1,https://comfy.ua/nozh-dlja-hleba-tescoma-863114-presto-bianco-20-sm.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
743688604,,,,,.1678927,Посуда >> Нарезка и измельчение,tescoma,Ніж кухонний tescoma 884610 GrandChef 9 см,,799,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884610-grandchef-9-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
743688618,,,,,1661045,Посуда >> Для приготовления >> Сковороды >> Сковороды Tescoma,tescoma,Сковорода універсальна tescoma 602420 i-Premiumi Stone 20 см,,1699,1,https://comfy.ua/skovoroda-universal-naja-tescoma-602420-i-premiumi-stone-20-sm.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
743688627,,,,,1675300,Инструменты и автотовары >> Электроинструменты >> Станки для заточки >> Станки для заточки Ryobi,ryobi,Станок Ryobi RTS1800EF-G,,19999,1,https://comfy.ua/stanok-ryobi-rts1800ef-g.html,21199,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
743688630,,,,,1678928,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884612 GrandChef 13 см,,899,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884612-grandchef-13-sm.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
743688633,,,,,1661044,Посуда >> Для приготовления >> Сковороды >> Сковороды Tescoma,tescoma,Сковорода ВОК tescoma 602328 i-Premium 28 см,,2799,1,https://comfy.ua/skovoroda-vok-tescoma-602328-i-premium-28-sm.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
743688636,,,,,1661148,Посуда >> Для приготовления >> Сковороды >> Сковороды Tescoma,tescoma,Сковорода для млинців tescoma 602454 i-Premium Stone 26 см,,2599,1,https://comfy.ua/skovoroda-dlja-blinov-tescoma-602454-i-premium-stone-26-sm.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
743688637,,,,,.1661046,Посуда >> Для приготовления,tescoma,Сковорода універсальна tescoma 602620 President 20 см,,3099,1,https://comfy.ua/skovoroda-universal-naja-tescoma-602620-president-20-sm.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
743688640,,,,,1680636,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для м'яса tescoma 884524 Azza 13 см,,1399,1,https://comfy.ua/nozh-dlja-mjasa-tescoma-884524-azza-13-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
743688644,,,,,1680677,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884810 Feelwood 9 см,,1099,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884810-feelwood-9-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
743688645,,,,,1680637,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для м'яса tescoma 884525 Azza 16 см,,1499,1,https://comfy.ua/nozh-dlja-mjasa-tescoma-884525-azza-16-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
743688654,,,,,1680682,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884533 Azza 15 см,,1509,1,https://comfy.ua/nozh-dlja-mjasa-tescoma-884533-azza-15-sm.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
743688655,,,,,1680678,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 884812 Feelwood 13 см,,1199,1,https://comfy.ua/nozh-kuhonnyj-tescoma-884812-feelwood-13-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
743688656,,,,,1678824,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж сантоку tescoma 884531 Azza 14 см,,1399,1,https://comfy.ua/nozh-santoku-tescoma-884531-azza-14-sm.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
743688658,,,,,.1680683,Посуда >> Нарезка и измельчение,tescoma,Ніж кухонний tescoma 884534 Azza 21 см,,1699,1,https://comfy.ua/nozh-dlja-mjasa-tescoma-884534-azza-21-sm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
743688724,,,,,1661047,Посуда >> Для приготовления,tescoma,Сковорода для млинців tescoma 605090 SmartCLICK 24 см,,3699,1,https://comfy.ua/skovoroda-gril-tescoma-605090-smartclick-24-sm.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
743688725,,,,,1679302,Посуда >> Для приготовления,tescoma,Сковорода гриль tescoma 605068 SmartCLICK 42x28 см,,3999,1,https://comfy.ua/skovoroda-gril-tescoma-605068-smartclick-42x28-sm.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
743688761,,,,,1678806,Посуда >> Для приготовления,tescoma,Сковорода ВОК tescoma 602646 President 30 см,,4999,1,https://comfy.ua/skovoroda-vok-tescoma-602646-president-30-sm.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
