743785854,7122562,liberton,__liberton_lmw2089mg,3199,1683562,Техника для кухни >> Крупная техника,liberton,___liberton_lmw2089mg,column,2699,1,httpscomfyuamikrovolnovajapechsvchlibertonlmw2089mghtml,column,05112025_1811,column,__42,Фастів,0
743785854,7122562,LIBERTON,Микроволновая печь LIBERTON LMW-2089MG,3199,1683562,Техника для кухни >> Крупная техника,liberton,Мікрохвильова піч (НВЧ) Liberton LMW-2089MG,,2699,1,https://comfy.ua/mikrovolnovaja-pech-svch-liberton-lmw-2089mg.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
743785857,,,,,1676936,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BPS 747 A32XG,,19599,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bps-747-a32xg.html,23099,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
743907767,6651563,RUSSELL HOBBS,Гриль RUSSELL HOBBS George Foreman 25040-56 Family Steel Grill,2357,1681528,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Russell Hobbs,russell-hobbs,Гриль-барбекю електричний Russell Hobbs George Foreman 25040-56,,2799,1,https://comfy.ua/gril-barbekju-jelektricheskij-russell-hobbs-george-foreman-25040-56.html,3149,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
743907768,6651562,RUSSELL HOBBS,Гриль RUSSELL HOBBS George Foreman Compact Steel Grill (25030-56),2599,1681527,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Russell Hobbs,russell-hobbs,Гриль-барбекю електричний Russell Hobbs George Foreman 25030-56,,2599,1,https://comfy.ua/gril-barbekju-jelektricheskij-russell-hobbs-george-foreman-25030-56.html,2899,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
743962880,6578272,PECHAM,Набор насадок PECHAM Travel Black (0290119080301),239,1676079,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Pecham,pecham,Насадка для зубної щітки Pecham Travel Black (0290119080301),,239,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-pecham-travel-black-0290119080301.html,359,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,2
743962881,6578273,PECHAM,Набор насадок PECHAM Travel White (0009119080118),239,1676080,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Pecham,pecham,Насадка для зубної щітки Pecham Travel White (0009119080118),,239,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-pecham-travel-white-0009119080118.html,359,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
744008752,,,,,1508457,Телевизоры и мультимедиа >> Аксессуары для ТВ,puluz,Набір засобів для чищення оптики Puluz 3 в 1 S-DLP-0102,,199,1,https://comfy.ua/nabor-sredstv-dlja-chistki-optiki-puluz-3-v-1-s-dlp-0102.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
744014144,6377539,PHILIPS,Пылесос PHILIPS FC8240/09,4999,1660933,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання з мішком Philips FC8240/09,,4999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-philips-fc8240-09.html,5799,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
744014155,6658187,GORENJE,Варочная поверхность GORENJE GW 642 CLB (BG6AB-G0B),12399,1683565,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW 642 CLB,,13799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw-642-clb.html,14399,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
744029737,,,,,1660933,Техника для дома >> Мелкая техника,philips,Пилосос для сухого прибирання з мішком Philips FC8240/09,,4999,1,https://comfy.ua/catalog/product/view/id/1368823/s/pylesos-dlja-suhoj-uborki-s-meshkom-philips-fc8240-09,5799,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
744029762,6634655,ELECTROLUX,Вытяжка ELECTROLUX LFG525K,6749,1661205,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Electrolux,electrolux,Витяжка вбудована Electrolux LFG525K,,6749,1,https://comfy.ua/vytjazhka-vstraivaemaja-electrolux-lfg525k.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
744102225,6616200,LOGITECH,Гарнитура LOGITECH G733 Lightspeed Wireless RGB Black (981-000864),8299,1681685,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G733 Black (981-000864),,8299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g733-black-981-000864.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
744102225,6617014,LOGITECH,Audio/hs it LOGITECH G733 Wireless RGB Gaming Headset BLACK,8316,1681685,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G733 Black (981-000864),,8299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g733-black-981-000864.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
744116108,6626751,GEMBIRD,Клавиатура GEMBIRD KB-MCH-03-UA,369,1685396,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-MCH-03-UA Black USB,,275,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-mch-03-ua-black-usb.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
744116114,6626748,GEMBIRD,Клавиатура GEMBIRD KB-UML-01-UA,492,1685393,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-UML-01-UA Black USB,,385,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-uml-01-ua-black-usb.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
744116115,6626749,GEMBIRD,Клавиатура GEMBIRD KB-UML3-01-UA,539,1685394,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-UML3-01-UA Black USB,,399,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-uml3-01-ua-black-usb.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
744169127,,,,,1661647,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Шумовка tescoma 428301 GrandChef +,,499,1,https://comfy.ua/shumovka-tescoma-428301-grandchef.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
744173026,6635820,LOGITECH,Мышь Logitech G102 Lightsync USB Lilac (L910-005854),1449,1681684,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша дротова ігрова Logitech G102 Lightsync (910-005854) Lilac USB,,1449,1,https://comfy.ua/mysh-provodnaja-igrovaja-logitech-g102-lightsync-910-005854-lilac-usb.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
744173026,6624830,LOGITECH,IT/mouse LOGITECH G102 LIGHTSYNC - LILAC - EER,1449,1681684,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша дротова ігрова Logitech G102 Lightsync (910-005854) Lilac USB,,1449,1,https://comfy.ua/mysh-provodnaja-igrovaja-logitech-g102-lightsync-910-005854-lilac-usb.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
744174420,6623330,STEELSERIES,Мышь STEELSERIES Rival 3 Wireless (SS62521),3099,1683267,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные SteelSeries",steelseries,Миша бездротова ігрова SteelSeries Rival 3 Wireless (62521),,3099,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-steelseries-rival-3-wireless-62521.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
744174420,6881837,STEELSERIES,Мышь SteelSeries Rival 3 Wireless Black (62521),2699,1683267,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные SteelSeries",steelseries,Миша бездротова ігрова SteelSeries Rival 3 Wireless (62521),,3099,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-steelseries-rival-3-wireless-62521.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
744366815,,,,,1685098,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 65W 19V 3.42A (AS65F4530),,557,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-65w-19v-3-42a-as65f4530.html,599,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
744369656,,,,,2312271,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS4 Marvel Spider-Man. Miles Morales (Безкоштовне оновлення до версії PS5),,2099,1,https://comfy.ua/igrovoj-disk-ps4-sony-marvel-spider-man-miles-morales-besplatnoe-obnovlenie-do-versii-ps5-ps4-russian-version.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
744369729,,,,,2312269,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS4 Call of Duty: Black Ops Cold War,,1599,1,https://comfy.ua/igrovoj-disk-ps4-sony-call-of-duty-black-ops-cold-war-ps4-russian-version.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
744568783,,,,,1685981,Техника для дома >> Аксессуары к мелкой технике,rowenta,Щітка до пилососа Rowenta ZR740005,,599,1,https://comfy.ua/schetka-dlja-pylesosa-rowenta-zr740005.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
744651153,,,,,1678801,Посуда >> Для приготовления,tescoma,Ківш tescoma 780341 President Stone 16 см 1.3 л з кришкою,,2699,1,https://comfy.ua/catalog/product/view/id/1376473,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
