744830466,column,column,column,column,1683261,__________africa,africa,_africa_1200______,column,8325,1,httpscomfyuakonvektorafricah1200grafitsdvojnojjekokonvekciejitermotajmeromhtml,9250,05112025_1755,column,__42,Фастів,0
744735135,,,,,1677900,Посуда >> Для приготовления,tescoma,Каструля tescoma 779022 Vision 22 см 5.5 л,,4299,1,https://comfy.ua/kastrjulja-tescoma-779022-vision-22-sm-5-5-l.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
744735720,,,,,1462814,Телевизоры и мультимедиа >> Аксессуары для ТВ,brateck,Кріплення для телевізора Brateck KL21G-46T,,679,1,https://comfy.ua/kreplenie-dlja-televizora-brateck-kl21g-46t.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
744814660,,,,,1686379,Техника для кухни >> Крупная техника,snaige,Холодильник Snaige CD35DM-S300CD,,28530,1,https://comfy.ua/catalog/product/view/id/1382393,31999,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
744814858,,,,,1665278,Техника для кухни >> Крупная техника,perfelli,Витяжка декоративна Perfelli K 6202 BL 700 LED,,3399,1,https://comfy.ua/catalog/product/view/id/1305303,3999,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
744814957,,,,,1683239,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х550 бежевий, з термотаймером",,4869,1,https://comfy.ua/konvektor-africa-h550-bezhevyj-s-termotajmerom.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
744814962,,,,,1683230,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA А700 графіт, з еко-конвекцією",,5449,1,https://comfy.ua/konvektor-africa-a700-grafit-s-jeko-konvekciej.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
744830195,,,,,1683233,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т500 бежевий, з терморегулятором",,5949,1,https://comfy.ua/konvektor-africa-t500-bezhevyj-s-termoreguljatorom.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
744830291,,,,,1683238,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т700 графіт, з еко-конвекцією і терморегулятором",,6524,1,https://comfy.ua/konvektor-africa-t700-grafit-s-jeko-konvekciej-i-termoreguljatorom.html,7250,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
744830432,,,,,1683256,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA А1000 графіт, з подвійною еко-конвекцією",,6949,1,https://comfy.ua/konvektor-africa-a1000-grafit-s-dvojnoj-jeko-konvekciej.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
744830434,,,,,1683247,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х900 графіт, з еко-конвекцією і термотаймером",,7549,1,https://comfy.ua/konvektor-africa-h900-grafit-s-jeko-konvekciej-i-termotajmerom.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
744830463,,,,,1683258,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т1000 графіт, з подвійною еко-конвекцією і терморегулятором",,8549,1,https://comfy.ua/konvektor-africa-s-dvojnoj-jeko-konvekciej-i-termoreguljatorom.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
744830464,,,,,1683248,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA А1300 бежевий, з еко-конвекцією",,8249,1,https://comfy.ua/konvektor-africa-a1300-bezhevyj-s-jeko-konvekciej.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
744830466,,,,,1683261,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х1200 графіт, з подвійною еко-конвекцією і термотаймером",,8325,1,https://comfy.ua/konvektor-africa-h1200-grafit-s-dvojnoj-jeko-konvekciej-i-termotajmerom.html,9250,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
744830467,,,,,1683250,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т1300 бежевий, з еко-конвекцією і терморегулятором",,9949,1,https://comfy.ua/konvektor-africa-t1300-bezhevyj-s-jeko-konvekciej-i-termoreguljatorom.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
744830468,,,,,1683252,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Х1500 бежевий, з еко-конвекцією і термотаймером",,9675,1,https://comfy.ua/konvektor-africa-h1500-bezhevyj-s-jeko-konvekciej-i-termotajmerom.html,10750,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
744830931,,,,,1580695,Техника для дома >> Крупная техника,gorenje,Водонагрівач Gorenje GBF 50 V9,,8599,1,https://comfy.ua/catalog/product/view/id/1358693,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
744831753,,,,,1685840,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Tescoma,tescoma,Ємність для зберігання tescoma 892010 Freshbox 0.4 л,,229,1,https://comfy.ua/emkost-dlja-hranenija-tescoma-892010-freshbox-0-4-l.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
744831770,,,,,1685841,Посуда >> Для хранения,tescoma,Ємність для зберігання tescoma 892012 Freshbox 0.7 л,,339,1,https://comfy.ua/emkost-dlja-hranenija-tescoma-892012-freshbox-0-7-l.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
744835136,,,,,.1685234,Посуда >> Для напитков,tescoma,Глечик tescoma 646628.2 Teo 2.5 л Red,,2099,1,https://comfy.ua/kuvshin-tescoma-646628-2-teo-2-5-l-red.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
744835137,,,,,.1685232,Посуда >> Для напитков,tescoma,Глечик tescoma 646628.25 Teo 2.5 л Green,,2099,1,https://comfy.ua/kuvshin-tescoma-646628-25-teo-2-5-l-green.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
744835147,,,,,1680624,Посуда >> Для напитков,tescoma,Френч-прес tescoma 646634 Teo 1.0 л,,1399,1,https://comfy.ua/catalog/product/view/id/1357273,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
744835334,,,,,1685338,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж обвалочний tescoma 863024 Presto 12 см,,309,1,https://comfy.ua/nozh-obvalochnyj-tescoma-863024-presto-12-sm.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
