745116740,column,column,column,column,1655469,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,__xilence_i250pwm_xc032,column,389,1,httpscomfyuaprocessornyjkulerxilencei250pwmxc032html,column,05112025_1832,column,__42,Фастів,0
745116740,,,,,.1655469,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence I250PWM (XC032),,389,1,https://comfy.ua/processornyj-kuler-xilence-i250pwm-xc032.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
745116801,,,,,1651005,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення ET-209-NP-2U3,,909,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-et-209-np-2u3.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
745116809,,,,,.1651062,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення SILENT HILL,,1759,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-silent-hill.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
745116810,,,,,.1650906,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax без блока живлення H602,,1499,1,https://comfy.ua/korpus-gamemax-bez-bloka-pitanija-h602.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
745116813,,,,,.1650999,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення G561 Black,,1609,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-g561-black.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
745118186,,,,,1651001,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення G561 White,,1719,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-g561-white.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
745118190,,,,,.1651053,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення G563,,1929,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-g563.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
745120705,,,,,.1655373,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,"Корпус Chieftec Gaming Cube CI-01B-OP, без БП, 2xUSB3.0 Black",,2549,1,https://comfy.ua/korpus-chieftec-gaming-cube-ci-01b-op-bez-bp-2xusb3-0-black.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
745121322,,,,,.1651221,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design 120 мм ARGB (FD-FAN-PRI-AL12),,839,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-120-mm-argb-fd-fan-pri-al12.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
745121347,,,,,.1655466,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence M704 (XC051),,1299,1,https://comfy.ua/processornyj-kuler-xilence-m704-xc051.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
745121384,,,,,1651072,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення Black Hole,,2629,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-black-hole.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
745121387,,,,,.1651071,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення Draco XD,,2629,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-draco-xd.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
745121446,,,,,.1655474,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence A250PWM (XC035),,329,1,https://comfy.ua/processornyj-kuler-xilence-a250pwm-xc035.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
745121506,,,,,.1669295,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Процесорний кулер ARCTIC Freezer 7 X (ACFRE00077A),,1049,1,https://comfy.ua/processornyj-kuler-arctic-freezer-7-x-acfre00077a.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
745121514,,,,,.1655467,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence M403 Pro (XC029),,1049,1,https://comfy.ua/processornyj-kuler-xilence-m403-pro-xc029.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
745121544,,,,,.1650955,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Define 7 Compact Black (FD-C-DEF7C-01),,6869,1,https://comfy.ua/korpus-fractal-design-atx-bez-bzh-define-7-compact-black-fd-c-def7c-01.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
745121548,,,,,.1650935,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Define 7 Compact Black TG Dark Tint (FD-C-DEF7C-02),,7489,1,https://comfy.ua/korpus-fractal-design-atx-bez-bzh-define-7-compact-black-tg-dark-tint-fd-c-def7c-02.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
745121578,,,,,1651139,Игровые консоли и гейминг >> Комплектующие для игровых ПК,thermaltake,Корпус Thermaltake CA-1P8-00M1WN-00 Level 20 RS ARGB /Black,,6659,1,https://comfy.ua/korpus-thermaltake-ca-1p8-00m1wn-00-level-20-rs-argb-black.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
745121593,,,,,.1650942,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Define 7 Black TG Dark Tint (FD-C-DEF7A-03),,10729,1,https://comfy.ua/korpus-fractal-design-atx-bez-bzh-define-7-black-tg-dark-tint-fd-c-def7a-03.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
745121646,,,,,.1650949,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Define 7 Gray TG Light Tint Define (FD-C-DEF7A-08),,10579,1,https://comfy.ua/korpus-fractal-design-atx-bez-bzh-define-7-gray-tg-light-tint-define-fd-c-def7a-08.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
745121653,,,,,.1650953,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Define 7 XL Black TG Dark Tint Define 7 XL B TG Dark (FD-C-DEF7X-03),,14369,1,https://comfy.ua/korpus-fractal-design-atx-bez-bzh-define-7-xl-black-tg-dark-tint-define-7-xl-b-tg-dark-fd-c-def7x-03.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
745121654,,,,,1651130,Игровые консоли и гейминг >> Комплектующие для игровых ПК,thermaltake,Корпус Thermaltake CA-1K9-00F1WN-02 Level 20 GT ARGB/Black,,4298,1,https://comfy.ua/korpus-thermaltake-ca-1k9-00f1wn-02-level-20-gt-argb-black.html,9549,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
745121656,,,,,.1651003,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,"Корпус Gamemax MATX без блока живлення, USB3.0 MT-301U3-NP",,1269,1,https://comfy.ua/korpus-gamemax-matx-bez-bloka-pitanija-usb3-0-mt-301u3-np.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
745123341,,,,,.1655355,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,Корпус Cougar MX330-G Black,,2099,1,https://comfy.ua/korpus-cougar-mx330-g-black.html,2699,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
745267587,6635114,PHILIPS,"""Монитор PHILIPS 27"""" 275E2FAE/00 Black""",8999,1686560,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 275E2FAE/00,,8999,1,https://comfy.ua/monitor-philips-275e2fae-00.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
