745556347,column,column,column,column,1686316,"Аудио, фото и видео >> Наушники по типу",sennheiser,bluetooth_sennheiser_sp_30_,column,11339,1,httpscomfyuabluetoothspikerfonsennheisersp30thtml,column,05112025_1810,column,__42,Фастів,0
745267616,,,,,1686378,Техника для кухни >> Крупная техника,snaige,Холодильник Snaige CD29DM-S300S,,22499,1,https://comfy.ua/holodil-nik-snaige-cd29dm-s300s.html,23999,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
745267620,6629754,ROTEX,Паровая система ROTEX RIC205-S SUPER STEAM,1899,1679021,Техника для дома >> Мелкая техника >> Утюги >> Утюги Rotex,rotex,Вертикальний відпарювач стаціонарний Rotex RIC205-S Super Steam,,1899,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-rotex-ric205-s-super-steam.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
745397840,,,,,1685368,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Dell 220V 19.5V 150W 7.7A (7.4*5.0) (DL150G7450),,585,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-dell-220v-19-5v-150w-7-7a-7-4-5-0-dl150g7450.html,1299,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
745484386,,,,,1683158,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GT642SYW,,14399,1,https://comfy.ua/catalog/product/view/id/1396123,15299,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
745484412,6622832,GORENJE,Варочная поверхность GORENJE GTW642SYB,13899,1688396,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GTW642SYB,,13899,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gtw642syb.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
745484460,6630038,CECOTEC,Электрочайник CECOTEC ThermoSense 370 Clear (CCTC-01511),1099,1688571,Техника для кухни >> Мелкая техника,cecotec,Електричний чайник Cecotec ThermoSense 370 Clear,,1099,1,https://comfy.ua/jelektricheskij-chajnik-cecotec-thermosense-370-clear.html,1499,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
745485424,,,,,1683200,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GW6D42CLI,,13799,1,https://comfy.ua/catalog/product/view/id/1396133,14699,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
745485501,,,,,1683158,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GT642SYW,,14399,1,https://comfy.ua/catalog/product/view/id/1396123/s/varochnaja-panel-gazovaja-gorenje-gt642syw,15299,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
745485519,,,,,1686989,Техника для кухни >> Крупная техника,aeg,Морозильна камера вбудована AEG ABR818F6NC,,32999,1,https://comfy.ua/catalog/product/view/id/1393363/s/morozil-naja-kamera-aeg-abr818f6nc,55199,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
745485533,6630448,SENCOR,Плитка SENCOR SCP4001BK,5199,1688917,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP4001BK,,5199,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp4001bk.html,5999,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
