746254799,column,column,column,column,1689172,Посуда >> Нарезка и измельчение,tescoma,_tescoma_643862_handy_,column,2299,1,httpscomfyuaterkatescoma643862handymultifunkcionalnajahtml,column,05112025_1937,column,__42,Фастів,0
746254799,,,,,.1689172,Посуда >> Нарезка и измельчение,tescoma,Терка tescoma 643862 Handy багатофункціональна,,2299,1,https://comfy.ua/terka-tescoma-643862-handy-mul-tifunkcional-naja.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
746264792,,,,,1690058,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные MSI",msi,Миша дротова ігрова MSI Clutch GM20 Elite,,1299,1,https://comfy.ua/mysh-provodnaja-igrovaja-msi-clutch-gm20-elite.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,1
746265897,,,,,1682865,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1158006331 CORVO CROMARGAN PROTECT 66 пр.,,27999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1158006331-corvo-cromargan-protect-66-pr.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
746270336,6591604,ARDESTO,Мясорубка ARDESTO MGL-1790R Black,2379,1642238,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Ardesto,ardesto,М'ясорубка Ardesto MGL-1790R,,2499,1,https://comfy.ua/mjasorubka-ardesto-mgl-1790r.html,2699,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
746270338,6657918,PERFELLI,Вытяжка PERFELLI DNS 6452 D 850 GR LED,6099,1665290,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6452 D 850 GR LED,,6099,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6452-d-850-gr-led.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
746270339,6657917,PERFELLI,Вытяжка PERFELLI DNS 6452 D 850 BL LED,5175,1665277,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6452 D 850 BL LED,,3392,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6452-d-850-bl-led.html,5799,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
746270341,,,,,1691106,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Kamvas 22 + рукавичка (GS2201),,31499,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-22-perchatka-gs2201.html,34999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
746270342,6657908,PERFELLI,Вытяжка PERFELLI DN 6452 D 850 BL LED,4219,1665279,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DN 6452 D 850 BL LED,,4699,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dn-6452-d-850-bl-led.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
746270343,6657914,PERFELLI,Вытяжка PERFELLI DNS 6422 D 850 GR LED,4799,1665288,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6422 D 850 GR LED,,4799,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6422-d-850-gr-led.html,5799,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
746270344,6657913,PERFELLI,Вытяжка PERFELLI DNS 6422 D 850 BL LED,4699,1665280,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6422 D 850 BL LED,,4699,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6422-d-850-bl-led.html,5599,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
