747070794,6628934,camry,_camry_cr_1291,1407,1688866,Техника для кухни >> Мелкая техника,camry,__camry_cr_1278,column,835,1,httpscomfyuajelektricheskijchajnikcamrycr1278html,column,05112025_2015,column,__42,Фастів,0
747070794,6628934,CAMRY,Электрочайник CAMRY CR 1291,1407,1688866,Техника для кухни >> Мелкая техника,camry,Електричний чайник Camry CR 1278,,835,1,https://comfy.ua/jelektricheskij-chajnik-camry-cr-1278.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
747070796,6628932,ADLER,Электрочайник ADLER AD 1203,810,1688612,Техника для кухни >> Мелкая техника,adler,Електричний чайник Adler AD 1203,,775,1,https://comfy.ua/jelektricheskij-chajnik-adler-ad-1203.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
747070809,6636642,GORENJE,Варочная поверхность GORENJE GW 6D42CLB,13799,1683188,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW6D42CLB,,13799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw6d42clb.html,14699,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
747073968,6635516,ELEYUS,Вытяжка ELEYUS Bora 1200 LED SMD 90 IS,8499,1693993,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS Bora 1200 LED SMD 90 IS,,8499,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-eleyus-bora-1200-led-smd-90-is.html,9949,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
747073971,6536819,GRUNHELM,Морозильный ларь GRUNHELM GCFW-145,6199,1693485,Техника для кухни >> Крупная техника >> Морозильные лари >> Морозильные лари Grunhelm,grunhelm,Морозильна скриня Grunhelm GCFW-145,,6499,1,https://comfy.ua/morozil-nyj-lar-grunhelm-gcfw-145.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
747074926,,,,,1673605,Техника для кухни >> Мелкая техника,wmf,Електричний чайник WMF 0413260011 TMK LUMERO MULTI-WK,,6399,1,https://comfy.ua/jelektricheskij-chajnik-wmf-lumero-4211129140515.html,9999,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
747074927,,,,,1673604,Техника для кухни >> Мелкая техника,wmf,Електричний чайник WMF 0413290011 KET LUMERO WK,,4999,1,https://comfy.ua/jelektricheskij-chajnik-wmf-lumero-4211129140522.html,5999,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
747074929,,,,,1673622,Техника для кухни >> Мелкая техника,wmf,"Блендер стаціонарний WMF 0416490011 KIMI BLENDER 0,8L",,3999,1,https://comfy.ua/blender-stacionarnyj-wmf-kitchenminis-0-8-l-4211129128131.html,5499,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
747093088,,,,,.1691557,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Red Wine (705216),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-red-wine-705216.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
747093098,,,,,.1691204,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Space (705200),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-space-705200.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
747095368,,,,,1691486,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Smart for Samsung Galaxy Tab A 2019 10.1 SM-T510/SM-T515 Spring (703853),,349,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-samsung-galaxy-tab-a-2019-10-1-sm-t510-sm-t515-spring-703853.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
747096941,,,,,1691663,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры OSAKA,osaka,Кондиціонер спліт OSAKA ST-18HH Elite,,28829,1,https://comfy.ua/kondicioner-split-osaka-st-18hh-elite.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
747107934,,,,,1673617,Техника для кухни >> Мелкая техника,wmf,Блендер заглибний WMF 416350011 LINEO 4в1,,4999,1,https://comfy.ua/blender-pogruzhnoj-wmf-lineo-4v1-4211129116381.html,6999,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
