747295799,column,column,column,column,1687029,Посуда >> Для приготовления,tefal,_tefal_g2557172_unlimited_26___,column,2999,1,httpscomfyuacatalogproductviewid1405533,3799,05112025_1858,column,__42,Фастів,0
747295859,,,,,1687024,Посуда >> Для приготовления,tefal,Сковорода для млинців Tefal G2553872 Unlimited 25 см,,1399,1,https://comfy.ua/catalog/product/view/id/1405463,1979,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
747295924,,,,,1679245,Посуда >> Для напитков,maxmark,"Френч-прес Maxmark MK-F69-800 0,8 л",,363,1,https://comfy.ua/catalog/product/view/id/1398943,899,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
747295972,,,,,1689221,Посуда >> Для сервировки,tescoma,Набір дитячий 3 пр. tescoma 667950 Bambini фея,,1799,1,https://comfy.ua/nabor-detskij-3-pr-tescoma-667950-bambini-feja.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
747296008,,,,,1677824,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Tescoma,tescoma,Відкривачка для пляшок tescoma 420230 Presto,,139,1,https://comfy.ua/otkryvalka-dlja-butylok-tescoma-420230-presto.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
747296012,,,,,.1677858,Посуда >> Кухонные аксессуары,tescoma,Відкривачка tescoma 420266 Presto,,299,1,https://comfy.ua/otkryvalka-tescoma-420266-presto.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
747296056,,,,,1683966,Посуда >> Кухонные аксессуары,wmf,Відкривачка WMF 1871486030 PROFI PLUS,,1499,1,https://comfy.ua/otkryvalka-wmf-1871486030-profi-plus.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
747296058,,,,,1687381,Посуда >> Для сервировки,wmf,Набір для бара WMF 662856040 BARIC 3 пр.,,3999,1,https://comfy.ua/catalog/product/view/id/1439143,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
747296143,,,,,1687690,Посуда >> Кухонные аксессуары,wmf,Ситечко для чая/трав WMF 636466040 TEA TIME 4 см,,799,1,https://comfy.ua/sitechko-dlja-chaja-trav-wmf-636466040-tea-time-4-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
747296144,,,,,1684331,Посуда >> Кухонные аксессуары,wmf,Сито WMF 1871706030 PROFI PLUS 8 см,,1299,1,https://comfy.ua/sito-wmf-1871706030-profi-plus-8-sm.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
747296146,,,,,.1683740,Посуда >> Кухонные аксессуары,wmf,Сито WMF 1871726030 PROFI PLUS 16 см,,2399,1,https://comfy.ua/sito-wmf-1871726030-profi-plus-16-sm.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
747296150,,,,,1672283,Посуда >> Для приготовления,sola,Набір посуду Sola 4 шт. 13DIAM 004,,12759,1,https://comfy.ua/catalog/product/view/id/1410063,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
747296305,,,,,1684344,Посуда >> Для напитков,wmf,Френч-прес WMF 630796030 KULT,,4499,1,https://comfy.ua/catalog/product/view/id/1395753,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
747296307,,,,,1684343,Посуда >> Для напитков,wmf,Чайник заварювальний WMF 631096030 SmarTeaс подставкой для подогрева 1 л,,5799,1,https://comfy.ua/catalog/product/view/id/1395613,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
747296499,,,,,956181,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,"""Подрукавник для прасування",,,,,,,,,,
747296505,,,,,1682112,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 575284021 PermaDur Excell 28 см,,3499,1,https://comfy.ua/catalog/product/view/id/1377163,4599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
747296507,,,,,1682361,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 761506380 для риби,,5899,1,https://comfy.ua/skovoroda-universal-naja-wmf-761506380-dlja-ryby.html,7999,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
747296509,,,,,.1682354,Посуда >> Для приготовления,wmf,Сковорода ВОК WMF 753506040 28 см,,8999,1,https://comfy.ua/skovoroda-vok-wmf-753506040-28-sm.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
747296548,,,,,1694560,Посуда >> Нарезка и измельчение,berghoff,Ніж для видалення серцевини Berghoff 1301052 Essentials,,249,1,https://comfy.ua/nozh-dlja-udalenija-serdceviny-berghoff-1301052-essentials.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
747297404,,,,,1684389,Посуда >> Для напитков,wmf,Термочашка WMF 690726040 IMPULSE 350 мл Steel,,1539,1,https://comfy.ua/termokruzhka-wmf-690726040-impulse-350-ml-steel.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
747297419,,,,,1683598,Посуда >> Кухонные аксессуары,wmf,Ложка для спагетті WMF 1871086030 PROFI PLUS 32 см,,1099,1,https://comfy.ua/lozhka-dlja-spagetti-wmf-1871086030-profi-plus-32-sm.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
747297421,,,,,1683560,Посуда >> Кухонные аксессуары,wmf,Ложка кухарська WMF 1872466030 PROFI PLUS 32 см,,1099,1,https://comfy.ua/lozhka-povarskaja-wmf-1872466030-profi-plus-32-sm.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
747297423,,,,,.1683534,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1280239990 RANCH для стейка 12 пр.,,2399,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1280239990-ranch-dlja-stejka-12-pr.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
747297988,,,,,1684370,Посуда >> Для напитков,wmf,Термокувшин WMF 690697270 IMPULSE 1 л Dark Grey,,2799,1,https://comfy.ua/termokuvshin-wmf-690697270-impulse-1-l-dark-grey.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
747297991,,,,,1684372,Посуда >> Для напитков,wmf,Термокувшин WMF 690687390 IMPULSE 1 л Black,,2799,1,https://comfy.ua/termokuvshin-wmf-690687390-impulse-1-l-black.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
747297992,,,,,1684368,Посуда >> Для напитков,wmf,"Термокувшин WMF 690666040 IMPULSE, 1 л",,5999,1,https://comfy.ua/termokuvshin-wmf-690666040-impulse-1-l.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
