747297996,column,column,column,column,1683535,Посуда >> Для сервировки,wmf,___wmf_1289616046_geschenkidee___6_,column,3499,1,httpscomfyuanabornozhejstolovyhwmf1289616046geschenkideedljastejka6prhtml,column,05112025_1905,column,__42,Фастів,0
747295799,,,,,1687029,Посуда >> Для приготовления,tefal,Сотейник Tefal G2557172 Unlimited 26 см з кр,,2999,1,https://comfy.ua/catalog/product/view/id/1405533,3799,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
747295800,,,,,1678867,Посуда >> Для приготовления,tescoma,Сотейник tescoma 780356 President Stone,,4199,1,https://comfy.ua/catalog/product/view/id/1411853,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
747295801,,,,,1682348,Посуда >> Для приготовления,wmf,Сотейник WMF 1756386411 Hexagon 28 см,,4799,1,https://comfy.ua/sotejnik-wmf-1756386411-hexagon-28-sm.html,6499,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
747295857,,,,,1687019,Посуда >> Для приготовления,tefal,Сковорода універсальна Tefal G2550472 Unlimited 24 см,,1799,1,https://comfy.ua/catalog/product/view/id/1405173,2299,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,3
747295858,,,,,1687023,Посуда >> Для приготовления,tefal,Сковорода універсальна Tefal G2550672 Unlimited 28 см,,1999,1,https://comfy.ua/catalog/product/view/id/1405403,2529,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,1
747295860,,,,,1687026,Посуда >> Для приготовления,tefal,Сковорода ВОК Tefal G2551972 Unlimited 28 см ВОК,,2199,1,https://comfy.ua/catalog/product/view/id/1405473,2829,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747295971,,,,,1689222,Посуда >> Для сервировки,tescoma,Набір дитячий 3 пр. tescoma 667955 Bambini машинки,,1799,1,https://comfy.ua/nabor-detskij-3-pr-tescoma-667955-bambini-mashinki.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
747295974,,,,,1683517,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1282956040 MICKEY MOUSE 4 пр.,,2299,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1282956040-mickey-mouse-4-pr.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
747296017,,,,,.1661429,Посуда >> Кухонные аксессуары,tescoma,Штопор tescoma 420246 Presto з ножиком,,999,1,https://comfy.ua/shtopor-tescoma-420246-presto-s-nozhikom.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
747296018,,,,,1684435,Посуда >> Кухонные аксессуары,wmf,Штопор WMF 658186200 CLEVER & MORE,,1199,1,https://comfy.ua/shtopor-wmf-658186200-clever-more.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
747296057,,,,,1684431,Посуда >> Кухонные аксессуары,wmf,Штопор WMF 658257920 VINO,,1999,1,https://comfy.ua/shtopor-wmf-658257920-vino.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
