748270199,column,column,column,column,1682633,Посуда >> Для приготовления,wmf,_wmf_1743016040_vitalis_aroma___28_,column,7699,1,httpscomfyuacatalogproductviewid1369703,column,05112025_1907,column,__42,Фастів,0
748234335,6670431,KELA,Сушилка для салата KELA Mailin Green (11906),969,1673874,Посуда >> Для приготовления >> Специальная посуда >> Специальная посуда Kela,kela,Сушка для салату Kela Mailin Green 24.5х17.5 см (11906),,969,1,https://comfy.ua/sushka-dlja-salata-kela-mailin-green-24-5h17-5-sm-11906.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
748235413,6440043,SAME TOY,Головоломка SAME TOY IQ Ball Cube (2574Ut),103,1593352,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Same Toy,same-toy,Головоломка Same Toy IQ Ball Cube Кольорова чудо-куля (2574Ut),,129,1,https://comfy.ua/golovolomka-same-toy-iq-ball-cube-cvetnoj-chudo-shar-2574ut.html,239,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
748236421,6670305,KELA,Кухонное полотенце KELA Carla Streifen Белое (12281),229,1650151,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Carla Streifen Blue-Green 70х50 см (12281),,229,1,https://comfy.ua/polotence-kuhonnoe-kela-carla-streifen-blue-green-70h50-sm-12281.html,419,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
748236436,,,,,1673887,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Kela,kela,Прес для бургерів Kela Buffalo 12 см (11715),,769,1,https://comfy.ua/press-dlja-burgerov-kela-buffalo-12-sm-11715.html,1099,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
748236475,6517195,KELA,Мельничка KELA Kaja 6 х 30 см (11788),2449,1673705,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Kaja 6х30 см (11788),,2449,1,https://comfy.ua/mel-nica-dlja-specij-kela-kaja-6h30-sm-11788.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
748236477,6517196,KELA,Мельничка KELA Molino 6.5 х 13.5 см (11665),769,1673706,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Molino 6.5х13.5 см (11665),,769,1,https://comfy.ua/mel-nica-dlja-specij-kela-molino-6-5h13-5-sm-11665.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
748236484,6705188,GEFU,Мельница для специй Gefu X-Plosion размер М (34627),1712,1636536,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Млинок для спецій Gefu X-PLOSION M (34627),,2283,1,https://comfy.ua/mel-nica-dlja-specij-gefu-x-plosion-m-34627.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
748236575,6705187,GEFU,Мельница для специй Gefu X-Plosion (34623),1418,1636535,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Gefu,gefu,Млинок для спецій Gefu X-PLOSION (34623),,1890,1,https://comfy.ua/mel-nica-dlja-specij-gefu-x-plosion-34623.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
748236589,7088072,PEUGEOT,Мельничка для перца PEUGEOT Daman 16см (25427),4275,1655109,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 16 см U-S 25427,,4275,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-16-sm-u-s-25427.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
748237193,6670429,KELA,Сушка для пасты KELA Adriana (11723),519,1650144,Посуда >> Для приготовления >> Специальная посуда >> Специальная посуда Kela,kela,Сушка для пасти Kela Adriana (11723),,519,1,https://comfy.ua/sushka-dlja-pasty-kela-adriana-11723.html,799,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
