751207516,6614614,philips,_philips_bre74010__8000,6199,1662661,___________philips,philips,_philips_bre74010,column,6199,1,httpscomfyuajepiljatorphilipsbre74010html,8399,05112025_1831,column,__42,Фастів,0
750998084,7051615,NATTOU,Погремушка NATTOU Пандочка Лулу (963152),407,1688712,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Nattou,nattou,Брязкальце Nattou шарудить пандочка Лулу (963152),,699,1,https://comfy.ua/pogremushka-nattou-shurshaschaja-pandochka-lulu-963152.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
751177698,,,,,1699022,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 630646 Delicia 7 см 6 шт.,,359,1,https://comfy.ua/catalog/product/view/id/1624773,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
751195067,,,,,1695509,Посуда >> Для приготовления,tescoma,Ківш tescoma 780262 President 16 см 1.5 л,,2599,1,https://comfy.ua/kovsh-tescoma-780262-president-16-sm-1-5-l.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
751207173,,,,,.1703298,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Веб-камера для комп'ютера A4tech PK-940HA 1080P Black,,1699,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-a4tech-pk-940ha-1080p-black.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
751207516,6614614,PHILIPS,Эпилятор PHILIPS BRE740/10 серии 8000,6199,1662661,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Philips,philips,Епілятор Philips BRE740/10,,6199,1,https://comfy.ua/jepiljator-philips-bre740-10.html,8399,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
751216016,6907164,FIRST,Электрочайник FIRST FA-5411-0,1075,1589530,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические First,first,Електричний чайник First FA-5411-0,,1075,1,https://comfy.ua/jelektricheskij-chajnik-first-fa-5411-0.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
751516869,6671329,TWINKLY,Гирлянда TWINKLY Cluster AWW (TWC400GOP-BEU),4976,1703141,Дом и отдых >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly,twinkly,"Гірлянда лінійна Twinkly Smart LED Cluster AWW, 400, BT + WiFi, Gen II, IP44, чорний (TWC400GOP-BEU)",,4975,1,https://comfy.ua/girljanda-linejnaja-twinkly-smart-led-cluster-aww-400-bt-wifi-gen-ii-ip44-chernyj-twc400gop-beu.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
751516899,6600545,TWINKLY,Гирлянда TWINKLY Smart LED Cluster RGB 400 (TWC400STP-BEU),4976,1703142,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly",twinkly,"Гірлянда лінійна Twinkly Smart LED Cluster RGB, 400, BT + WiFi, Gen II, IP44, чорний (TWC400STP-BEU)",,4975,1,https://comfy.ua/girljanda-linejnaja-twinkly-smart-led-cluster-rgb-400-bt-wifi-gen-ii-ip44-chernyj-twc400stp-beu.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
751516959,6600538,TWINKLY,"Гирлянда TWINKLY Smart LED Curtain,Wall RGBW 210 (TWW210SPP-TEU)",4976,1703143,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly",twinkly,"Гірлянда-штора Twinkly Smart LED Curtain, Wall RGBW 210, BT + WiFi, Gen II, IP44, прозорий (TWW210SPP-TEU)",,4975,1,https://comfy.ua/girljanda-shtora-twinkly-smart-led-curtain-wall-rgbw-210-bt-wifi-gen-ii-ip44-prozrachnyj-tww210spp-teu.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
751516994,6600539,TWINKLY,Гирлянда TWINKLY Smart LED Icicle RGBW 190 (TWI190SPP-TEU),3989,1703145,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Twinkly",twinkly,"Гірлянда-штора Twinkly Smart LED Icicle RGBW 190, BT + WiFi, Gen II, IP44, прозорий (TWI190SPP-TEU)",,3989,1,https://comfy.ua/girljanda-shtora-twinkly-smart-led-icicle-rgbw-190-bt-wifi-gen-ii-ip44-prozrachnyj-twi190spp-teu.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
