752018647,column,column,column,column,1682196,Посуда >> Для приготовления,wmf,_wmf_575384021_permadur_excell_28_,column,3799,1,httpscomfyuasotejnikwmf575384021permadurexcell28smhtml,4999,05112025_1902,column,__42,Фастів,0
752018647,,,,,1682196,Посуда >> Для приготовления,wmf,Сотейник WMF 575384021 PermaDur Excell 28 см,,3799,1,https://comfy.ua/sotejnik-wmf-575384021-permadur-excell-28-sm.html,4999,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
752018648,,,,,1682346,Посуда >> Для приготовления,wmf,Сотейник WMF 732286041 28 см,,4999,1,https://comfy.ua/sotejnik-wmf-732286041-28-sm.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
752018649,,,,,1682347,Посуда >> Для приготовления,wmf,Сотейник WMF 1756346411 Hexagon 24 см,,5799,1,https://comfy.ua/sotejnik-wmf-1756346411-hexagon-24-sm.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
752072888,6701881,BABYLISS,Фен-щетка BABYLISS AS136E,3099,1688536,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Babyliss,babyliss,Фен-щітка Babyliss AS136E,,3099,1,https://comfy.ua/fen-schetka-babyliss-as136e.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
752085111,,,,,.1695280,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623340 Delicia,,859,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623340-delicia.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
752085578,,,,,.1696623,Посуда >> Для приготовления,vitrinor,Ківш Vitrinor К2 16 см 1.3 л,,536,1,https://comfy.ua/kovsh-vitrinor-k2-16-sm-1-3-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
752085597,,,,,.1695283,Посуда >> Для запекания и выпечки,tescoma,Набір міні-форм для приготування tescoma 630591 Delicia 4 шт.,,499,1,https://comfy.ua/nabor-mini-form-dlja-prigotovlenija-tescoma-630591-delicia-4-sht.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
752085598,,,,,1695279,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623114 Delicia 28 см,,599,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623114-delicia-28-sm.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
752087031,,,,,.1695281,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623342 Delicia,,609,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623342-delicia.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
752088700,7060132,EMILE HENRY,Форма EMILE HENRY 30 х 19 см (349650),1620,1697520,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 29x19 см 349650,,2225,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-29x19-sm-349650.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
