752437224,6611761,nic,____nic__nic530747,760,1704551,__________nic,nic,___nic______nic530747,column,779,1,httpscomfyuasjuzhetnorolevajaigraposudanicnabordljavypechkirozhdestvobolshojnic530747html,column,06112025_042,column,__42,Фастів,0
752437043,6439502,GOKI,Элемент игрового набора GOKI Прихватка (58524G),65,1702895,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры goki,goki,Сюжетно-рольова гра. Кухня goki Прихвачує (58524G),,65,1,https://comfy.ua/sjuzhetno-rolevaja-igra-kuhnja-goki-prihvatka-58524g.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752437047,,,,,1697217,Детские товары >> Игрушки,tigres,Автотранспорт Tigres Авто-жучок (39011),,109,1,https://comfy.ua/avtotransport-tigres-avto-zhuchok-39011.html,,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
752437054,,,,,1702959,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Універмаг (WZ6594Z),,679,1,https://comfy.ua/aksessuary-dlja-figurok-li-l-woodzeez-univermag-wz6594z.html,999,06.11.2025 1:41,,"вул. Соборна, 42",Фастів,0
752437061,7045320,STRATEG,Настольная игра STRATEG Logi tep (30269),555,1699490,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (12+) Strateg Logi tep (30269),,745,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-12-strateg-logi-tep-30269.html,,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
752437068,,,,,1702962,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Дорога (WZ6602Z),,429,1,https://comfy.ua/aksessuary-dlja-figurok-li-l-woodzeez-doroga-wz6602z.html,699,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
752437087,,,,,1705591,Детские товары >> Игрушки >> Конструкторы >> Конструкторы MagPlayer,magplayer,Магнітний конструктор Magkiss Платформа На Колесах 2 ел. (MPB-2),,179,1,https://comfy.ua/magnitnyj-konstruktor-magplayer-platforma-na-kolesah-2-jel-mpb-2.html,255,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
752437090,,,,,1696906,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Наземна спецтехніка Wader ''Magic Truck Technic 'Magic Truck Technic"""" з бульдозером (36430)""",,1375,1,https://comfy.ua/nazemnaja-spectehnika-wader-magic-truck-technic-s-bul-dozerom-36430.html,,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
752437104,,,,,1705596,Детские товары >> Игрушки >> Конструкторы >> Конструкторы MagPlayer,magplayer,Магнітний конструктор Magkiss 48 ел. (MPT-48),,2495,1,https://comfy.ua/magnitnyj-konstruktor-magplayer-48-jel-mpt-48.html,,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
752437112,,,,,1705963,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Same Toy,same-toy,Електронний конструктор Same Toy Мультібот 14 в 1 на сонячної панелі (214UT),,559,1,https://comfy.ua/jelektronnyj-konstruktor-same-toy-mul-tibot-14-v-1-na-solnechnoj-paneli-214ut.html,799,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
752437124,6611389,JANOD,Музыкальный инструмент JANOD Бубен (J07601),733,1701065,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Бубен Janod J07601,,959,1,https://comfy.ua/buben-janod-j07601.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
752437139,,,,,1696893,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Наземна спецтехніка Wader """"Magic Truck"""" авто швидка допомога (36210)""",,1265,1,https://comfy.ua/nazemnaja-spectehnika-wader-magic-truck-avto-skoraja-pomosch-36210.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
752437149,,,,,1702970,Детские товары >> Игрушки,lori,Меблі і будиночки для ляльки Lori Аеропорт (LO37054Z),,1999,1,https://comfy.ua/aksessuary-dlja-figurok-lori-ajeroport-lo37054z.html,,06.11.2025 0:46,,"вул. Соборна, 42",Фастів,0
752437163,7045341,STRATEG,Обучающие пазлы STRATEG Кто где живет? укр (30700),199,1698515,Детские товары >> Игрушки >> Пазлы >> Пазлы Strateg,strateg,Пазли (3-4 роки) Strateg Кто где живет? 36 эл. (30700),,319,1,https://comfy.ua/pazly-kartonnye-3-4-goda-strateg-kto-gde-zhivet-36-jel-30700.html,,06.11.2025 1:47,,"вул. Соборна, 42",Фастів,0
752437214,,,,,1700900,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Macik,macik,"""Кубики Macik 'Ферма"""" (МС 090601-02)""",,209,1,https://comfy.ua/kubiki-mjagkie-macik-ferma-ms-090601-02.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
752437224,6611761,NIC,Игровой набор для выпечки NIC Рождество (NIC530747),760,1704551,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры nic,nic,Сюжетно-рольова гра. Посуд nic Набір для випічки Різдво великий (NIC530747),,779,1,https://comfy.ua/sjuzhetno-rolevaja-igra-posuda-nic-nabor-dlja-vypechki-rozhdestvo-bol-shoj-nic530747.html,,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
752437247,6613828,NIC,Игровой набор NIC 3 пр (NIC530600),320,1704546,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры nic,nic,Сюжетно-рольова гра. Посуд nic Ігровий набір кухонного приладдя емаль 3 од. (NIC530600),,319,1,https://comfy.ua/sjuzhetno-rolevaja-igra-posuda-nic-igrovoj-nabor-kuhonnyh-prinadlezhnostej-jemal-3-ed-nic530600.html,,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
752437264,6611559,LI'L WOODZEEZ,Набор фигурок LI'L WOODZEEZ Bobblehead Серия 3 3 шт (63100Z),199,1697932,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Bobblehead 3 шт. Серія 3 (63100Z),,279,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-bobblehead-3-sht-serija-3-63100z.html,,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
752437267,6611339,JANOD,Развивающая игра JANOD Танграм (J05070),600,1689771,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Janod,janod,Головоломка Janod Танграм (J05070),,799,1,https://comfy.ua/golovolomka-labirint-janod-tangram-j05070.html,,06.11.2025 0:23,,"вул. Соборна, 42",Фастів,0
752437268,6611750,NIC,Игровая сковородка NIC 9 см (NIC530320),267,1704530,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры nic,nic,Сюжетно-рольова гра. Посуд nic Ігрова сковорідка металева 9 см (NIC530320),,269,1,https://comfy.ua/sjuzhetno-rolevaja-igra-posuda-nic-igrovaja-skovorodka-metallicheskaja-9-sm-nic530320.html,,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
752437272,6611738,NIC,Игровая кастрюлька NIC 12 см (NIC530313),373,1704529,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры nic,nic,Сюжетно-рольова гра. Посуд nic Ігрова каструлька металева 12 см (NIC530313),,499,1,https://comfy.ua/sjuzhetno-rolevaja-igra-posuda-nic-igrovaja-kastrjul-ka-metallicheskaja-12-sm-nic530313.html,,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
752437280,6611740,NIC,Игровая кастрюлька NIC 9 см (NIC530310),360,1704528,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры nic,nic,Сюжетно-рольова гра. Посуд nic Ігрова каструлька металева 9 см (NIC530310),,479,1,https://comfy.ua/sjuzhetno-rolevaja-igra-posuda-nic-igrovaja-kastrjul-ka-metallicheskaja-9-sm-nic530310.html,,06.11.2025 0:42,,"вул. Соборна, 42",Фастів,0
