752438701,column,column,column,column,1697427,Детские товары >> Игрушки,tigres,__tigres___55__0212,column,1569,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkamariush55smve0212html,column,06112025_140,column,__42,Фастів,0
752438662,,,,,1696710,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Canpol babies,canpol-babies,Мобіль музичний Canpol babies 75/100_pin,,3099,1,https://comfy.ua/mobil-muzykal-nyj-canpol-babies-75-100-pin.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
752438664,,,,,1696708,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Canpol babies,canpol-babies,Мобіль музичний Canpol babies 75/100_blu,,3099,1,https://comfy.ua/mobil-muzykal-nyj-canpol-babies-75-100-blu.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752438666,,,,,1696706,Comfy KIDS >> Игрушки для малышей >> Мобили >> Мобили Canpol babies,canpol-babies,Мобіль музичний Canpol babies Sensory Toys (68/084),,2399,1,https://comfy.ua/mobil-muzykal-nyj-canpol-babies-sensory-toys-68-084.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
752438669,,,,,1696690,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Canpol babies,canpol-babies,Міні-мобіль Canpol babies Sensory Toys Карусель для подорожей (68/083),,959,1,https://comfy.ua/mini-mobil-canpol-babies-sensory-toys-karusel-dlja-puteshestvij-68-083.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752438677,,,,,1697387,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" бортовий з лафетом Червоний (39669)""",,449,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-bortovoj-s-lafetom-krasnyj-39669.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
752438680,,,,,1697452,Детские товары >> Игрушки,tigres,"М'яка іграшка Tigres Собачка чихуахуа білий (д-18, в-21, ш-17) (СО-0095)",,329,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-sobachka-chihuahua-belyj-d-18-v-21-sh-17-so-0095.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
752438682,,,,,1697450,Детские товары >> Игрушки,tigres,"М'яка іграшка Tigres Совеня Розі (д-23, в-28, ш-14) (ПТ-0007)",,525,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-sovjonok-rozi-d-23-v-28-sh-14-pt-0007.html,,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
752438685,,,,,.1697443,Детские товары >> Игрушки,tigres,"М'яка іграшка Tigres Їжачок-Малючок (д-15, в-24, ш-12) (ЇЖ-0003)",,289,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-ezhik-maljuchok-d-15-v-24-sh-12-izh-0003.html,,06.11.2025 1:16,,"вул. Соборна, 42",Фастів,0
752438690,,,,,1697402,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" пасажирський Синій (39657)""",,311,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-passazhirskij-sinij-39657.html,389,06.11.2025 0:20,,"вул. Соборна, 42",Фастів,0
752438693,,,,,1697406,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" пасажирський Сірий (39658)""",,311,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-passazhirskij-seryj-39658.html,389,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
752438696,,,,,1697408,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" вантажний Сірий (39654)""",,319,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-gruzovoj-seryj-39654.html,,06.11.2025 0:20,,"вул. Соборна, 42",Фастів,0
752438700,,,,,1697415,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" вантажний Червоний (39652)""",,319,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-gruzovoj-krasnyj-39652.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
752438701,,,,,1697427,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка"""" Маріуш"""" 55 см (ВЕ-0212)""",,1569,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-mariush-55-sm-ve-0212.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
752438704,,,,,1696660,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Canpol babies,canpol-babies,М'ячик для малюка Canpol babies Bears з дзвіночком (68/074_grey),,569,1,https://comfy.ua/mjachik-dlja-malysha-canpol-babies-bears-s-kolokol-chikom-68-074-grey.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752438706,,,,,1696657,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Canpol babies,canpol-babies,М'ячик для малюка Canpol babies Bears з дзвіночком (68/074_cor),,569,1,https://comfy.ua/mjachik-dlja-malysha-canpol-babies-bears-s-kolokol-chikom-68-074-cor.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
