752773993,column,column,column,column,1701800,Детские товары >> Игрушки,bruder,__bruder___man___02771,column,3205,1,httpscomfyuacatalogproductviewid1694853,column,06112025_025,column,__42,Фастів,0
752521805,6457411,SEQUIN ART,Набор для творчества SEQUIN ART RED Binky the Bunny New SA1603,400,1704280,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art RED Кролик Бінкі (SA1603),,545,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-red-krolik-binki-sa1603.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521808,6457344,SEQUIN ART,Набор для творчества SEQUIN ART BUTTON HeartSA1527,294,1704277,"Дом, отдых и зоотовары >> Декор для дома >> Картины по номерам >> Картины по номерам Sequin Art",sequin-art,Алмазний живопис Sequin Art Button Сердечко (SA1527),,295,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-button-serdechko-sa1527.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
752521810,6613913,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Зайчик (SA1814),320,1704336,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Зайчик (SA1814),,435,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-smoogles-zajchik-sa1814.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752521812,6654113,ROTEX,Блендер ROTEX RTB807-B,1499,1702197,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Rotex,rotex,Блендер заглибний Rotex RTB807-B,,1499,1,https://comfy.ua/blender-pogruzhnoj-rotex-rtb807-b.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
752521816,6457428,SEQUIN ART,Набор для творчества SEQUIN ART STARDUST Butterfly SA1012,400,1704330,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Stardust Метелики (SA1012),,539,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-stardust-babochki-sa1012.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752521819,6457422,SEQUIN ART,Набор для творчества SEQUIN ART RED Rascals Meerkats (SA1008),400,1704327,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Негідники Сурікати Red (SA1008),,545,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-negodniki-surikaty-red-sa1008.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752568394,6290562,TEFAL,Гриль TEFAL Minute Grill GC205012,3199,1061102,Техника для кухни >> Мелкая техника,tefal,Гриль-барбекю електричний Tefal GC205012,,3199,1,https://comfy.ua/gril-barbekju-jelektricheskij-tefal-gc205012-availability.html,4399,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
752731796,,,,,1696800,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Klein,klein,Базова машинка Klein Hot Wheels Бетонозмішувач (+2441),,329,1,https://comfy.ua/bazovaja-mashinka-klein-hot-wheels-betonosmesitel-2441.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
752773988,,,,,1701799,Детские товары >> Игрушки,bruder,Наземна спецтехніка BRUDER Евакуатор MAN c джипом (02750),,2829,1,https://comfy.ua/catalog/product/view/id/1695043,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
752773993,,,,,1701800,Детские товары >> Игрушки,bruder,Наземна спецтехніка BRUDER Пожежна машина MAN з драбиною (02771),,3205,1,https://comfy.ua/catalog/product/view/id/1694853,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
752784027,,,,,1695274,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629580 Delicia Casa 2 шт.,,799,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-629580-delicia-casa-2-sht.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
752808772,,,,,1701807,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Снігоприбиральна машина MB Unimog (02572),,1929,1,https://comfy.ua/nazemnaja-spectehnika-bruder-snegouborochnaja-mashina-mb-unimog-02572.html,,06.11.2025 1:08,,"вул. Соборна, 42",Фастів,0
752808773,,,,,1701799,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Евакуатор MAN c джипом (02750),,2829,1,https://comfy.ua/nazemnaja-spectehnika-bruder-jevakuator-man-c-dzhipom-02750.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
752808778,7071069,BRUDER,Пожарная машина BRUDER MAN (2771),3558,1701800,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Пожежна машина MAN з драбиною (02771),,3205,1,https://comfy.ua/nazemnaja-spectehnika-bruder-pozharnaja-mashina-man-s-lestnicej-02771.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
752808807,6613920,SILVERLIT,Игрушечное оружие SILVERLIT Lazer M.A.D. Black Ops (LM-86861),480,1702720,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Лазерний набір Silverlit Lazer M.A.D. Black Ops (LM-86861),,499,1,https://comfy.ua/lazernyj-nabor-silverlit-lazer-m-a-d-black-ops-lm-86861.html,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
752808817,6651506,GORENJE,Блендер GORENJE HBC804QW,1699,1712884,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Gorenje,gorenje,Блендер заглибний Gorenje HBC804QW,,1429,1,https://comfy.ua/blender-pogruzhnoj-gorenje-hbc804qw.html,1999,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
752808828,6613927,SILVERLIT,Игрушечное оружие SILVERLIT Lazer M.A.D. (LM-86846),562,1702714,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Лазерний набір Silverlit Lazer M.A.D. Тренувальний (LM-86846),,579,1,https://comfy.ua/lazernyj-nabor-silverlit-lazer-m-a-d-trenirovochnyj-lm-86846.html,,05.11.2025 23:24,,"вул. Соборна, 42",Фастів,0
752808829,6643049,GORENJE,Электрочайник GORENJE K 15 DWW (KESS4103-GS),1099,1712879,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Gorenje,gorenje,Електричний чайник Gorenje K15DWW,,999,1,https://comfy.ua/jelektricheskij-chajnik-gorenje-k15dww.html,1369,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,6
752808844,,,,,1708614,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Головоломка Djeco Поліссімо (DJ08451),,879,1,https://comfy.ua/golovolomka-iz-dereva-djeco-polissimo-dj08451.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
752808847,,,,,1708615,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Головоломка Djeco Кразікс (DJ08463),,799,1,https://comfy.ua/golovolomka-iz-metalla-djeco-kraziks-dj08463.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
