754084647,column,column,column,column,1697490,____________battat,battat,__battat_____bx1227z,column,894,1,httpscomfyuainteraktivnyjkljuchbattatsuperkljuchikisvetzvuktomatnyjbx1227zhtml,column,05112025_2031,column,__42,Фастів,0
754084441,,,,,1698329,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Taf Toys,taf-toys,Міні-мобіль Taf Toys Для коляски - Місяць (12095),,859,1,https://comfy.ua/mini-mobil-taf-toys-dlja-koljaski-mesjac-12095.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
754084485,6721623,BRAUN,Блендер BRAUN MultiQuick 9 MQ9135XI,4499,1715544,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Braun,braun,Блендер заглибний Braun MQ 9135 XI,,4499,1,https://comfy.ua/blender-pogruzhnoj-braun-mq-9135-xi.html,5799,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
754084518,7083426,DJECO,Настольная игра DJECO домино детское Собери животное (DJ08165),375,1708600,Детские товары >> Игрушки >> Пазлы >> Пазлы Djeco,djeco,Пазли (3-4 роки) Djeco Склади Тварина (DJ08165),,315,1,https://comfy.ua/pazly-kartonnye-3-4-goda-djeco-slozhi-zhivotnoe-dj08165.html,,06.11.2025 1:36,,"вул. Соборна, 42",Фастів,0
754084520,,,,,1697499,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Battat,battat,"Доска Battat для малювання магнітна Рафаель (4 штампа, томатна) (BX1294Z)",,1695,1,https://comfy.ua/doska-battat-dlja-risovanija-magnitnaja-rafajel-4-shtampa-tomatnaja-bx1294z.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
754084539,,,,,1698181,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Quercetti,quercetti,Мозаїка для малюків Quercetti 46 мм 30 ел. + Дошка-кейс (4401-Q),,1145,1,https://comfy.ua/mozaika-dlja-malyshej-quercetti-46-mm-30-jel-doska-kejs-4401-q.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754084546,,,,,1707267,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Baby Team,baby-team,Набір ігрових фігурок Baby Team Ферма 6 шт (8831),,347,1,https://comfy.ua/nabor-igrovyh-figurok-baby-team-ferma-6-sht-8831.html,462,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
754084548,,,,,1697581,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Battat,battat,Інтерактивний музичний інструмент Battat Пес-гітарист (BX1206Z),,2895,1,https://comfy.ua/interaktivnyj-muzykal-nyj-instrument-battat-pes-gitarist-bx1206z.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
754084556,,,,,1698171,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Quercetti,quercetti,Пластикова мозаїка Quercetti 10х15х20 мм 300 эл. + доска 28х20 cм (0900-Q),,499,1,https://comfy.ua/plastikovaja-mozaika-quercetti-10h15h20-mm-300-jel-doska-28h20-cm-0900-q.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
"Sulong Toys Off-Road Crawler – Speed King (черный металлик, метал. корпус, аккум. 6V) (SL-153RHMBl)""",,1999,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-sulong-toys-off-road-crawler-speed-king-chernyj-metallik-metal-korpus-akkum-6v-sl-153rhmbl.html,2697,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0,,,,,,,,
754084591,,,,,1698294,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"""Радіокерована машинка",,,,,,,,,,
754084621,,,,,1699190,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Бластер однозарядний Hasbro Nerf Elite 2.0 Вольт (E9952),,899,1,https://comfy.ua/blaster-odnozarjadnyj-hasbro-nerf-elite-2-0-vol-t-e9952.html,,06.11.2025 1:22,,"вул. Соборна, 42",Фастів,0
754084647,,,,,1697490,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Battat,battat,"Інтерактивний ключ Battat Супер-Ключики (світло, звук, томатний) (BX1227Z)",,894,1,https://comfy.ua/interaktivnyj-kljuch-battat-super-kljuchiki-svet-zvuk-tomatnyj-bx1227z.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
754084651,,,,,1702484,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,"Наземна спецтехніка BRUDER Поліцейський пікап Wrangler, з фігуркою поліцейського (02505)",,2879,1,https://comfy.ua/nazemnaja-spectehnika-bruder-policejskij-pikap-wrangler-s-figurkoj-policejskogo-02505.html,,06.11.2025 0:17,,"вул. Соборна, 42",Фастів,0
754084657,,,,,1698266,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys Off-Road Crawler – Rock Sport (черный, аккум. 3,6V, метал. корпус) (SL-110AB)",,1199,1,https://comfy.ua/radioupravljaemaja-mashinka-1-20-sulong-toys-off-road-crawler-rock-sport-chernyj-akkum-3-6v-metal-korpus-sl-110ab.html,1697,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
754084660,,,,,1698255,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Sulong Toys,sulong-toys,"Радіокерована машинка Sulong Toys Off-Road Crawler – Car VS Wild (красный, аккум. 3,6V, метал. корпус) (SL-109AR)",,1199,1,https://comfy.ua/radioupravljaemaja-mashinka-1-20-sulong-toys-off-road-crawler-car-vs-wild-krasnyj-akkum-3-6v-metal-korpus-sl-109ar.html,1697,05.11.2025 23:45,,"вул. Соборна, 42",Фастів,0
