754395038,6375635,oribel,__oribel_or80390001,180,1716126,Детские товары >> Игрушки для малышей,oribel,__oribel_veritiplay___or80390001,column,209,1,httpscomfyuacatalogproductviewid1749373,column,05112025_2035,column,__42,Фастів,0
754395038,6375635,ORIBEL,Настенная игрушка ORIBEL OR803-90001,180,1716126,Детские товары >> Игрушки для малышей,oribel,Розвиваючий килимок Oribel Veritiplay Молоточок Їжачок (OR803-90001),,209,1,https://comfy.ua/catalog/product/view/id/1749373,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754397231,6375850,ORIBEL,Настенная игрушка ORIBEL Ксилофон OR816-90001,433,1716131,Детские товары >> Игрушки для малышей,oribel,Ксилофон Oribel Veritiplay Потяг (OR816-90001),,519,1,https://comfy.ua/catalog/product/view/id/1750523,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
754397240,6439778,ORIBEL,Игрушка на стену ORIBEL Загадочный аквариум (OR818-90001),570,1716133,Детские товары >> Игрушки для малышей,oribel,Бізіборд-дошка Oribel Veritiplay Пазл Загадковий акваріум (OR818-90001),,685,1,https://comfy.ua/catalog/product/view/id/1750253,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
754397244,6375946,ORIBEL,Игрушка на стену ORIBEL OR815-90001,800,1716130,Детские товары >> Игрушки для малышей,oribel,Бізіборд-дошка Oribel Veritiplay Пригода на дереві (OR815-90001),,959,1,https://comfy.ua/catalog/product/view/id/1750163,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
754397246,,,,,1705855,Детские товары >> Игрушки для малышей,fisher-price,Сортер Fisher-Price Відерце з кубиками Яскраве (FFC84),,507,1,https://comfy.ua/catalog/product/view/id/1750113,559,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
754397249,6375637,ORIBEL,Настенная игрушка ORIBEL OR808-90001,180,1716129,Детские товары >> Игрушки для малышей,oribel,Інтерактивна тварина Oribel Veritiplay Молоточок Тигр (OR808-90001),,209,1,https://comfy.ua/catalog/product/view/id/1750023,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
754413454,,,,,1682030,Посуда >> Для приготовления,wmf,Набір посуду WMF 514895290 FT Mineral Topf 8 пр.,,29999,1,https://comfy.ua/nabor-posudy-wmf-514895290-ft-mineral-topf-8-pr.html,39999,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
754419145,,,,,1713125,Детские товары >> Творчество и развитие,xoko,Аквамозаїка XOKO Перлина 5500 (XK-PRL-55),,699,1,https://comfy.ua/catalog/product/view/id/1752073,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754419152,,,,,1713124,Детские товары >> Творчество и развитие,xoko,Аквамозаїка XOKO Перлина 3200 Neon (XK-PRL-32GD),,499,1,https://comfy.ua/catalog/product/view/id/1751823,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754419754,,,,,1713126,Детские товары >> Творчество и развитие,xoko,Аквамозаїка XOKO Перлина 5500 Neon (XK-PRL-55GD),,605,1,https://comfy.ua/catalog/product/view/id/1752283,690,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
754420536,,,,,1705838,Детские товары >> Игрушки для малышей,fisher-price,Мобіль музичний Fisher-Price з пультом керування Сон метелика (CDN41),,2333,1,https://comfy.ua/catalog/product/view/id/1752373,3299,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
754421924,,,,,1713694,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway USB 2.0 AM to Lightning 1.0m Multicolor (CW-CBUL016-MC),,169,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-2-0-am-to-lightning-1-0m-multicolor-cw-cbul016-mc.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
754423035,,,,,.1694755,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Apple iPhone 12 Transparancy (705363),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-apple-iphone-12-transparancy-705363.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
754423742,7061399,JOSEPH JOSEPH,Набор разделочных досок JOSEPH JOSEPH 4 шт (60193),5895,1710648,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Joseph Joseph,joseph-joseph,Набір обробних дошок Joseph Joseph з кейсом для зберігання 4 шт. 60193,,4995,1,https://comfy.ua/nabor-razdelochnyh-dosok-joseph-joseph-s-kejsom-dlja-hranenija-4-sht-60193.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
754423970,,,,,1696947,Посуда >> Для приготовления >> Сковороды >> Сковороды Bollire,bollire,Сковорода універсальна Bollire Venezia BR-1009 24 см,,819,1,https://comfy.ua/skovoroda-universal-naja-bollire-venezia-br-1009-24-sm.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
754483310,,,,,1705838,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Fisher-Price,fisher-price,Мобіль музичний Fisher-Price з пультом керування Сон метелика (CDN41),,2333,1,https://comfy.ua/mobil-muzykal-nyj-fisher-price-s-pul-tom-upravlenija-son-babochki-cdn41.html,3299,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
754483312,,,,,1713126,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика XOKO,xoko,Аквамозаїка XOKO Перлина 5500 Neon (XK-PRL-55GD),,605,1,https://comfy.ua/akvamozaika-xoko-zhemchuzhina-5500-neon-xk-prl-55gd.html,690,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
754483314,,,,,1713125,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика XOKO,xoko,Аквамозаїка XOKO Перлина 5500 (XK-PRL-55),,699,1,https://comfy.ua/akvamozaika-xoko-zhemchuzhina-5500-xk-prl-55.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
754483320,,,,,1713124,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика XOKO,xoko,Аквамозаїка XOKO Перлина 3200 Neon (XK-PRL-32GD),,499,1,https://comfy.ua/akvamozaika-xoko-zhemchuzhina-3200-neon-xk-prl-32gd.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
754483327,7085556,MIRACULOUS,Набор Miraculous Леди Баг и Супер-кот S2 (50601),995,1698071,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Miraculous,miraculous,"""Аксесуари для фігурок Miraculous """"Леді Баг і Супер-Кіт"""" S2 (50601)""",,995,1,https://comfy.ua/aksessuary-dlja-figurok-miraculous-ledi-bag-i-super-kot-s2-50601-ledi-bag-i-super-kot-s2-50601.html,,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
754483342,7121548,UNO,Настольная игра UNO Двойная игра (GDR44),339,1705911,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки UNO,uno,Настільна гра (8+) UNO Подвійна гра (GDR44),,255,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-uno-dvojnaja-igra-gdr44.html,339,06.11.2025 0:24,,"вул. Соборна, 42",Фастів,0
754483345,,,,,1705910,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки UNO,uno,Настільна гра (8+) UNO Делюкс (K0888),,525,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-uno-deljuks-k0888.html,,06.11.2025 0:40,,"вул. Соборна, 42",Фастів,0
754483349,,,,,1705914,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки UNO,uno,Настільна гра (8+) UNO Minecraft (FPD61),,255,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-uno-minecraft-fpd61.html,339,06.11.2025 1:02,,"вул. Соборна, 42",Фастів,0
754483354,6375850,ORIBEL,Настенная игрушка ORIBEL Ксилофон OR816-90001,433,1716131,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Ксилофон Oribel Veritiplay Потяг (OR816-90001),,519,1,https://comfy.ua/razvivajuschij-kovrik-oribel-veritiplay-ksilofon-parovoz-or816-90001.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
