755986036,column,column,column,column,1700595,Детские товары >> Игрушки,funrise,___funrise______82269,column,1999,1,httpscomfyuanazemnajastroitelnajatehnikafunrisecementovozsosvetomizvukom82269html,column,06112025_132,column,__42,Фастів,0
755173899,,,,,.1714300,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Apple iPhone 8 Plus/7 Plus Black (701042),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-apple-iphone-8-plus-7-plus-black-701042.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
755183611,6606106,GAMEPRO,Мышь GAMEPRO Nitro USB Black (GM365),449,1717750,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные GamePro",gamepro,Миша дротова ігрова GamePro Nitro (GM365),,449,1,https://comfy.ua/mysh-provodnaja-igrovaja-gamepro-nitro-gm365.html,499,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
755363508,6656551,PATRIOT,SSD накопитель PATRIOT M.2 NVMe PCIe 3.0 x4 128GB 2280 P300 (P300P128GM28),939,1715979,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",patriot,SSD-накопичувач внутрішній Patriot P300 128GB M.2 2280 PCIe NVMe 3.0 x4 TLC (P300P128GM28),,809,1,https://comfy.ua/catalog/product/view/id/1756693,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
755609326,,,,,1716912,Техника для дома >> Мелкая техника,ecg,Праска ECG NZ 190,,1049,1,https://comfy.ua/catalog/product/view/id/1765953,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
755847522,,,,,1716927,Техника для кухни >> Мелкая техника,ecg,Електричний чайник ECG RK 2020 White Glass,,1025,1,https://comfy.ua/catalog/product/view/id/1766553,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
755881824,,,,,1716912,Техника для дома >> Мелкая техника,ecg,Праска ECG NZ 190,,1049,1,https://comfy.ua/catalog/product/view/id/1765953/s/utjug-ecg-nz-190,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
755881859,,,,,1719353,Техника для кухни >> Мелкая техника,sencor,Мультиварка Sencor SRM1550SS,,1165,1,https://comfy.ua/catalog/product/view/id/1763573/s/mul-tivarka-sencor-srm1550ss,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
755881913,6542780,FIRST,Кухонная машина FIRST FA-5259-7,4919,1589511,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны First,first,Планетарний міксер First 5259-7 (FA-5259-7),,4919,1,https://comfy.ua/mikser-s-chashej-first-fa-5259-7.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
755890902,6630978,ECG,Электрочайник ECG RK 1777 Colore,1789,1716924,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1777 Colore,,1789,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1777-colore.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
755890928,6678030,PERFELLI,Варочная поверхность PERFELLI HGM 31424 WH,4099,1686188,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня Domino Perfelli HGM 31424 WH,,4099,1,https://comfy.ua/varochnaja-panel-domino-perfelli-hgm-31424-wh.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
