756007800,column,column,column,column,1720397,Детские товары >> Игрушки,sigikid,__sigikid_____19__39183sk,column,1095,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidbozhjakorovkaledimjeri19sm39183skhtml,column,06112025_138,column,__42,Фастів,0
756007800,,,,,.1720397,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Божа корівка Леді Мері 19 см (39183SK),,1095,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-bozh-ja-korovka-ledi-mjeri-19-sm-39183sk.html,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
756007802,,,,,.1720396,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Beasts Коза Дереза ??37 см (39182SK),,1999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-beasts-koza-dereza-37-sm-39182sk.html,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
756007844,,,,,1719471,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,Пазли (8 +) Trefl Солодощі 1000 ел. (29046),,279,1,https://comfy.ua/pazly-kartonnye-8-trefl-sladosti-1000-jel-29046.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
756007855,7109897,TREFL,Пазл TREFL The Avengers В мире Мстителей 24 элемента (14321),299,1715432,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,Пазли (3-4 роки) Trefl У світі месників 24 Елм. MAXI (14321),,305,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-v-mire-mstitelej-24-jelm-maxi-14321.html,,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
756007904,6622831,GORENJE,Варочная поверхность GORENJE GW641EXB,11999,1714452,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW 641 EXB,,11799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw-641-exb.html,12499,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
756007941,6643115,GORENJE,Варочная поверхность GORENJE GT 642 AXW (BG6BA-G0B),13399,1713574,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GT642AXW,,13399,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gt642axw.html,13999,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
756007950,6630981,ECG,Электрочайник ECG RK 2020 White Glass,1025,1716927,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 2020 White Glass,,1025,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-2020-white-glass.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
756007952,6630976,ECG,Электрочайник ECG RK 1758 Grey,823,1716922,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1758 Grey,,825,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1758-grey.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
756007953,6630974,ECG,Электрочайник ECG RK 1520 Glass,998,1716921,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1520 Glass,,999,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1520-glass.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
756007958,6645286,ECG,Утюг ECG NZ 190,1049,1716912,Техника для дома >> Мелкая техника >> Утюги >> Утюги ECG,ecg,Праска ECG NZ 190,,1049,1,https://comfy.ua/utjug-ecg-nz-190.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
