757043652,column,column,column,column,1702266,______________silverlit,silverlit,__silverlit____88538,column,1909,1,httpscomfyuainteraktivnyjrobotsilverlitigrushkarobohameleon88538html,column,05112025_2029,column,__42,Фастів,0
757043652,,,,,1702266,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,"""Інтерактивний робот Silverlit Іграшка """"Робо Хамелеон"""" (88538)""",,1909,1,https://comfy.ua/interaktivnyj-robot-silverlit-igrushka-robo-hameleon-88538.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
757043667,6608590,LEGO,Конструктор LEGO Architecture Лондон 468 деталей (21034),1566,1702133,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Architecture Лондон (21034),,1519,1,https://comfy.ua/konstruktor-lego-architecture-london-21034.html,1899,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
757043671,7051618,NATTOU,Мягкая игрушка NATTOU Ребенок на борту Слоник Рози (655354),127,1722546,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Nattou,nattou,М'яка іграшка Nattou Дитина на борту на присосках Слоник Розі (655354),,159,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-nattou-rebenok-na-bortu-na-prisoskah-slonik-rozi-655354.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
757043673,7051619,NATTOU,Мягкая игрушка NATTOU Ребенок на борту Леопард Лея (963442),127,1722547,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Nattou,nattou,М'яка іграшка Nattou Дитина на борту на присосках Леопард Лея (963442),,159,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-nattou-rebenok-na-bortu-na-prisoskah-leopard-leja-963442.html,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
757043674,7051620,NATTOU,Мягкая игрушка NATTOU Ребенок на борту Панда Лулу (963459),127,1722548,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Nattou,nattou,М'яка іграшка Nattou Дитина на борту на присосках Панда Лулу (963459),,159,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-nattou-rebenok-na-bortu-na-prisoskah-panda-lulu-963459.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
757056774,,,,,1691528,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Microlab",microlab,Комп'ютерна акустика 2.1 Microlab M-590,,1899,1,https://comfy.ua/komp-juternaja-akustika-2-1-microlab-m-590.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
757057425,6635807,CANYON,Мышь CANYON CNE-CMSW11B Black,329,1697836,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша бездротова Canyon CNE-CMSW11B Black,,329,1,https://comfy.ua/mysh-besprovodnaja-canyon-cne-cmsw11b-black.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
757057426,6635808,CANYON,Мышь CANYON CNE-CMSW11BL Blue,329,1697837,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша бездротова Canyon CNE-CMSW11BL Blue,,329,1,https://comfy.ua/mysh-besprovodnaja-canyon-cne-cmsw11bl-blue.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
757057515,6635812,CANYON,Мышь CANYON CNS-CMSW21DG Dark Gray,349,1697838,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша бездротова Canyon CNS-CMSW21DG  Dark Gray,,349,1,https://comfy.ua/mysh-besprovodnaja-canyon-cns-cmsw21dg-dark-gray.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
757057596,,,,,1716930,Техника для кухни >> Мелкая техника,ecg,Блендер заглибний ECG RM 750,,2275,1,https://comfy.ua/catalog/product/view/id/1782463,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
757060185,6635824,LOGITECH,Мышь Logitech G305 Wireless Blue (L910-006014),3099,1702187,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова ігрова Logitech G305 Lightspeed Blue (910-006014),,3099,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-logitech-g305-lightspeed-blue-l910-006014.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
757060186,,,,,1702188,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова ігрова Logitech G305 Lightspeed Lilac (910-006022),,3099,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-logitech-g305-lightspeed-lilac-l910-006022.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
757061458,,,,,1722349,OUTLET,grunhelm,Уцінка - Піч електрична Grunhelm GN50AC #,,3599,1,https://comfy.ua/pech-jelektricheskaja-grunhelm-gn50ac-ucenka-1-1.html,4049,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
757061465,6651555,RUSSELL HOBBS,Гриль RUSSELL HOBBS George Foreman 25810-56 Fit Grill Medium,2599,1715569,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Russell Hobbs,russell-hobbs,Гриль-барбекю електричний Russell Hobbs George Foreman 25810-56 Fit Grill Medium,,2799,1,https://comfy.ua/gril-barbekju-jelektricheskij-russell-hobbs-george-foreman-25810-56-fit-grill-medium.html,3149,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
757061465,6980413,RUSSELL HOBBS,Мультимейкер RUSSELL HOBBS 26810-56 Black-Silver,2599,1715569,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Russell Hobbs,russell-hobbs,Гриль-барбекю електричний Russell Hobbs George Foreman 25810-56 Fit Grill Medium,,2799,1,https://comfy.ua/gril-barbekju-jelektricheskij-russell-hobbs-george-foreman-25810-56-fit-grill-medium.html,3149,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
757061468,6651558,RUSSELL HOBBS,Гриль RUSSELL HOBBS George Foreman 25850-56 Smokeless BBQ Grill,4999,1715255,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю George Foreman,george-foreman,Гриль-барбекю електричний George Foreman 25850-56 Smokeless BBQ Grill,,4999,1,https://comfy.ua/gril-barbekju-jelektricheskij-george-foreman-25850-56-smokeless-bbq-grill.html,5899,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
757061469,6651557,RUSSELL HOBBS,Гриль RUSSELL HOBBS George Foreman 25820-56 Fit Grill Large,3899,1715254,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю George Foreman,george-foreman,Гриль-барбекю електричний George Foreman 25820-56 Fit Grill Large,,3899,1,https://comfy.ua/gril-barbekju-jelektricheskij-george-foreman-25820-56-fit-grill-large.html,4399,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
757061471,6651500,ARDESTO,Гриль ARDESTO GK-STC20,3655,1700356,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Ardesto,ardesto,Гриль-барбекю електричний Ardesto GK-STC20,,3655,1,https://comfy.ua/gril-barbekju-jelektricheskij-ardesto-gk-stc20.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
757061475,6542813,FIRST,Набор для стрижки FIRST FA-5676-4,788,1720931,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки First,first,Машинка для стрижки волосся First FA-5676-4,,749,1,https://comfy.ua/mashinka-dlja-strizhki-volos-first-fa-5676-4.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
757121807,,,,,1718434,Техника для кухни >> Крупная техника,liberty,Плита газова Liberty PWE 5102 B-F,,9699,1,https://comfy.ua/catalog/product/view/id/1785503,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
757129613,6425991,LORI,"""Транспорт для кукол LORI """"Кемпинг"""" (LO37011Z)""",793,1699623,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Транспорт для ляльки Lori Кемпер Розовый (LO37011Z),,899,1,https://comfy.ua/transport-dlja-mini-kukly-lori-kemper-rozovyj-lo370110-z.html,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
757129615,,,,,1699628,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Транспорт для ляльки Lori Джип Розовый с FM радио (LO37033Z),,699,1,https://comfy.ua/transport-dlja-mini-kukly-lori-dzhip-rozovyj-s-fm-radio-lo37033z.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
