757246880,column,column,column,column,1713765,Техника для кухни >> Мелкая техника,vilgrand,_vilgrand_v304smg,column,5999,1,httpscomfyuamjasorubkavilgrandv304smghtml,column,05112025_1948,column,__42,Фастів,0
757157544,,,,,.1722171,Техника для кухни >> Мелкая техника,tescoma,Тостер tescoma 909110 President,,3999,1,https://comfy.ua/toster-tescoma-909110-president.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
757157548,6651525,REMINGTON,Фен-щетка REMINGTON AS8901 HYDRAluxe,2049,1715560,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Remington,remington,Фен-щітка Remington AS8901 Hydraluxe,,2049,1,https://comfy.ua/fen-schetka-remington-as8901-hydraluxe.html,2349,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
757160223,,,,,1707067,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech FK11 USB (Grey),,479,1,https://comfy.ua/catalog/product/view/id/1770963,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
757176395,,,,,1705493,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO DUPLO ? Disney Святковий потяг Міккі та Мінні (10941),,1319,1,https://comfy.ua/konstruktor-lego-disney-prazdnichnyj-poezd-mikki-i-minni-10941.html,1649,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
757194090,,,,,1716461,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC 240 RGB (ROG-STRIX-LC-240 RGB White),,4529,1,https://comfy.ua/catalog/product/view/id/1783413,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
757221148,,,,,1720633,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа MikroTik",mikrotik,Точка доступу MikroTik RBMetalG-52SHPacn,,5435,1,https://comfy.ua/tochka-dostupa-mikrotik-rbmetalg-52shpacn.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
757221859,,,,,.1719754,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB FR40/ART (1283126504686),,1499,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-fr40-art-1283126504686.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
757228145,,,,,1718827,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Intaleo",intaleo,Кабель синхронізації даних Intaleo CBGNYT2 USB-USB Type-C 2m Grey (1283126489143),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-intaleo-cbgnyt2-usb-usb-type-c-2m-grey-1283126489143.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,2
757229738,,,,,1716461,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC 240 RGB (ROG-STRIX-LC-240 RGB White),,4529,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-240-rgb-rog-strix-lc-240-rgb-white.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
757246880,,,,,.1713765,Техника для кухни >> Мелкая техника,vilgrand,М'ясорубка ViLgrand V304-SMG,,5999,1,https://comfy.ua/mjasorubka-vilgrand-v304-smg.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
