757600347,6651508,gorenje,__gorenje_mmc1000rlr,12999,1720550,________________gorenje,gorenje,__gorenje_mmc1000rlr,column,12999,1,httpscomfyuakuhonnajamashinagorenjemmc1000rlrhtml,column,05112025_1951,column,__42,Фастів,0
757600347,6651508,GORENJE,Кухонная машина GORENJE MMC1000RLR,12999,1720550,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Gorenje,gorenje,Кухонна машина Gorenje MMC1000RLR,,12999,1,https://comfy.ua/kuhonnaja-mashina-gorenje-mmc1000rlr.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
757600933,6788470,EMOS,Фонарь EMOS P4006,265,1720340,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P4006 3W 300Lm 3?AA, ручн.пласт.",,265,1,https://comfy.ua/fonar-emos-p4006.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
757601375,,,,,1720202,Инструменты и автотовары >> Ручные инструменты,stark,Молоток Stark 520800450,,225,1,https://comfy.ua/molotok-stark-520800450.html,,05.11.2025 23:23,,"вул. Соборна, 42",Фастів,0
757601655,6244107,FORTE,Стабилизатор напряжения FORTE MAX-500VA NEW (42061),1394,1720696,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte MAX-500VA New,,2043,1,https://comfy.ua/stabilizator-naprjazhenija-forte-max-500va-new.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
757601664,6134020,FORTE,Стабилизатор напряжения FORTE TVR-2000VA (28986),2092,1720703,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TVR-2000VA,,3064,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tvr-2000va.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
757601693,6134664,FORTE,Стабилизатор напряжения FORTE ACDR-5kVA (31065),5690,1720695,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte ACDR-5kVA,,8332,1,https://comfy.ua/stabilizator-naprjazhenija-forte-acdr-5kva.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
757601694,6183618,FORTE,Стабилизатор напряжения FORTE TVR-1000VA (28985),1636,1720702,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TVR-1000VA,,2580,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tvr-1000va.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
757601777,6208268,MAGIO,Миксер MAGIO MG-235,675,1718433,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Magio,magio,Міксер Magio MG-235,,749,1,https://comfy.ua/mikser-magio-mg-235.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
757605426,,,,,.1720561,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Cadu 850 (UPCMTLS685TCAAZ01B),,3529,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-cadu-850-upcmtls685tcaaz01b.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
757605428,6859552,MAXXTER,ИБП Maxxter MX-HI-PSW500-01 500VA,6795,1720646,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Maxxter",maxxter,Джерело безперебійного живлення Maxxter MX-HI-PSW500-01,,4389,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-maxxter-mx-hi-psw500-01.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
757605679,6707213,FSP,ИБП FSP NanoFit 800 (PPF4801704),4410,1720370,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP NanoFit 800VA (PPF4801704),,3430,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-nanofit-800va-ppf4801704.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
757605693,6863790,MAXXTER,ИБП MAXXTER MX-HI-PSW1000-01 Black,7770,1720647,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Maxxter",maxxter,Джерело безперебійного живлення Maxxter MX-HI-PSW1000-01,,6799,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-maxxter-mx-hi-psw1000-01.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
757605741,,,,,.1720569,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Aira 600 (UPCSTLP860TAICP01B),,6939,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-aira-600-upcstlp860taicp01b.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
757605787,6651531,REMINGTON,Выпрямитель REMINGTON S7307 Aqualisse Extreme,2399,1716996,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Remington,remington,Вирівнювач волосся Remington S7307 Aqualisse Extreme,,2549,1,https://comfy.ua/vyprjamitel-volos-remington-s7307-aqualisse-extreme.html,2999,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
