757993485,column,column,column,column,1716836,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,__xilence_xpf120rpwm_xf042__blackred,column,239,1,httpscomfyuakorpusnyjventiljatorxilenceventiljatorxilencexpf120rpwmxf042120h120h25mm4pinblackredhtml,column,05112025_1921,column,__42,Фастів,0
757993485,,,,,.1716836,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Корпусний вентилятор Xilence XPF120.R.PWM (XF042)  Black/Red,,239,1,https://comfy.ua/korpusnyj-ventiljator-xilence-ventiljator-xilence-xpf120-r-pwm-xf042-120h120h25mm-4-pin-black-red.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
757993544,6661083,CANYON,Мышь CANYON Puncher GM-11 Gaming Black (CND-SGM11B),629,1725303,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша дротова ігрова Canyon CND-SGM11B,,829,1,https://comfy.ua/mysh-provodnaja-igrovaja-canyon-cnd-sgm11b.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
757993545,6661084,CANYON,Мышь CANYON Puncher GM-11 Gaming White (CND-SGM11W),829,1725304,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша дротова ігрова Canyon CND-SGM11W,,639,1,https://comfy.ua/mysh-provodnaja-igrovaja-canyon-cnd-sgm11w.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
757993908,,,,,.1725439,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-FR40/T (1283126485794),,449,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-fr40-t-1283126485794.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
758002011,,,,,1691061,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO USB Type-C to Micro USB Black (XK-AC010-BK),,69,1,https://comfy.ua/catalog/product/view/id/1801123,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
758005275,6678036,MINOLA,Вытяжка MINOLA HBI 6673 WH GLASS 1000 LED Line,7199,1695748,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 6673 WH GLASS 1000 LED Line,,7999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-6673-wh-glass-1000-led-line.html,9999,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
758005351,6642035,ELEYUS,Вытяжка ELEYUS GEMINI 1200 LED 70 WH,11579,1725310,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS Gemini 1200 LED 70 WH,,11579,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-gemini-1200-led-70-wh.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
758033042,,,,,.1716843,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Корпусний вентилятор Xilence XPF80.W (XF034) Black,,99,1,https://comfy.ua/korpusnyj-ventiljator-xilence-xpf80-w-xf034-black.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
758033044,,,,,1716665,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime Iris LED Fan 15LED Azure (FLF-HB120A15),,139,1,https://comfy.ua/korpusnyj-ventiljator-frime-iris-led-fan-15led-azure-flf-hb120a15.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
758071349,,,,,.1718997,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",real-el,Хаб USB REAL-EL CQ-415 Space Grey (EL123110001),,529,1,https://comfy.ua/hab-usb-real-el-cq-415-space-grey-el123110001.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
