758176545,6987424,wuesthof,__wuesthof_classic_ash_8__1090170707,26572,1697517,Посуда >> Нарезка и измельчение,wuesthof,__wuesthof_7__1090170707,column,26572,1,httpscomfyuanabornozhejwuesthof7sht1090170707html,column,05112025_1945,column,__42,Фастів,0
758176545,6987424,WUESTHOF,Набор ножей WUESTHOF Classic Ash 8 пр (1090170707),26572,1697517,Посуда >> Нарезка и измельчение,wuesthof,Набір ножів Wuesthof 7 шт. 1090170707,,26572,1,https://comfy.ua/nabor-nozhej-wuesthof-7-sht-1090170707.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
758177973,,,,,1723392,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Зеніт,zenit,Пила дискова Зенит ЗПЦ-1950 M (842469),,2699,1,https://comfy.ua/pila-diskovaja-zenit-zpc-1950-m-842469.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
758178758,,,,,.1704407,"Аудио, фото и видео >> Акустика",akg,Мікрофон вокальний провідний AKG C411 L,,7059,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-akg-c411-l.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
758179160,,,,,1704036,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Piko",piko,Перехідник 220В Piko TA-001 White,,69,1,https://comfy.ua/perehodnik-evro-220v-piko-ta-001-white.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
758179270,6475207,MAXMARK,Заварник MAXMARK MK-F45-600 600 мл (MK-F45-600),419,1710714,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F45-600,,419,1,https://comfy.ua/french-press-maxmark-mk-f45-600.html,839,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
758179271,6475200,MAXMARK,Заварник MAXMARK MK-F69-1000,404,1710717,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F69-1000,,404,1,https://comfy.ua/french-press-maxmark-mk-f69-1000.html,999,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
758179327,6475204,MAXMARK,Френч-пресс MAXMARK (MK-F65-600),519,1710716,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F65-600,,519,1,https://comfy.ua/french-press-maxmark-mk-f65-600.html,1039,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
758179329,6475198,MAXMARK,Френч-пресс MAXMARK MK-F45-1000,519,1710713,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F45-1000,,519,1,https://comfy.ua/french-press-maxmark-mk-f45-1000.html,1039,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
758179330,6475230,MAXMARK,Заварник MAXMARK MK-F05-600 600 мл (MK-F05-600),549,1710712,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F05-600,,549,1,https://comfy.ua/french-press-maxmark-mk-f05-600.html,699,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
758179685,,,,,1711436,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов AIRON,airon,Бездротовий зарядний пристрій AIRON Qi AirCharge,,549,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-airon-qi-aircharge.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
758179943,7041296,ЗЕНІТ,Дрель ударная ЗЕНІТ ЗД-1000 (840537),1468,1723390,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Зеніт,zenit,Ударний дриль Зенит ЗД-1000 (840537),,1469,1,https://comfy.ua/udarnaja-drel-zenit-zd-1000-840537.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
758180681,,,,,1724811,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG2008P,,4449,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg2008p.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
758180829,,,,,.1723451,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,БФП кольорового друку Canon Pixma TS7440 (4460C007AA),,6059,1,https://comfy.ua/printer-dlja-cvetnoj-pechati-canon-pixma-ts7440-4460c007aa.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
758180899,,,,,1724815,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SL2428P,,8899,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sl2428p.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
