773332205,column,column,column,column,1720609,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,_usb_orico_w5pu3030bkbp,column,999,1,httpscomfyuahabusboricow5pu3030bkbphtml,column,05112025_1752,column,__42,Фастів,0
773332205,,,,,1720609,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Хаб USB Orico W5P-U3-030-BK-BP,,999,1,https://comfy.ua/hab-usb-orico-w5p-u3-030-bk-bp.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
773332210,,,,,1720618,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Хаб USB Orico HR01-U3-V1-BK-BP,,1599,1,https://comfy.ua/hab-usb-orico-hr01-u3-v1-bk-bp.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
773332282,,,,,1728225,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry тарт-татен 28 см (793699),,7200,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-tart-tatjen-28-sm-793699.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
773332363,6607028,LIMITED EDITION,Бульонница Limited Edition Style 600 мл (JH5233-3),97,1725113,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Бульйонниця Limited Edition Style 600 мл Beige (JH5233-3),,97,1,https://comfy.ua/bul-onnica-limited-edition-style-600-ml-beige-jh5233-3.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
773332364,6607027,LIMITED EDITION,Бульонница Limited Edition Style 600 мл Brown (JH5233-2),97,1725112,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Бульйонниця Limited Edition Style 600 мл Brown (JH5233-2),,97,1,https://comfy.ua/bul-onnica-limited-edition-style-600-ml-brown-jh5233-2.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
773332365,6607026,LIMITED EDITION,Бульонница Limited Edition Style 600 мл Green (JH5233-1),100,1725111,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Бульйонниця Limited Edition Style 600 мл Green (JH5233-1),,100,1,https://comfy.ua/bul-onnica-limited-edition-style-600-ml-green-jh5233-1.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
773332378,6440058,SIGIKID,Тарелка десертная SIGIKID Wild&Berry Bears 21.5 см (24518SK),292,1730147,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Wild & Berry Bears (24518SK),,292,1,https://comfy.ua/tarelka-obedennaja-sigikid-wild-berry-bears-24518sk.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
773332382,6440054,SIGIKID,Тарелка десертная SIGIKID Florentine 21.5 см (24826SK),324,1730153,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Florentine (24826SK),,324,1,https://comfy.ua/tarelka-obedennaja-sigikid-florentine-24826sk.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
773332396,6601964,TRUST,Мышь Trust Carve USB Black (TR23733),179,1727181,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Trust",trust,Миша дротова Trust Carve USB Mouse (23733),,169,1,https://comfy.ua/mysh-provodnaja-trust-carve-usb-mouse-23733.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
773332397,6652294,SAMSUNG,Сушильная машина SAMSUNG DV90TA040AE/UA,29999,1715319,Техника для дома >> Крупная техника >> Сушильные машины >> Сушильные машины Samsung,samsung,Сушильна машина Samsung DV90TA040AE/UA,,31499,1,https://comfy.ua/sushil-naja-mashina-samsung-dv90ta040ae-ua.html,33999,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
773332399,6652287,SAMSUNG,Сушильная машина SAMSUNG DV90T5240AT/UA,33399,1715324,Техника для дома >> Крупная техника >> Сушильные машины >> Сушильные машины Samsung,samsung,Сушильна машина Samsung DV90T5240AT/UA,,33399,1,https://comfy.ua/sushil-naja-mashina-samsung-dv90t5240at-ua.html,35999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
773332491,,,,,1720625,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Ryobi,ryobi,Ланцюгова пила Ryobi RCS2340B,,6399,1,https://comfy.ua/cepnaja-pila-ryobi-rcs2340b.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
773332496,,,,,1723521,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Stark,stark,Пила шабельна Stark CRS 1800 Body (210018040) Li-Ion,,2849,1,https://comfy.ua/pila-sabel-naja-stark-crs-1800-body-210018040-li-ion.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
773333351,,,,,1723077,Посуда >> Для сервировки,tescoma,Ємність для масла і оцту tescoma 428620 GrandChef 0.5 л,,1199,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-tescoma-428620-grandchef-0-5-l.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
773334804,,,,,1720513,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ryobi",ryobi,Ліхтар акумуляторний Ryobi ONE + R18ALF-0 18В без АКБ і ЗУ,,3399,1,https://comfy.ua/fonar-akkumuljatornyj-ryobi-one-r18alf-0-18v-bez-akb-i-zu.html,3999,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
773335685,6630935,ECG,Гриль ECG KG 300 deluxe,4656,1716898,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ECG,ecg,Гриль-барбекю електричний ECG KG 300 Deluxe,,4525,1,https://comfy.ua/gril-barbekju-jelektricheskij-ecg-kg-300-deluxe.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
