773345498,column,column,column,column,1683724,__________wmf,wmf,__wmf_1871956030_profi_plus_26_,column,1099,1,httpscomfyualopatkakuhonnajawmf1871956030profiplus26smhtml,column,05112025_1944,column,__42,Фастів,0
773345498,,,,,1683724,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности WMF,wmf,Лопатка кухонна WMF 1871956030 PROFI PLUS 26 см,,1099,1,https://comfy.ua/lopatka-kuhonnaja-wmf-1871956030-profi-plus-26-sm.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
773345499,,,,,1683727,Посуда >> Кухонные аксессуары,wmf,Лопатка кухонна WMF 1871596030 PROFI PLUS 32 см,,1099,1,https://comfy.ua/lopatka-kuhonna-wmf-1871596030-profi-plus-32-sm.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
773345500,,,,,.1683729,Посуда >> Кухонные аксессуары,wmf,Лопатка кухонна WMF 1874966030 PROFI PLUS ВОК 36 см,,1099,1,https://comfy.ua/lopatka-kuhonna-wmf-1874966030-profi-plus-vok-36-sm.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
773345501,,,,,1683731,Посуда >> Кухонные аксессуары,wmf,Лопатка кухонна WMF 1873086030 PROFI PLUS 32 см,,1299,1,https://comfy.ua/lopatka-kuhonnaja-wmf-1873086030-profi-plus-32-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
773346035,,,,,1729185,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Canyon",canyon,Килимок для миші Canyon CNE-CMP4,,209,1,https://comfy.ua/kovrik-dlja-myshi-canyon-cne-cmp4.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
773347667,,,,,1729179,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",canyon,Килимок для миші ігровий Canyon CND-CMP10,,649,1,https://comfy.ua/catalog/product/view/id/1847913,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
773349480,,,,,1729680,Техника для дома >> Мелкая техника,ecg,Пилосос для сухого прибирання з мішком ECG VP 3189 S,,4305,1,https://comfy.ua/catalog/product/view/id/1857333,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
773351286,,,,,1730198,Посуда >> Кухонные аксессуары,tescoma,Пакети для заморожування tescoma 4FOOD 12x19 см 20 шт. (897020),,169,1,https://comfy.ua/pakety-dlja-zamorozki-tescoma-4food-12x19-sm-20-sht-897020.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
773351288,,,,,1730199,Посуда >> Кухонные аксессуары,tescoma,Пакети для заморожування tescoma 4FOOD 20x20 см 20 шт. (897024),,209,1,https://comfy.ua/pakety-dlja-zamorozki-tescoma-4food-20x20-sm-20-sht-897024.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773351289,,,,,1730200,Посуда >> Кухонные аксессуары,tescoma,Пакети для заморожування tescoma 4FOOD 23x27 см 15 шт. (897028),,249,1,https://comfy.ua/pakety-dlja-zamorozki-tescoma-4food-23x27-sm-15-sht-897028.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
773351292,,,,,1680392,Посуда >> Кухонные аксессуары,tescoma,Набір форм для морозива tescoma 668217 Bambini 6 шт.,,499,1,https://comfy.ua/nabor-form-dlja-morozhenogo-tescoma-668217-bambini-6-sht.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
773351296,,,,,1677647,Посуда >> Кухонные аксессуары,tescoma,Форма для льоду tescoma 308893 myDRINK,,799,1,https://comfy.ua/forma-dlja-l-da-tescoma-308893-mydrink.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773351298,,,,,1677630,Посуда >> Кухонные аксессуары,tescoma,Форма для льоду tescoma 308892 myDRINK,,899,1,https://comfy.ua/forma-dlja-l-da-tescoma-308892-mydrink.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773351300,,,,,1677649,Посуда >> Кухонные аксессуары,tescoma,Форма для льоду tescoma 308904 myDRINK,,999,1,https://comfy.ua/forma-dlja-l-da-tescoma-308904-mydrink.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773351922,,,,,1727700,Посуда >> Для напитков,tescoma,Кавоварка гейзерна tescoma 647006 Paloma,,1799,1,https://comfy.ua/kofevarka-gejzernaja-tescoma-647006-paloma.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
773351923,,,,,1684336,Посуда >> Для напитков,wmf,Турка WMF 647116040 Gourmet мокко 340 мл,,1199,1,https://comfy.ua/turka-wmf-647116040-gourmet-mokko-340-ml.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
773351924,,,,,1684335,Посуда >> Для напитков,wmf,Турка WMF 647126040 Gourmet мокко 680 мл,,1599,1,https://comfy.ua/turka-wmf-647126040-gourmet-mokko-680-ml.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
773351925,,,,,1688265,Посуда >> Для напитков,wmf,Кавоварка гейзерна WMF 631016030 KULT COFFEE,,5999,1,https://comfy.ua/kofevarka-gejzernaja-wmf-631016030-kult-coffee.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
773352031,,,,,1695506,Посуда >> Для напитков,tescoma,Кавоварка гейзерна tescoma 647003 Paloma,,1399,1,https://comfy.ua/kofevarka-gejzernaja-tescoma-647003-paloma.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
773352463,6625277,VIMAR,Электропечь VIMAR VEO-4219 B,5615,1692811,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Vimar,vimar,Піч електрична Vimar VEO-4219 B,,5615,1,https://comfy.ua/pech-jelektricheskaja-vimar-veo-4219-b.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
773362763,,,,,1729578,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Menalux,menalux,Шланг для пилососа Menalux FL180,,489,1,https://comfy.ua/shlang-dlja-pylesosa-menalux-fl180.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
773362764,,,,,.1729576,Техника для дома >> Аксессуары к мелкой технике,menalux,Насадка для пилососа Menalux MDDC 032,,799,1,https://comfy.ua/nasadka-dlja-pylesosa-menalux-mddc-032.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
773364669,,,,,1680009,Техника для кухни >> Мелкая техника,wmf,Вафельниця WMF 415210011 LONO Wafflemaker Edition,,3499,1,https://comfy.ua/vafel-nica-wmf-415210011-lono-wafflemaker-edition.html,4999,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
773364692,6542785,FIRST,Вафельница FIRST FA-5305-2-WI,1149,1709447,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы First,first,Вафельниця First FA-5305-2-WI,,1149,1,https://comfy.ua/vafel-nica-first-fa-5305-2-wi.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
773364750,,,,,1696967,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Bollire,bollire,Точилка кухонних ножів Bollire BR-3711,,496,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-bollire-br-3711.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
773364753,,,,,1689692,Посуда >> Нарезка и измельчение,tescoma,Мусат tescoma 863050 Presto 20 см,,799,1,https://comfy.ua/musat-tescoma-863050-presto-20-sm.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
773364785,,,,,1695530,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Tescoma,tescoma,Точилка кухонних ножів tescoma 881268 Precioso,,999,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-tescoma-881268-precioso.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
773364786,,,,,1661294,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Tescoma,tescoma,Мусат tescoma 884550 Azza 20 см,,1199,1,https://comfy.ua/musat-tescoma-884550-azza-20-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
773364787,,,,,1682657,Посуда >> Нарезка и измельчение,wmf,Точилка кухонних ножів WMF 1876516030 GOURMET,,1599,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-wmf-1876516030-gourmet.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
773364788,,,,,1682646,Посуда >> Нарезка и измельчение,wmf,Мусат WMF 1895946030 SPITZENKLASSE PLUS 23 см,,2799,1,https://comfy.ua/musat-wmf-1895946030-spitzenklasse-plus-23-sm.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
773364841,,,,,1682661,Посуда >> Нарезка и измельчение,wmf,Точилка кухонних ножів WMF 1874436030 GOURMET,,2999,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-wmf-1874436030-gourmet.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
773364994,,,,,.1696104,Техника для кухни >> Хранение продуктов,tescoma,Сушарка для фруктів та овочів tescoma 909080 President,,6999,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-tescoma-909080-president.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
773366031,,,,,.1732127,Техника для дома >> Аксессуары к мелкой технике,electrolux,Фільтр для пилососа Electrolux F 132,,569,1,https://comfy.ua/fil-tr-dlja-pylesosa-electrolux-f-132.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
773367359,,,,,1732162,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US184 USB 3.0 - Type-C Cable 1 m Black (20882),,259,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us184-usb-3-0-type-c-cable-1-m-black-20882.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
773368212,,,,,1732185,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",hp,Точка доступу HP Aruba On AP17 (R2X11A),,15109,1,https://comfy.ua/catalog/product/view/id/1852253,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
773371977,,,,,1731288,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",pipo,Маршрутизатор інтернет WiFi4 PiPo PP323/01733,,499,1,https://comfy.ua/catalog/product/view/id/1852393,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
773375448,,,,,1730356,Бытовая химия >> Все для уборки,okey,Засіб для видалення нальоту O'key 500 мл (4820049381900),,53,1,https://comfy.ua/sredstvo-dlja-udalenija-naleta-o-key-500-ml-4820049381900.html,80,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
773377438,,,,,1678636,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Пензлик кулiнарний tescoma 428256 GrandChef,,399,1,https://comfy.ua/kist-kulinarnaja-tescoma-428256-grandchef.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
