773379503,column,column,column,column,1689206,Посуда >> Кухонные аксессуары,tescoma,______tescoma_650314_club,column,349,1,httpscomfyuanaboremkostejdljaspecijipripravtescoma650314clubhtml,column,05112025_1941,column,__42,Фастів,0
773367239,6656364,ARDESTO,Нож универсальный ARDESTO Gemini 12.7 см (AR2134SP),175,1725850,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Gemini 23 см (AR2134SP),,175,1,https://comfy.ua/nozh-kuhonnyj-ardesto-gemini-23-sm-ar2134sp.html,215,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
773368107,,,,,.1650998,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення MT508-NP,,979,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-mt508-np.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
773371951,6678388,ECG,Машинка для стрижки ECG ZS 1020 White,679,1729678,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки ECG,ecg,Машинка для стрижки волосся ECG ZS 1020 White,,689,1,https://comfy.ua/mashinka-dlja-strizhki-volos-ecg-zs-1020-white.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
773375446,,,,,1730355,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной O’key,okey,Засіб для видалення нальоту O'key 500 мл (4820049381917),,53,1,https://comfy.ua/sredstvo-dlja-udalenija-naleta-o-key-500-ml-4820049381917.html,80,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
773377436,,,,,1684407,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности WMF,wmf,Пензлик кулiнарний WMF 1874986030 PROFI PLUS,,1099,1,https://comfy.ua/kist-kulinarnaja-wmf-1874986030-profi-plus.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
773377515,6654097,TEFAL,Сковорода TEFAL Simply&Clean 12 см Black (B5670053),439,1728948,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal B5670053 Simply Clean 12 см,,439,1,https://comfy.ua/skovoroda-universal-naja-tefal-b5670053-simply-clean-12-sm.html,569,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,2
773378053,,,,,.1718899,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,Корпус Cougar Blazer Essence Black,,7999,1,https://comfy.ua/korpus-cougar-blazer-essence-black.html,8499,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
773378108,,,,,1650997,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення MT507-NP,,979,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-mt507-np.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
773378183,,,,,.1718877,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпус Chieftec Hawk TG Edition (AL-02B-TG-OP) без БП,,2949,1,https://comfy.ua/korpus-chieftec-hawk-tg-edition-al-02b-tg-op-bez-bp.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
773378410,,,,,1689687,Посуда >> Кухонные аксессуары,tescoma,Набір затискачів для пакетів tescoma 420764 Presto 11см 2 шт.,,199,1,https://comfy.ua/nabor-zazhimov-dlja-paketov-tescoma-420764-presto-11sm-2-sht.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
773378763,6654096,TEFAL,Сковорода для блинов TEFAL Simply Clean 25 см Black (B5671053),599,1728947,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода для млинців Tefal B5671053 Simply Clean 25 см,,599,1,https://comfy.ua/skovoroda-dlja-blinov-tefal-b5671053-simply-clean-25-sm.html,829,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,4
773378952,,,,,1679320,Посуда >> Кухонные аксессуары,tescoma,Цукорниця tescoma 650360 150 мл Club,,299,1,https://comfy.ua/saharnica-tescoma-650360-150-ml-club.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
773379503,,,,,1689206,Посуда >> Кухонные аксессуары,tescoma,Набір ємностей для спецій і приправ tescoma 650314 Club,,349,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-tescoma-650314-club.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
773379603,,,,,1661257,Посуда >> Кухонные аксессуары,tescoma,Прес для часнику tescoma 420190 Presto,,499,1,https://comfy.ua/press-dlja-chesnoka-tescoma-420190-presto.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
773379604,,,,,1679323,Посуда >> Кухонные аксессуары,tescoma,Цукорниця tescoma 650366 225 мл Club,,459,1,https://comfy.ua/saharnica-tescoma-650366-225-ml-club.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
773379611,,,,,1678605,Посуда >> Кухонные аксессуары,tescoma,Цукорниця tescoma 386480 Gustito,,499,1,https://comfy.ua/saharnica-tescoma-386480-gustito.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
773379836,,,,,1689008,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Tescoma,tescoma,Ємність для спецій і приправ tescoma 894610 Fiesta 0.2 л,,799,1,https://comfy.ua/emkost-dlja-specij-tescoma-894610-fiesta-0-2-l.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
773379839,6868547,POWERPLANT,Электромельница PowerPlant 18 см (PP556),479,1610857,Посуда >> Кухонные аксессуары,powerplant,Млинок для спецій PowerPlant PP556,,509,1,https://comfy.ua/mel-nica-dlja-specij-powerplant-pp556.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773379950,,,,,.1694772,Посуда >> Для напитков,la-rochere,Склянка La Rochere Abeille 0.27 л 612101,,329,1,https://comfy.ua/stakan-la-rochere-abeille-0-27-l-612101.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
773380181,6654865,CECOTEC,Отпариватель CECOTEC Fast&Furious 4040 Absolute (CCTC-05518),1699,1728960,Техника для дома >> Мелкая техника >> Утюги >> Утюги Cecotec,cecotec,Вертикальний відпарювач ручний Cecotec Fast&Furious 4040 Absolute (CCTC-05518),,1444,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-cecotec-fast-furious-4040-absolute-cctc-05518.html,1699,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
773380184,6628860,SATURN,Паровая система SATURN ST-CC0235,1289,1730057,Техника для дома >> Мелкая техника >> Утюги >> Утюги Saturn,saturn,Вертикальний відпарювач стаціонарний Saturn ST-CC0235,,1419,1,https://comfy.ua/vertikal-nyj-otparivatel-stacionarnyj-saturn-st-cc0235.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
