773383068,6676681,russell_hobbs,___russell_hobbs_2801056_black,1499,1718328,____________russell_hobbs,russellhobbs,___russell_hobbs_2801056_black,column,1699,1,httpscomfyuamelnicadljaspecijrussellhobbs2801056blackhtml,1999,05112025_1851,column,__42,Фастів,0
773383068,6676681,RUSSELL HOBBS,Набор для специй RUSSELL HOBBS 28010-56 Black,1499,1718328,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Russell Hobbs,russell-hobbs,Млинок для спецій Russell Hobbs 28010-56 Black,,1699,1,https://comfy.ua/mel-nica-dlja-specij-russell-hobbs-28010-56-black.html,1999,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
773383068,6677417,RUSSELL HOBBS,Набор электромельниц для соли и перца RUSSELL HOBBS Black (28010-56),1699,1718328,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Russell Hobbs,russell-hobbs,Млинок для спецій Russell Hobbs 28010-56 Black,,1699,1,https://comfy.ua/mel-nica-dlja-specij-russell-hobbs-28010-56-black.html,1999,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
773383069,,,,,1677838,Посуда >> Кухонные аксессуары,tescoma,Набір ємностей для спецій і приправ tescoma 657066 Season 8 шт.,,1999,1,https://comfy.ua/nabor-emkostej-dlja-specij-i-priprav-tescoma-657066-season-8-sht.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
773383070,7088057,PEUGEOT,Мельница для мускатного ореха PEUGEOT Daman U'Select 15 см (33088),3176,1655111,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot для мускатного горіха 15 см U-S 33088,,3845,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-dlja-muskatnogo-oreha-15-sm-u-s-33088.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
773383079,6654191,ECG,Бутербродница ECG S 1170,829,1724657,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ECG,ecg,Бутербродниця ECG S 1170,,829,1,https://comfy.ua/buterbrodnica-ecg-s-1170.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
773383080,6654193,ECG,Бутербродница ECG S 3271,709,1724659,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ECG,ecg,Бутербродниця ECG S 3271,,709,1,https://comfy.ua/buterbrodnica-ecg-s-3271.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
773383084,6542789,FIRST,Бутербродница FIRST FA-5337-5,1059,1171063,Техника для кухни >> Мелкая техника,first,Бутербродниця First 5337-5 (FA-5337-5),,1059,1,https://comfy.ua/buterbrodnica-first-fa-5337-5.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
773383174,7088080,PEUGEOT,Мельница для соли PEUGEOT Madras U-Select 16 см (39479),3945,1691033,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 16 см 39479,,3945,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-16-sm-39479.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
773383297,,,,,1684308,Посуда >> Для напитков,wmf,Набір склянок WMF 954142040 для латте маккіато 2 шт. 265 мл,,999,1,https://comfy.ua/nabor-stakanov-wmf-954142040-dlja-latte-makkiato-2-sht-265-ml.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
773383444,,,,,1684307,Посуда >> Для напитков,wmf,Набір склянок WMF 948652040 COFFEE TIME для латте 4 шт. 250 мл,,899,1,https://comfy.ua/nabor-stakanov-wmf-948652040-coffee-time-dlja-latte-4-sht-250-ml.html,1099,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
