774576364,column,column,column,column,1730616,______________stark,stark,_stark_520201000,column,265,1,httpscomfyuakuvaldastark520201000html,column,05112025_2133,column,__42,Фастів,0
774576364,,,,,1730616,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Stark",stark,Кувалда Stark 520201000,,265,1,https://comfy.ua/kuvalda-stark-520201000.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
774576368,,,,,.1723532,Инструменты и автотовары >> Ручные инструменты,stal,Лом-цвяхосмик Сталь 800 мм (44056),,435,1,https://comfy.ua/lom-gvozdoder-stal-800-mm-44056.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
774581295,6926523,BOSCH,Терморегулятор BOSCH CW 400 (7738111077),13221,1723433,Техника для дома >> Климатическая техника >> Терморегуляторы >> Терморегуляторы Bosch,bosch,Терморегулятор Bosch CW 400 (7738111077),,13219,1,https://comfy.ua/termoreguljator-bosch-cw-400-7738111077.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
774581562,6380034,FIRST,Кофеварка FIRST FA-5476-1,4485,1256464,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо First,first,Кавоварка ріжкова First FA-5476-1,,4635,1,https://comfy.ua/kofevarka-rozhkovaja-first-fa-5476-1.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
774581583,,,,,1727426,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Kamvas 12 (GS1161) + рукавичка,,15299,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-12-gs1161-perchatka.html,16999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
774581892,6518784,BRABANTIA,Набор вешалок BRABANTIA ALUMINIUM CLOTHES HANGER 4 шт (118661),1199,1725389,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Brabantia",brabantia,Вішалка Brabantia 4 шт. 118661,,1199,1,https://comfy.ua/veshalka-brabantia-4-sht-118661.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
774581893,6987308,BRABANTIA,Вешалка BRABANTIA 118647 4 шт,1199,1725388,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Brabantia",brabantia,Вішалка Brabantia 4 шт. 118647,,1199,1,https://comfy.ua/veshalka-brabantia-4-sht-118647.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
774650501,,,,,1733599,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Time For Machine,time-for-machine,Металевий конструктор Time For Machine Medieval Hockey (T4M38023),,4199,1,https://comfy.ua/metallicheskij-konstruktor-time-for-machine-medieval-hockey-t4m38023.html,,06.11.2025 0:43,,"вул. Соборна, 42",Фастів,0
774650515,6660425,LG,Монитор LG 27GN800-B,9999,1733713,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",lg,Монітор ігровий LG 27GN800-B,,9299,1,https://comfy.ua/monitor-igrovoj-lg-27gn800-b.html,11999,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
774650523,6659777,ROTEX,Мультиварка ROTEX RMC504-W International,2089,1727275,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Rotex,rotex,Мультиварка Rotex RMC504-W International,,2089,1,https://comfy.ua/mul-tivarka-rotex-rmc504-w-international.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
774650540,6590932,ELECTROLUX,Бойлер ELECTROLUX EWH 100 Gladius 2.0,15999,1733312,Техника для дома >> Крупная техника,electrolux,Водонагрівач Electrolux EWH 100 Gladius 2.0,,15999,1,https://comfy.ua/vodonagrevatel-electrolux-ewh-100-gladius-2-0.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
774650544,6590906,ELECTROLUX,Бойлер ELECTROLUX EWH 50 Gladius 2.0,10999,1733310,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Electrolux,electrolux,Водонагрівач Electrolux EWH 50 Gladius 2.0,,10999,1,https://comfy.ua/vodonagrevatel-electrolux-ewh-50-gladius-2-0.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
774765552,6651073,MIELE,Кофемашина MIELE CM 5310 Silence Black,45989,1722847,Техника для кухни >> Мир кофе,miele,Кавомашина Miele CM5310 Чорний Обсідіан,,45989,1,https://comfy.ua/kofemashina-miele-cm5310.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
774769756,,,,,.1730169,"Аудио, фото и видео >> Фотокамеры",sony,Акумулятор для відеокамери Sony NP-FV100A2,,7499,1,https://comfy.ua/akkumuljator-dlja-videokamery-sony-np-fv100a2.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
774813075,6542801,FIRST,Кофеварка FIRST FA-5464-2,805,1256456,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные First,first,Кавоварка крапельна First FA-5464-2,,805,1,https://comfy.ua/kofevarka-kapel-naja-first-fa-5464-2.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
774818215,6569522,СТАЛЬ,Уровень СТАЛЬ 26034 1500 мм (62569),875,1730671,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь 1500 мм (26034),,875,1,https://comfy.ua/uroven-stal-1500-mm-26034.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
774826871,6559306,HAISSER,Уровень спиртовой Haisser 26062 Heavy Duty профиль 1.9 мм 1500 мм (BP87456),1530,1730611,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 1500 мм (87456),,1529,1,https://comfy.ua/uroven-haisser-heavy-duty-1500-mm-87456.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
774840833,,,,,1725502,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus L9 (BL-53QH) (DV00DV6290),,199,1,https://comfy.ua/catalog/product/view/id/1842773,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
774840845,,,,,1693862,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G733 Lightspeed Lilac (981-000890),,8299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g733-lightspeed-lilac-l981-000890.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
774840846,,,,,1693864,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G733 Lightspeed Blue (981-000943),,8299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g733-lightspeed-blue-l981-000943.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
774861886,,,,,1730677,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Сталь,stal,Біта для викрутки Сталь 49052 + отвертка,,399,1,https://comfy.ua/nabor-bit-dlja-otvertki-stal-49052-otvertka.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
774862222,6729624,EINHELL,Набор бит EINHELL 34 шт KWB (108801),852,1729597,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Einhell,einhell,Біта для викрутки Einhell KWB 34 шт. (108801),,855,1,https://comfy.ua/nabor-bit-dlja-otvertki-einhell-kwb-34-sht-108801.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
774862257,6635772,BOSCH,"Набор буров BOSCH SDS plus-1, 5 шт. (2.608.579.285)",276,1721422,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Bosch,bosch,"Біта для викрутки Bosch SDS plus-1, 5 шт. (2.608.579.285)",,275,1,https://comfy.ua/nabor-bit-dlja-otvertki-bosch-sds-plus-1-5-sht-2-608-579-285.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
774862258,6604308,NEO TOOLS,Отвертка NEO TOOLS с насадками 17 шт (04-228),759,1723012,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Neo Tools,neo-tools,Біта для викрутки Neo Tools 04-228 17 шт. с держателем,,759,1,https://comfy.ua/nabor-bit-dlja-otvertki-neo-tools-04-228-17-sht-s-derzhatelem.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
774863202,,,,,.1719759,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart for Xiaomi Mi Band 4/3 Orange (ARM51831),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-for-xiaomi-mi-band-4-3-orange-arm51831.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
774863984,,,,,1725188,"Аудио, фото и видео >> Наушники",gemix,Гарнітура дротова ігрова Gemix N1 Black-Red,,549,1,https://comfy.ua/catalog/product/view/id/1803823,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
774864127,6656887,GALACTIC,Кондиционер GALACTIC GKZ 09HF-S/GCZ 09HF-S,19229,1730806,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ 09HF-S/GCZ 09HF-S,,19229,1,https://comfy.ua/kondicioner-split-galactic-gkz-09hf-s-gcz-09hf-s.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
774864865,6656888,GALACTIC,Кондиционер GALACTIC GKZ 12HF-S/GCZ 12HF-S,21035,1730807,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ 12HF-S/GCZ 12HF-S,,21035,1,https://comfy.ua/kondicioner-split-galactic-gkz-12hf-s-gcz-12hf-s.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
774865144,,,,,.1730931,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для смарт-годинника XOKO Samsung Sport 22mm Black (XK-BND-22SP-BK),,99,1,https://comfy.ua/remeshok-dlja-smart-chasov-xoko-samsung-sport-22mm-black-xk-bnd-22sp-bk.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
774867801,6927180,EINHELL,Набор насадок для реноватора KWB для плитки 4 шт (708750),626,1729165,Инструменты и автотовары >> Расходные материалы >> Насадки для реноваторов >> Насадки для реноваторов Einhell,einhell,Набір насадок для багатофункціонального інструменту Einhell 4 шт. для плитки KWB (708750),,695,1,https://comfy.ua/nabor-nasadok-dlja-mnogofunkcional-nogo-instrumenta-einhell-4-sht-dlja-plitki-kwb-708750.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
774868071,6656886,GALACTIC,Кондиционер GALACTIC GKZ12SH-W/GCZ12SH-W,36925,1730805,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры GALACTIC,galactic,Кондиціонер спліт GALACTIC GKZ12SH-W/GCZ12SH-W,,36925,1,https://comfy.ua/kondicioner-split-galactic-gkz12sh-w-gcz12sh-w.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
