775277411,column,column,column,column,1722087,Инструменты и автотовары >> Электроинструменты,forte2,__forte_ms255_sl,column,10569,1,httpscomfyuacatalogproductviewid1868613,column,05112025_2147,column,__42,Фастів,0
775277411,,,,,1722087,Инструменты и автотовары >> Электроинструменты,forte2,Пила торцева Forte MS-255 SL,,10569,1,https://comfy.ua/catalog/product/view/id/1868613,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
775279781,6855602,BOSCH,Пила дисковая BOSCH GKS 235 Turbo Professional 2050 Вт 235 мм (0.601.5A2.001),12192,1730444,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Bosch,bosch,Пила дискова Bosch GKS 235 Turbo Professional (0.601.5A2.001),,12195,1,https://comfy.ua/pila-diskovaja-bosch-gks-235-turbo-professional-0-601-5a2-001.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
775281145,,,,,1720557,Техника для кухни >> Мелкая техника,itech,Кронштейн для НВЧ iTECH MB-6 W,,499,1,https://comfy.ua/kronshtejn-dlja-svch-itech-mb-6-w.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
775284276,6661056,DELONGHI,Набор пластин для вафель DELONGHI DLSK155,599,1652849,Техника для кухни >> Мелкая техника >> Аксессуары к грилям-барбекю >> Аксессуары к грилям-барбекю Delonghi,delonghi,Змінна панель Delonghi DLSK155,,599,1,https://comfy.ua/smennaja-panel-delonghi-dlsk155.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
775289599,,,,,1726022,Техника для кухни >> Мелкая техника,elica,Фільтр для витяжки Elica CFC0140423,,2299,1,https://comfy.ua/fil-tr-dlja-vytjazhki-elica-cfc0140423.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
775289813,,,,,1612377,Техника для кухни >> Мелкая техника,electrolux,Фільтр для витяжки Electrolux ECFBLL02,,2979,1,https://comfy.ua/fil-tr-dlja-vytjazhki-electrolux-ecfbll02.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
775290946,,,,,1612376,Техника для кухни >> Встраиваемая техника >> Фильтры для вытяжки >> Фильтры для вытяжки Electrolux,electrolux,Фільтр для витяжки Electrolux ECFBLL01,,5499,1,https://comfy.ua/fil-tr-dlja-vytjazhki-electrolux-ecfbll01.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
775291223,,,,,1695413,Посуда >> Кухонные аксессуары,tescoma,Пензлик кулiнарний tescoma 630024 Delicia,,359,1,https://comfy.ua/kist-kulinarnaja-tescoma-630024-delicia.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
775293726,,,,,1720608,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Ryobi,ryobi,Садовий пилосос Ryobi MaxPower RBV36B (без АКБ і ЗУ),,9998,1,https://comfy.ua/sadovyj-pylesos-ryobi-maxpower-rbv36b-bez-akb-i-zu.html,12239,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
775294043,,,,,1702991,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer X-782 Black (W-21 B-41),,16599,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-782-black-w-21-b-41.html,17999,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
775294046,,,,,1703012,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer X-801 Bright Gray (W-20 B-40),,19999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-801-bright-gray-w-20-b-40.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
775294052,,,,,1703042,Дом и отдых >> Мебель >> Офисные кресла >> Офисные кресла GT Racer,gt-racer,Крісло офісне GT Racer X-802 Bright Gray (W-20 B-40),,18399,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-x-802-bright-grey-w-20-b-40.html,19499,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
775295005,,,,,1668816,Техника для кухни >> Встраиваемая техника >> Фильтры для вытяжки >> Фильтры для вытяжки Minola,minola,Фільтр для витяжки Minola Арт. 0004,,349,1,https://comfy.ua/fil-tr-dlja-vytjazhki-minola-art-0004.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
775299578,6550486,GRUNHELM,Опрыскиватель GRUNHELM SP-1.5 (63738),280,1730522,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Grunhelm,grunhelm,Обприскувач ручний Grunhelm SP-1.5 (63738),,285,1,https://comfy.ua/opryskivatel-ruchnoj-grunhelm-sp-1-5-63738.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
775299579,6153286,FORTE,Опрыскиватель FORTE ОП-5 (40659),545,1730462,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Forte2,forte2,Обприскувач ручний Forte ОП-5,,545,1,https://comfy.ua/opryskivatel-ruchnoj-forte-op-5.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
775299580,6134793,FORTE,Опрыскиватель FORTE CL-16A (37344),1375,1730463,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные,,Обприскувач акумуляторний Forte CL-16A,,1659,1,https://comfy.ua/opryskivatel-akkumuljatornyj-forte-cl-16a.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
775299583,6333356,FORTE,"Опрыскиватель FORTE Ор-1,5 Lux (1.5Л)",249,1633719,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Forte2,forte2,Обприскувач ручний Forte ОР-1.5 LUX,,249,1,https://comfy.ua/opryskivatel-ruchnoj-forte-or-1-5-lux.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
775302540,,,,,1729283,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла Barsky",barsky,Крісло офісне Barsky Mesh (BM-02),,5989,1,https://comfy.ua/kreslo-ofisnoe-barsky-mesh-bm-02.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
