775911311,column,column,column,column,1733773,Детские товары >> Игрушки,sigikid,__sigikid___36__39332sk,column,1459,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidsevernyjmedved36sm39332skhtml,column,06112025_138,column,__42,Фастів,0
775508474,6656857,ELECTROLUX,Встраиваемая посудомоечная машина ELECTROLUX EEA912100L,14499,1727826,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Electrolux,electrolux,Посудомийна машина вбудована Electrolux EEA912100L,,14499,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-electrolux-eea912100l.html,18699,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
775520800,,,,,.1729267,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax mATX з блоком живлення (ATX300 ST-609),,1839,1,https://comfy.ua/korpus-gamemax-matx-s-blokom-pitanija-atx300-st-609.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
775520801,,,,,.1729268,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax mATX з блоком живлення  (ATX300 ST-610G),,1739,1,https://comfy.ua/korpus-gamemax-matx-s-blokom-pitanija-atx300-st-610g.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
775520816,,,,,1729273,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з блоком живлення (ET-210U3-500W),,1929,1,https://comfy.ua/korpus-gamemax-atx-s-blokom-pitanija-et-210u3-500w.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
775547579,,,,,.1730338,Посуда >> Для напитков,luminarc,Глечик Luminarc Gridz 1.3 л (Q3653),,320,1,https://comfy.ua/kuvshin-luminarc-gridz-1-3-l-q3653.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
775548572,6725139,STARK,Аккумулятор STARK Li-Ion 18V 4.0Ah (210018400),1299,1725435,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Stark,stark,"Акумулятор для електроінструментів Stark Li-Ion 18 В, 4 Aч (210018400)",,1399,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-stark-li-ion-18-v-4-ach-210018400.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
775558979,6656544,APACER,Флеш-драйв APACER AH25B 64GB USB 3.1 Black (AP64GAH25BB-1),259,1731271,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer  AH25B 64GB USB 3.1 Black (AP64GAH25BB-1),,199,1,https://comfy.ua/flesh-usb-apacer-ah25b-64gb-usb-3-1-black-ap64gah25bb-1.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,1
775588316,,,,,1004240,Техника для дома >> Аксессуары к мелкой технике,menalux,Мішок для пилососа одноразовий Menalux SOS-ST,,199,1,https://comfy.ua/catalog/product/view/id/1869143,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
775736239,,,,,1733773,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Північний ведмідь 36 см (39332SK),,1459,1,https://comfy.ua/catalog/product/view/id/1873223,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
775911311,,,,,.1733773,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Північний ведмідь 36 см (39332SK),,1459,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-severnyj-medved-36-sm-39332sk.html,,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
775914726,6656609,SAMSUNG,Варочная поверхность SAMSUNG NZ64T3506AK/WT,9599,1732450,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Samsung,samsung,Варильна поверхня електрична Samsung NZ64T3506AK/WT,,9999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-samsung-nz64t3506ak-wt.html,11799,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
775914729,6656608,SAMSUNG,Варочная поверхность SAMSUNG NZ64T3516AK/WT,11999,1732448,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Samsung,samsung,Варильна поверхня електрична Samsung NZ64T3516AK/WT,,11999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-samsung-nz64t3516ak-wt.html,12899,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
775914830,,,,,1724774,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Вітальня і Дитяча (6123Z),,569,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-gostinaja-i-detskaja-6123z.html,,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
776548259,,,,,1004240,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Menalux,menalux,Мішок для пилососа одноразовий Menalux SOS-ST,,199,1,https://comfy.ua/meshok-dlja-pylesosa-menalux-sos-st.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
776552662,6645331,KRAUFF,Ножницы кухонные KRAUFF 29-250-026,359,1730243,Посуда >> Нарезка и измельчение >> Ножницы кухонные >> Ножницы кухонные Krauff,krauff,Ножиці кухонні Krauff 29-250-026 Schere,,399,1,https://comfy.ua/nozhnicy-kuhonnye-krauff-29-250-026-schere.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
776553523,6996292,HOLMER,Утюг HOLMER HIC-2425,599,1734928,Техника для дома >> Мелкая техника,holmer,Праска Holmer HIC-2425,,599,1,https://comfy.ua/catalog/product/view/id/1874123,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
776554700,,,,,1731166,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",voltronic,Хаб USB Voltronic 4хUSB 2.0 Black (YT-HHy4/02171),,99,1,https://comfy.ua/hab-usb-voltronic-4husb-2-0-black-yt-hhy4-02171.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
776554701,,,,,1731171,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",voltronic,Хаб USB Voltronic 4хUSB 2.0 White (YT-HM4-W/02419),,99,1,https://comfy.ua/hab-usb-voltronic-4husb-2-0-white-yt-hm4-w-02419.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
