778963318,6618458,hp,_hp_dhs2111,333,1667937,____________hp,hp,___20_hp_dhs2111,column,349,1,httpscomfyuakompjuternajaakustikakompaktnaja20hpdhs2111html,column,05112025_1847,column,__42,Фастів,0
777920328,,,,,1725526,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Zenfone 3 (C11P1511) (SM120017),,199,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-zenfone-3-c11p1511-sm120017.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777929526,,,,,1725515,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Z6 (C11P1325) (DV00DV6320),,159,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-z6-c11p1325-dv00dv6320.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777937199,,,,,1725507,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,"Акумулятор для мобільного телефону PowerPlant LG Nexus 5 D820, D821 (BL-T9) (DV00DV6297)",,299,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-nexus-5-d820-d821-bl-t9-dv00dv6297.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777945023,,,,,1725529,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus ZenFone Selfie (ZD551KL) (SM120079),,299,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-zenfone-selfie-zd551kl-sm120079.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
778151680,,,,,1715735,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Microsoft MS4  (MI24CMS4),,999,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-microsoft-ms4-mi24cms4.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
778423550,,,,,1725539,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC Desire 10 (SM140107),,169,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-desire-10-sm140107.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
778963318,6618458,HP,Колонки HP DHS-2111,333,1667937,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика HP",hp,Комп'ютерна акустика компактна 2.0 HP DHS-2111,,349,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-hp-dhs-2111.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
779131421,6629765,ROTEX,Насадки для взбивания и замеса ROTEX RBA73-M,459,1733880,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Rotex,rotex,Насадка для блендера Rotex RBA73-M,,459,1,https://comfy.ua/nasadka-dlja-blendera-rotex-rba73-m.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
779147195,,,,,1727763,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель PowerPlant DVI-D 24M-24M Double Ferrites 1.5 м Black (CA910854),,199,1,https://comfy.ua/kabel-powerplant-dvi-d-24m-24m-double-ferrites-1-5-m-black-ca910854.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
779169154,6492220,DEFENDER,Гарнитура DEFENDER Pollaxe Black/Red (64453),189,1685122,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Навушники вкладиші дротові Defender Pollaxe Black-Red (64453),,189,1,https://comfy.ua/naushniki-vkladyshi-provodnye-defender-pollaxe-black-red-64453.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
