782006952,6735088,stark,__stark_cd_122_liion_210012010,1897,1720220,_________stark,stark,_stark_cd_122_210012010_liion,column,1899,1,httpscomfyuadrelshurupovertstarkcd122210012010liionhtml,column,05112025_2141,column,__42,Фастів,0
782006952,6735088,STARK,Аккумуляторный шуруповерт Stark CD 12-2 Li-Ion (210012010),1897,1720220,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Stark,stark,Дриль-шуруповерт Stark CD 12-2 (210012010) Li-Ion,,1899,1,https://comfy.ua/drel-shurupovert-stark-cd-12-2-210012010-li-ion.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
782008974,,,,,1726019,Смарт-часы и гаджеты >> Аксессуары >> Расходники к 3D-устройствам >> Расходники к 3D-устройствам Polaroid,polaroid,Нитка для PLA-картриджа Polaroid 22 цвета (PL-2503-00),,999,1,https://comfy.ua/nitka-dlja-pla-kartridzha-polaroid-22-cveta-pl-2503-00.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
782016403,,,,,1736866,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Vegas,vegas,Кавомолка Vegas VCG-0008S,,485,1,https://comfy.ua/kofemolka-vegas-vcg-0008s.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
782022318,6797566,TOLSEN,Набор инструментов TOLSEN 42 шт (20041),488,1733998,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Tolsen,tolsen,Набір інструментів Tolsen 42 пр. (20041),,669,1,https://comfy.ua/nabor-instrumentov-tolsen-42-pr-20041.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
782022319,6604499,TOP TOOLS,Набор инструмента TOP TOOLS 194 пр (38D545),2480,1722528,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Top Tools,top-tools,Набір інструментів Top Tools 1/4'' 3/8'' 194 шт. (38D545),,3309,1,https://comfy.ua/nabor-instrumentov-top-tools-1-4-3-8-194-sht-38d545.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
782024000,7041238,TOLSEN,Отрезной диск по металлу TOLSEN 180х1.6х22.2 мм (76105),35,1734672,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Tolsen,tolsen,Круг відрізний по металу Tolsen 180х1.6х22.2 мм (76105),,79,1,https://comfy.ua/krug-otreznoj-po-metallu-tolsen-180h1-6h22-2-mm-76105.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
782024221,6518219,MAGIO,Триммер MAGIO MG-917,199,1735673,Красота и здоровье >> Уход за лицом,magio,Тример для носа і вух Magio MG-917,,226,1,https://comfy.ua/catalog/product/view/id/1879023,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
782026710,6946212,TOLSEN,Пильное полотно TOLSEN Т144D 5 шт (76802),91,1734942,Инструменты и автотовары >> Расходные материалы >> Полотна и цепи для пил и лобзиков >> Полотна и цепи для пил и лобзиков Tolsen,tolsen,Полотно Tolsen Т144D 5 шт. (76802),,91,1,https://comfy.ua/polotno-tolsen-t144d-5-sht-76802.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
782028380,6985729,STARK,Цепная пила STARK ECS-2510 (310025010),3689,1720224,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Stark,stark,Ланцюгова пила Stark ECS-2510 (310025010),,3689,1,https://comfy.ua/cepnaja-pila-stark-ecs-2510-310025010.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
782031669,6721783,STARK,Перфоратор STARK RH-850 Profi (140850010),2189,1720241,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Stark,stark,Перфоратор Stark RH-850 Profi (140850010),,2189,1,https://comfy.ua/perforator-stark-rh-850-profi-140850010.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
782033577,6308770,FORTE,Краскопульт FORTE SG-1120SN NEW (60850),586,1725876,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Forte2,forte2,Розпилювач фарби Forte SG-1120SN,,685,1,https://comfy.ua/raspylitel-kraski-forte-sg-1120sn.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
782033579,6308764,FORTE,Краскопульт FORTE LVLP SG-160 PROFI (48773),1325,1725874,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Forte2,forte2,Розпилювач фарби Forte LVLP SG-160,,1605,1,https://comfy.ua/raspylitel-kraski-forte-lvlp-sg-160.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
782034647,,,,,.1732855,Инструменты и автотовары >> Ручные инструменты,stark,Ніж будівельний Stark 506111205,,259,1,https://comfy.ua/nozh-stroitel-nyj-stark-506111205.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
782039312,,,,,1725824,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Сталь,stal,Ножиці садові Сталь 250 мм (81002),,345,1,https://comfy.ua/nozhnicy-sadovye-stal-250-mm-81002.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
782039314,6216807,СТАЛЬ,Секатор СТАЛЬ 81001 200 мм,235,1725823,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Сталь,stal,Ножиці садові Сталь 200 мм (81001),,235,1,https://comfy.ua/nozhnicy-sadovye-stal-200-mm-81001.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
782040001,6458135,СТАЛЬ,"Ключ балонный СТАЛЬ 12 х 13 мм, оцинкованный (70085)",63,1722670,Инструменты и автотовары >> Ручные инструменты,stal,Ключ торцевий Сталь 12х13 мм (71272),,64,1,https://comfy.ua/kljuch-torcevoj-stal-12h13-mm-71272.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
782040008,,,,,1733034,Инструменты и автотовары >> Ручные инструменты,stal,Набір комбінованих ключів Сталь CRV 6 шт. (48005),,259,1,https://comfy.ua/nabor-kombinirovannyh-kljuchej-stal-crv-6-sht-48005.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
782040010,6604495,TOP TOOLS,Набор ключей TOP TOOLS 6 шт (35D455),260,1722529,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Top Tools,top-tools,Набір ключів Top Tools 6-17 мм 6 шт (35D455),,289,1,https://comfy.ua/nabor-kljuchej-top-tools-6-17-mm-6-sht-35d455.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
782040097,,,,,1732856,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Stark,stark,Ключ заклепувальний Stark 521000150,,199,1,https://comfy.ua/kljuch-zaklepochnyj-stark-521000150.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
782040134,6797516,TOLSEN,Ключ разводной TOLSEN 0 - 30 мм (15310),329,1734015,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Развідний ключ Tolsen Профи 250 мм (15310),,415,1,https://comfy.ua/razvodnoj-kljuch-tolsen-profi-250-mm-15310.html,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
782040135,6797544,TOLSEN,Набор ключей TOLSEN 2 шт 9-32 мм (15282),291,1734017,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Набір гайкових ключів Tolsen 2 шт. универсальные (15282),,365,1,https://comfy.ua/nabor-gaechnyh-kljuchej-tolsen-2-sht-universal-nye-15282.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
782040422,,,,,.1707973,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X GT 1030 2GB 162 (Ryzen55600XGT10302GB162),,21267,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-gt-1030-2gb-162-ryzen55600xgt10302gb162.html,24445,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
782040427,,,,,.1707971,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X GT 1030 2GB 161 (Ryzen55600XGT10302GB161),,23350,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-gt-1030-2gb-161-ryzen55600xgt10302gb161.html,26839,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
782040434,,,,,.1707972,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X GT 1030 2GB 1611 (Ryzen55600XGT10302GB1611),,24042,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-gt-1030-2gb-1611-ryzen55600xgt10302gb1611.html,27635,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
782040438,,,,,.1707974,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 5600X GT 1030 2GB 1621 (Ryzen55600XGT10302GB1621),,24298,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-5600x-gt-1030-2gb-1621-ryzen55600xgt10302gb1621.html,27929,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
782041072,6580007,FORTE,Торцовочная пила FORTE MS-255 SL (77400),9847,1722087,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Forte2,forte2,Пила торцева Forte MS-255 SL,,10569,1,https://comfy.ua/pila-torcevaja-forte-ms-255-sl.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
782041074,6705612,EINHELL,Пила циркулярная Einhell Expert TC-CS 1410 (4331050),3294,1729144,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Einhell,einhell,Пила дискова Einhell TC-CS 1410 (4331050),,3295,1,https://comfy.ua/pila-diskovaja-einhell-tc-cs-1410-4331050.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
782041075,6705609,EINHELL,Пила торцовочная Einhell TC-MS 216 (4300370),5584,1729142,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Einhell,einhell,Пила торцева Einhell TC-MS 216 (4300370),,5585,1,https://comfy.ua/pila-torcevaja-einhell-tc-ms-216-4300370.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
782092255,,,,,1732701,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники UGREEN",ugreen,Кабель синхронізації даних UGREEN US290 USB - Micro USB Cable Aluminum Braid 1m White (60151),,209,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us290-usb-micro-usb-cable-aluminum-braid-1m-white-60151.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
782092504,,,,,.1736563,Техника для кухни >> Мелкая техника,bamix,Насадка для блендера Bamix 460.051,,665,1,https://comfy.ua/nasadka-dlja-blendera-bamix-460-051.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
782092505,6985627,BAMIX,Насадка для перемешивания BAMIX (460.052),665,1736564,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Bamix,bamix,Насадка для блендера Bamix 460.052,,665,1,https://comfy.ua/nasadka-dlja-blendera-bamix-460-052.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
782094945,6703791,VIDEX,Настольная лампа-фонарик VIDEX VL-TF11W 5W 3000-5500K 5V (25946),731,1735988,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Videx",videx,Настільна лампа Videx VL-TF11W 5W 3000-5500K 5V (25946),,735,1,https://comfy.ua/nastol-naja-lampa-videx-vl-tf11w-5w-3000-5500k-5v-25946.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
782094946,6709817,VIDEX,Настольная лампа VIDEX LED VL-TF05B 7W (25945),1285,1735996,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Videx",videx,Настільна лампа Videx VL-TF05B 7W 3000-5500K 220V (25945),,1359,1,https://comfy.ua/nastol-naja-lampa-videx-vl-tf05b-7w-3000-5500k-220v-25945.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
782147838,6658624,HP,Гарнитура HP DHE-8006 Gaming Black,1319,1733908,"Аудио, фото и видео >> Наушники",hp,"Гарнітура дротова ігрова HP DHE-8006 Sound, USB, Black",,1319,1,https://comfy.ua/catalog/product/view/id/1889453,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
782169324,6735087,STARK,Электролобзик Stark JS 780 (190040780),1799,1733041,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Stark,stark,Електролобзик Stark JS 780 (190040780),,1799,1,https://comfy.ua/jelektrolobzik-stark-js-780-190040780.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
782169325,6686906,EINHELL,Электролобзик Einhell X-Change TC-JS 18 Li - Solo (4321209),2255,1729143,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Einhell,einhell,Електролобзик Einhell TC-JS 18 (4321209),,2255,1,https://comfy.ua/jelektrolobzik-einhell-tc-js-18-4321209.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
782169326,6574829,RYOBI,Лобзиковый станок Ryobi RSW1240G (5133002860),8999,1725946,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Ryobi,ryobi,Пила торцева Ryobi RSW1240G (5133002860),,8369,1,https://comfy.ua/pila-torcevaja-ryobi-rsw1240g-5133002860.html,9999,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
782171932,6458284,СТАЛЬ,Тиски СТАЛЬ PROFI 47128 125 мм (81007),3399,1733031,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Сталь,stal,Лещата Сталь Profi 125 мм,,3399,1,https://comfy.ua/tiski-stal-profi-125-mm.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
782172446,6725138,STARK,Аккумулятор STARK Li-Ion 18V 3.0Ah (210018300),1247,1725434,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Stark,stark,"Акумулятор для електроінструментів Stark Li-Ion 18 В, 3 Aч (210018300)",,1219,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-stark-li-ion-18-v-3-ach-210018300.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
782172625,7042294,ЗЕНІТ,Технический фен ЗЕНИТ ЗФ-2010 М2 (841798),589,1736276,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические,,Технічний фен Зенит ЗФ-2010 М2 (841798),,659,1,https://comfy.ua/tehnicheskij-fen-zenit-zf-2010-m2-841798.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
782174439,,,,,1730458,"Аудио, фото и видео >> Акустика",fantech,Комп'ютерна акустика компактна 2.0 Fantech GS-202/11469 Black,,715,1,https://comfy.ua/catalog/product/view/id/1873563,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
782176349,,,,,1730041,Техника для дома >> Мелкая техника,philips,Вертикальний відпарювач ручний Philips GC801/10,,4999,1,https://comfy.ua/catalog/product/view/id/1871173,5999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
782195042,,,,,.1714914,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-BT202 (1283126485756),,749,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-bt202-1283126485756.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
782199186,,,,,1736770,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tenda,Маршрутизатор інтернет WiFi4+4G Tenda 4G06,,2699,1,https://comfy.ua/catalog/product/view/id/1889523,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
782230534,,,,,.1736769,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tenda,Маршрутизатор інтернет WiFi4+4G Tenda 4G03,,2199,1,https://comfy.ua/marshrutizator-ethernet-tenda-4g03.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
