783349326,column,column,column,column,1737443,________________canyon,canyon,___canyon_cnehwc2,column,899,1,httpscomfyuavebkameradljakompjuteracanyoncnehwc2html,column,05112025_1747,column,__42,Фастів,0
783349326,,,,,1737443,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Canyon",canyon,Веб-камера для комп'ютера Canyon CNE-HWC2,,899,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-canyon-cne-hwc2.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
783360257,,,,,1737356,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Каструля BerlingerHaus Metallic Line з кришкою 6 л D28 см (BH-1258N),,1899,1,https://comfy.ua/kastrjulja-berlingerhaus-metallic-line-s-kryshkoj-6-l-d28-sm-bh-1258n.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
783362857,,,,,1739316,Игровые консоли и гейминг >> Комплектующие для игровых ПК,modecom,Корпус Modecom Amirani ARGB White (AT-AMIRANI-PG-20-000000-0) без БП,,4399,1,https://comfy.ua/catalog/product/view/id/1902283,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783425958,,,,,1721354,Техника для кухни >> Крупная техника,ventolux,Духова шафа електрична Ventolux Toledo 6 MT (BK/X),,8489,1,https://comfy.ua/catalog/product/view/id/1904113,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
783465935,,,,,1738694,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Монопод для селфі Piko M-002M Blue (1283126476839),,199,1,https://comfy.ua/catalog/product/view/id/1900703,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
783526138,,,,,1739488,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP700R7,,1879,1,https://comfy.ua/catalog/product/view/id/1902293,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
783529652,6659008,PHILIPS,Отпариватель PHILIPS GC810/20,5299,1734866,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Вертикальний відпарювач ручний Philips GC810/20,,5299,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-philips-gc810-20.html,6499,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
783529661,6665182,CANYON,Powerbank CANYON PB-106 10000mAh White (CNE-CPB1006W),899,1738498,Смартфоны и телефоны >> Аксессуары для смартфонов,canyon,Батарея мобільна Canyon 10000mAh White (CNE-CPB1006W),,599,1,https://comfy.ua/catalog/product/view/id/1901173,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
783530854,,,,,1736727,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion Японский абрикос 960 мл (8806325612223),,313,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-lion-japonskij-abrikos-960-ml-8806325612223.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
783535086,6577633,BERLINGER HAUS,Сковорода для блинов BERLINGER HAUS Metallic Line 25 см Burgundy (BH-1272N),739,1737357,Посуда >> Для приготовления >> Сковороды >> Сковороды BerlingerHaus,berlingerhaus,Сковорода для млинців BerlingerHaus Metallic Line 25 см (BH-1272N),,632,1,https://comfy.ua/skovoroda-dlja-blinov-berlingerhaus-metallic-line-25-sm-bh-1272n.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
783540340,6577555,BERLINGER HAUS,Набор ножей BERLINGER HAUS I-Rose 6 пр (BH-2516),1629,1737368,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы BerlingerHaus,berlingerhaus,Набір ножів BerlingerHaus I-Rose Edition 6 пр. (BH-2516),,1629,1,https://comfy.ua/nabor-nozhej-berlingerhaus-i-rose-edition-6-pr-bh-2516.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
783541330,6987445,WUESTHOF,Нож для овощей WUESTHOF Classic Ikon 9 см Black (1040330409),4282,1739599,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж для овочів Wuesthof 9 см в картонной упаковке 1040330409,,4282,1,https://comfy.ua/nozh-dlja-ovoschej-wuesthof-9-sm-v-kartonnoj-upakovke-1040330409.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
783541368,6987454,WUESTHOF,Нож сантоку WUESTHOF Classic White 17 см (1040231317),5595,1739602,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж сантоку Wuesthof 17 см в картонной упаковке 1040231317,,5595,1,https://comfy.ua/nozh-santoku-wuesthof-17-sm-v-kartonnoj-upakovke-1040231317.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
783571141,6693213,JBL,Гарнитура JBL T215BT White (JBLT215BTWHT),1299,1715715,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники вкладиші бездротові JBL T215BT White (JBLT215BTWHT),,1299,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-jbl-t215bt-white-jblt215btwht.html,1699,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
783571160,6729776,VENTOLUX,Духовой шкаф VENTOLUX TOLEDO 6 MT (BK/X),8489,1721354,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux Toledo 6 MT (BK/X),,8489,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-toledo-6-mt-bk-x.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
