783572347,column,column,column,column,1739395,Детские товары >> Игрушки,tigres,__tigres___30__0209,column,519,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkahani30smve0209html,column,06112025_136,column,__42,Фастів,0
783464665,6986108,SNAIGE,Морозильная камера SNAIGE F27SM-T1000E,19215,1718096,Техника для кухни >> Крупная техника,snaige,Морозильна камера Snaige F27SM-T1000E,,21395,1,https://comfy.ua/morozil-naja-kamera-snaige-f27sm-t1000e.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
783526137,,,,,1739486,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP600R7,,1749,1,https://comfy.ua/catalog/product/view/id/1902233,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
783526459,,,,,1739472,Игровые консоли и гейминг >> Комплектующие для игровых ПК,modecom,Блок живлення для ПК Modecom Volcano 750 Bronze (ZAS-MC85-SM-750-ATX-VOLCA),,2949,1,https://comfy.ua/catalog/product/view/id/1902423,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
783529660,6665181,CANYON,Powerbank CANYON PB-106 10000mAh Black (CNE-CPB1006B),659,1738497,Энергообеспечение >> Мобильные батареи,canyon,Батарея мобільна Canyon 10000mAh Black (CNE-CPB1006B),,599,1,https://comfy.ua/catalog/product/view/id/1901063,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
783530853,,,,,1736713,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Lion,lion,Засіб для ручного миття посуду Lion Японский абрикос 960 мл (8806325612247),,299,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-lion-japonskij-abrikos-1-l-8806325612247.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
783533985,,,,,1738686,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Lenovo 20V 2.25A 45W + кабель питания (LLN45/20-4.0*1.7),,479,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-lenovo-20v-2-25a-45w-kabel-pitanija-lln45-20-4-0-1-7.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
783535721,6366799,TRAMONTINA,Нож для хлеба TRAMONTINA Plenus 20.3 см Black (23422/108),189,1734721,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для хліба Tramontina Plenus Black 203 мм (23422/108),,189,1,https://comfy.ua/nozh-dlja-hleba-tramontina-plenus-black-203-mm-23422-108.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
783541329,6987446,WUESTHOF,Нож универсальный WUESTHOF Classic 14 см Black (1040101614),4215,1739600,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 14 см 1040101614,,4215,1,https://comfy.ua/nozh-dlja-hleba-wuesthof-14-sm-1040101614.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
783541367,6987453,WUESTHOF,Нож сантоку WUESTHOF Classic White 14 см (1040231314),4760,1739601,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж сантоку Wuesthof 14 см 1040231314,,4760,1,https://comfy.ua/nozh-santoku-wuesthof-14-sm-1040231314.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
783571136,,,,,1739934,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Huggies,huggies,Серветки вологі для дітей Huggies Natural Care 56 шт. (5029053550152),,92,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-huggies-natural-care-56-sht-5029053550152.html,115,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
783571147,6677063,INTERLINE,Встраиваемый холодильник INTERLINE RDF 770 EBZ WA,23399,1739714,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Interline,interline,Холодильник Interline RDF 770 EBZ WA,,25599,1,https://comfy.ua/holodil-nik-interline-rdf-770-ebz-wa.html,28899,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
783571167,,,,,1739350,Детские товары >> Игрушки для малышей,canpol-babies,Брязкальце Canpol babies М'яч і кульки (56/145),,249,1,https://comfy.ua/pogremushka-canpol-babies-mjach-i-shariki-56-145.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
783571948,,,,,1739553,Техника для дома >> Аксессуары к мелкой технике,cecotec,Тканина для чищення Cecotec Conga Winddroid 970/980,,649,1,https://comfy.ua/catalog/product/view/id/1902503,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
783572317,,,,,1739383,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Лисеня """"Фоксі"""", (ЛИ-0021)""",,295,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-lisenok-foksi-li-0021.html,,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
783572318,,,,,1739382,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Курча """"Кращий друг"""", (ІГ-0075)""",,169,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-cyplenok-luchshij-drug-ig-0075.html,199,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
783572320,,,,,.1739396,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Хані"""", 55 см, (ВЕ-0210)""",,1569,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-hani-55-sm-ve-0210.html,,06.11.2025 1:36,,"вул. Соборна, 42",Фастів,0
783572322,,,,,1739378,Детские товары >> Игрушки,tigres,М'яка іграшка Tigres М'ячик футбольний (ПШ-0003),,249,1,https://comfy.ua/mjagkaja-igrushka-podushka-tigres-mjachik-futbol-nyj-psh-0003.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
783572324,,,,,1739381,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Зайчик """"Кращий друг"""" (ІГ-0073)""",,225,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-zajchik-luchshij-drug-ig-0073.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
783572328,,,,,1739388,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Підголовник """"Ведмедик"""", (ПД-0343)""",,319,1,https://comfy.ua/mjagkaja-igrushka-podushka-tigres-podgolovnik-medvezhonok-pd-0343.html,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
783572331,,,,,.1739374,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Єдиноріг """"Лілу"""" (ПД-0333)""",,399,1,https://comfy.ua/mjagkaja-igrushka-podushka-tigres-edinorog-lilu-pd-0333.html,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
783572333,,,,,1739373,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Совенок """"А-Мур"""" (ВА-0028)""",,269,1,https://comfy.ua/mjagkaja-igrushka-podushka-tigres-sovenok-a-mur-va-0028.html,,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
783572335,,,,,1739369,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Котик """"Кращий друг"""", (ІГ-0074)""",,199,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-kotik-luchshij-drug-ig-0074.html,,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
783572337,,,,,1739368,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Зайчик """"Джессі"""" enjoy, (ЗА-0060)""",,233,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-zajchik-dzhessi-enjoy-za-0060.html,275,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
783572338,,,,,1739398,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Мишка """"Маріуш"""", 30 см, (ВЕ-0211)""",,499,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-mariush-30-sm-ve-0211.html,,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
783572341,,,,,1739360,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Tigres,tigres,"""М'яка іграшка Tigres Мишка """"Кращий друг"""", (ІГ-0072)""",,169,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-luchshij-drug-ig-0072.html,199,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
783572343,,,,,1739348,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Canpol babies,canpol-babies,"М'яка іграшка Canpol babies Кролик, рожева (80/200_pin)",,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-canpol-babies-krolik-rozovaja-80-200-pin.html,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
783572346,,,,,1739380,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Tigres,tigres,"Пірамідка Tigres Пірамідка мала в коробці, (39816)",,129,1,https://comfy.ua/piramidka-tigres-piramidka-malaja-v-korobke-39816.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
783572347,,,,,.1739395,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Хані"""", 30 см, (ВЕ-0209)""",,519,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-mishka-hani-30-sm-ve-0209.html,,06.11.2025 1:36,,"вул. Соборна, 42",Фастів,0
783572362,,,,,1697433,Детские товары >> Игрушки для малышей,elfiki,Сортер ELFIKI Доміно (39733),,129,1,https://comfy.ua/pogremushka-elfiki-domino-39733.html,159,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
783572370,,,,,1697112,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик Айли mint (ІГ-0124),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-ajli-mint-ig-0124.html,,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
783572371,,,,,1697110,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик Айли knit (ІГ-0122),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-ajli-knit-ig-0122.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
783572372,,,,,1697107,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки ELFIKI,elfiki,М'яка іграшка ELFIKI ельфик пуфф mint (ІГ-0119),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-elfiki-jel-fik-puffi-mint-ig-0119.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
