784649275,column,column,column,column,1739115,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,ekopups,____active_premium_1217_7687___abso_maxi__344,column,649,1,httpscomfyuapodguznikitrusikimnogorazovyejekopupsactivepremium12177687svkladyshemabsomaxifuksijatp3vk44fhtml,column,05112025_2040,column,__42,Фастів,0
784609756,7040959,TEKHMANN,Аккумулятор TEKHMANN TAB-20/i20 Li (848401),1380,1740669,Инструменты и автотовары >> Электроинструменты,tekhmann,Акумулятор для електроінструментів Tekhmann TAB-20/i20 Li (848401),,1225,1,https://comfy.ua/catalog/product/view/id/1906123,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
784609762,6660878,KARCHER,Аккумулятор и зарядное устройство KARCHER 36 V 2.5 Ah (2.445-064.0),8549,1738078,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,З/П до акумуляторної батареї для електроінструментів Karcher 36 V 2.5 Ah набор (2.445-064.0),,8999,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-karcher-36-v-2-5-ah-nabor-2-445-064-0.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
784609763,6660879,KARCHER,Аккумулятор и зарядное устройство KARCHER 36 V 5.0 Ah (2.445-065.0),11319,1738079,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,З/П до акумуляторної батареї для електроінструментів Karcher 36 V 5.0 Ah набор (2.445-065.0),,11999,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-karcher-36-v-5-0-ah-nabor-2-445-065-0.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
784621964,,,,,1736566,"Дом, отдых и зоотовары >> Освещение",fundesk,Настільна лампа FunDesk LC6 White,,649,1,https://comfy.ua/catalog/product/view/id/1892273,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,1
784645455,,,,,1707075,Техника для кухни >> Крупная техника,asel,Піч електрична ASEL AF 40-23 Grey,,3669,1,https://comfy.ua/catalog/product/view/id/1908973,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
784645457,,,,,1707078,Техника для кухни >> Крупная техника,asel,Піч електрична ASEL AF 50-23 Red,,4175,1,https://comfy.ua/catalog/product/view/id/1908993,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
784649267,,,,,1739079,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Classic 7-13 (72-80), з вкладишем Abso Maxi (Зелений) (ТП2ВК4-3з)",,525,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-classic-7-13-72-80-s-vkladyshem-abso-maxi-zelenyj-tp2vk4-3z.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
784649272,,,,,1739081,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Premium 3-6 (3-7), з вкладишем Abso Maxi (Бірюзовий) (ТП3ВК4-1бз)",,419,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-premium-3-6-3-7-s-vkladyshem-abso-maxi-birjuzovyj-tp3vk4-1bz.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
784649274,,,,,1739114,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Premium 12-17 (76-87), з вкладишем  Abso Maxi (Жовтий) (ТП3ВК4-4ж)",,649,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-premium-12-17-76-87-s-vkladyshem-abso-maxi-zheltyj-tp3vk4-4zh.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
784649275,,,,,1739115,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Premium 12-17 (76-87), з вкладишем Abso Maxi (Фуксія) (ТП3ВК4-4ф)",,649,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-premium-12-17-76-87-s-vkladyshem-abso-maxi-fuksija-tp3vk4-4f.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
784649276,,,,,1739085,Детские товары >> Подгузники и пеленание,eko-pups,"Підгузок багаторазовий для дорослих ЕКО ПУПС Natural Touch Premium S (1), 55-102 см, 1 шт, з вкладишем (Білий) (DANTPIN-01w)",,1485,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-dlja-vzroslyh-jeko-pups-natural-touch-premium-s-1-55-102-sm-1-sht-s-vkladyshem-belyj-dantpin-01w.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
784649277,,,,,1739087,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Classic 3-6 (3-7), з вкладишем Abso Maxi (Зелений) (ТП2ВК4-1з)",,369,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-classic-3-6-3-7-s-vkladyshem-abso-maxi-zelenyj-tp2vk4-1z.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
784649278,,,,,1739088,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Classic 5-9 (50-74), з вкладишем Abso Maxi (Жовтий) (ТП2ВК4-2ж)",,525,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-classic-5-9-50-74-s-vkladyshem-abso-maxi-zheltyj-tp2vk4-2zh.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
784649279,,,,,1739127,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Easy Size Classic 12-17 (76-87), з вкладишем Abso Maxi (Зелений) (ТПК1ВК4-4з)",,415,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-easy-size-classic-12-17-76-87-s-vkladyshem-abso-maxi-zelenyj-tpk1vk4-4z.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
784649281,,,,,1739089,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Active Classic 7-13 (72-80), з вкладишем Abso Maxi (Жовтий) (ТП2ВК4-3ж)",,525,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-active-classic-7-13-72-80-s-vkladyshem-abso-maxi-zheltyj-tp2vk4-3zh.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
784649282,,,,,1739125,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Easy Size Classic 7-13(72-80), з вкладишем Abso Maxi (Зелений) (ТПК1ВК4-3з)",,385,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-easy-size-classic-7-13-72-80-s-vkladyshem-abso-maxi-zelenyj-tpk1vk4-3z.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
784649283,,,,,1739124,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Easy Size Classic 7-13(72-80), з вкладишем Abso Maxi (Жовтий) (ТПК1ВК4-3ж)",,385,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-easy-size-classic-7-13-72-80-s-vkladyshem-abso-maxi-zheltyj-tpk1vk4-3zh.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
784649284,,,,,1739123,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Easy Size Classic 5-9 (50-74), з вкладишем Abso Maxi (Молочний) (ТПК1ВК4-2м)",,385,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-easy-size-classic-5-9-50-74-s-vkladyshem-abso-maxi-molochnyj-tpk1vk4-2m.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
784649286,,,,,1739122,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Підгузок багаторазовий ЕКО ПУПС Easy Size Classic 5-9 (50-74), з вкладишем Abso Maxi (Зелений) (ТПК1ВК4-2з)",,385,1,https://comfy.ua/podguzniki-trusiki-mnogorazovye-jeko-pups-easy-size-classic-5-9-50-74-s-vkladyshem-abso-maxi-zelenyj-tpk1vk4-2z.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
