784649770,column,column,column,column,1707373,__________syma,syma,___syma_x23_white_x23,column,2749,1,httpscomfyuakvadrokopterdljadetejsymax23whitex23html,column,05112025_2326,column,__42,Фастів,0
784649672,6553626,QUUT,Игрушка для песка Quut Triplet (170006),109,1725650,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Quut,quut,Граблі для гри в пісочниці Quut Green (170006),,139,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-quut-green-170006.html,,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
784649706,6553638,QUUT,Лопатка Quut Scoppi (170204),399,1728519,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Quut,quut,Лопатка для гри в пісочниці Quut Scoppi GreeN/Yellow (170204),,449,1,https://comfy.ua/lopatka-dlja-igry-v-pesochnice-quut-scoppi-green-yellow-170204.html,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
784649711,6873268,QUUT,Игровой набор QUUT Raki (170884),175,1730194,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Quut,quut,Набір для гри в пісочниці Quut Raki (синій совочок + зелені грабельки) (170884),,199,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-quut-raki-sinij-sovochek-zelenye-grabel-ki-170884.html,,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
784649721,6611899,SAME TOY,Игрушка для песка и снега SAME TOY 2 в 1 Fort Maker оранжевый (618Ut-2),74,1730092,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Same Toy,same-toy,Набір для гри в пісочниці Same Toy 2 в 1 Fort Maker Orange (618Ut-2),,69,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-same-toy-2-v-1-fort-maker-orange-618ut-2.html,99,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
784649767,,,,,1707861,Детские товары >> Детский транспорт >> Толокары >> Толокары Janod,janod,Толокар Janod Гіпопотам (J08003),,3659,1,https://comfy.ua/tolokar-janod-gippopotam-j08003.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
784649770,,,,,1707373,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Syma,syma,Квадрокоптер для дітей Syma X23 White (X23),,2749,1,https://comfy.ua/kvadrokopter-dlja-detej-syma-x23-white-x23.html,,05.11.2025 23:26,,"вул. Соборна, 42",Фастів,0
784649781,6553560,KID O,Машинка KID O Первый Грузовик Red (10351),379,1703990,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Kid O,kid-o,Базовий ігровий транспорт для малюка Kid O Перший Вантажівка Червоний (10351),,349,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-kid-o-pervyj-gruzovik-krasnyj-10351.html,,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
784649782,6553558,KID O,Машинка KID O Первый Автомобиль Blue (10341),269,1703991,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Kid O,kid-o,Базовий ігровий транспорт для малюка Kid O Перший Автомобіль 1+ Блакитний (10341),,275,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-kid-o-pervyj-avtomobil-1-goluboj-10341.html,,06.11.2025 1:22,,"вул. Соборна, 42",Фастів,0
784649792,6553561,KID O,Машинка KID O Первый Грузовик Blue (10352),379,1703989,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Kid O,kid-o,Базовий ігровий транспорт для малюка Kid O Перший Вантажівка Блакитний (10352),,349,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-kid-o-pervyj-gruzovik-goluboj-10352.html,,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
784649795,,,,,1719640,Детские товары >> Детский транспорт >> Толокары >> Толокары Battat,battat,Толокар Battat Дитячий валізу на колесах для подорожей - песик-ТУРИСТ (BX1572Z),,2999,1,https://comfy.ua/tolokar-battat-detskij-chemodan-katalka-dlja-puteshestvij-pesik-turist-bx1572z.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
784649815,6611722,NIC,Перчатки садовые NIC Red (NIC535901),127,1716270,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры nic,nic,Набір для гри в пісочниці nic Рукавички садові Red (NIC535901),,129,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-nic-perchatki-sadovye-red-nic535901.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
784649816,6611721,NIC,Перчатки садовые NIC Green (NIC535902),127,1716271,Comfy KIDS >> Игрушки >> Активные игры >> Летние игры >> Летние игры nic,nic,Набір для гри в пісочниці nic Рукавички садові Green (NIC535902),,129,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-nic-perchatki-sadovye-green-nic535902.html,,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
784649824,6611726,NIC,Скакалка натуральная NIC (NIC536083),320,1720605,Детские товары >> Игрушки >> Активные игры >> Активные игры >> Активные игры nic,nic,"""Скакалка",,,,,,,,,,
"nic Natural (NIC536083)""",,269,1,https://comfy.ua/skakalka-nic-natural-nic536083.html,389,05.11.2025 23:32,,"вул. Соборна, 42",Фастів,0,,,,,,,,
784649825,6611725,NIC,Скакалка NIC Red (NIC536081),320,1720603,Детские товары >> Игрушки >> Активные игры >> Активные игры >> Активные игры nic,nic,"""Скакалка",,,,,,,,,,
"nic Red (NIC536081)""",,339,1,https://comfy.ua/skakalka-nic-red-nic536081.html,,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0,,,,,,,,
784649846,6439836,SAME TOY,Набор для игры с песком SAME TOY Желтый 5 шт (HY-1905WUt),254,1715829,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Same Toy,same-toy,Набір для гри в пісочниці Same Toy C Валиком Yellow 5 шт. (HY-1905WUt),,355,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-same-toy-c-valikom-yellow-5-sht-hy-1905wut.html,,06.11.2025 0:47,,"вул. Соборна, 42",Фастів,0
784649872,6439797,SAME TOY,Ведерко SAME TOY 6 ед розовое (976Ut-1),247,1715805,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Same Toy,same-toy,Набір для гри в пісочниці Same Toy відерце Pink 6 шт. (976Ut-1),,259,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-same-toy-vederko-pink-6-sht-976ut-1.html,,06.11.2025 0:10,,"вул. Соборна, 42",Фастів,0
784667931,,,,,1741078,Техника для дома >> Климатическая техника,saturn,Тепловентилятор Saturn ST-HT1245K White,,675,1,https://comfy.ua/teploventiljator-saturn-st-ht1245k-white.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
784683716,,,,,1733909,"Аудио, фото и видео >> Наушники",hp,"Гарнітура дротова ігрова HP DHE-8010 Blue LED, Black",,975,1,https://comfy.ua/catalog/product/view/id/1908853,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
784684006,6440445,FUN PROMOTION,Светлячки-фокусники FUN PROMOTION (FUN-BBVL-48CDU-UK),58,1702882,Детские товары >> Творчество и развитие,fun-promotion,Набір для фокусів Fun Promotion Bright Bugz Світлячки-Фокусники (FUN-BBVL-48CDU-UK),,68,1,https://comfy.ua/catalog/product/view/id/1912333,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
784876345,,,,,1739371,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Кращий друг"""", (ІГ-0080)""",,199,1,https://comfy.ua/catalog/product/view/id/1898833,,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
784876347,,,,,1739368,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Зайчик """"Джессі"""" enjoy, (ЗА-0060)""",,233,1,https://comfy.ua/catalog/product/view/id/1898773,275,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
784876348,,,,,1739367,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Зайчик """"Джессі"""" merci, (ЗА-0059)""",,335,1,https://comfy.ua/catalog/product/view/id/1898683,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
784876350,,,,,1739360,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Мишка """"Кращий друг"""", (ІГ-0072)""",,169,1,https://comfy.ua/catalog/product/view/id/1898593,199,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
784876356,,,,,1739380,Детские товары >> Игрушки для малышей,tigres,"Пірамідка Tigres Пірамідка мала в коробці, (39816)",,129,1,https://comfy.ua/catalog/product/view/id/1897873,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
