789370324,column,column,column,column,1743098,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,___baseus_cafule_usb_lightning_1m_blackgrey_calklfbg1,column,179,1,httpscomfyuakabelsinhronizaciidannyhbaseuscafuleusblightning1mblackgreycalklfbg1html,column,05112025_1756,column,__42,Фастів,0
789370324,,,,,1743098,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule USB Lightning 1m Black/Grey (CALKLF-BG1),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-usb-lightning-1m-black-grey-calklf-bg1.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
789379510,6662002,TEFAL,Мультиварка TEFAL RK321A34,4499,1737321,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Tefal,tefal,Мультиварка Tefal Fuzzy logic RK 321A34,,4499,1,https://comfy.ua/mul-tivarka-tefal-rk321a34.html,5249,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,3
789379531,5968719,ARIETE,Утюг Ariete 6215,895,1746467,Техника для дома >> Мелкая техника,ariete,Праска Ariete 6215,,999,1,https://comfy.ua/utjug-ariete-6215.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
789393378,6458162,СТАЛЬ,Набор инструментов СТАЛЬ 43 предмета (70026),1199,1721259,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Сталь,stal,Набір інструментів Сталь 43 од. (70026),,1199,1,https://comfy.ua/nabor-instrumentov-stal-43-od-70026.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
789393379,,,,,.1721258,Инструменты и автотовары >> Ручные инструменты,stal,Набір інструментів Сталь 22 од. 1/2 (70021),,1199,1,https://comfy.ua/nabor-instrumentov-stal-22-od-1-2-70021.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
789410941,,,,,1604358,Детские товары >> Игрушки,dodo,Пазли (5-7 років) Dodo з рамкою Австралія (R300179),,75,1,https://comfy.ua/pazl-dodo-z-ramkoju-avstralija-r300179.html,,06.11.2025 1:47,,"вул. Соборна, 42",Фастів,0
789416171,,,,,.1745080,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Donuts (9998866457117),,79,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-005-donuts-9998866457117.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
789416176,,,,,.1745083,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Monochrome (9998866457155),,79,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-005-monochrome-9998866457155.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
789416177,,,,,.1745084,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Night Flame (9998866457179),,79,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-005-night-flame-9998866457179.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
789416180,,,,,.1745087,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 005 Tropic (9998866457032),,79,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-005-tropic-9998866457032.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
