789524957,column,column,column,column,1746742,__________gruntek,gruntek,__gruntek_falke_215__295108215,column,502,1,httpscomfyuanozhnicysadovyegruntekfalke215mm295108215html,545,05112025_2114,column,__42,Фастів,0
789476896,6559354,HAISSER,Молоток HAISSER 300 г (44082),196,1720909,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 44082,,269,1,https://comfy.ua/molotok-haisser-44082.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
789476898,6559356,HAISSER,Молоток слесарный HAISSER 44087 (89467),374,1720911,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 44087,,475,1,https://comfy.ua/molotok-haisser-44087.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
789476902,6559363,СТАЛЬ,Топор СТАЛЬ 1000 г (44035),379,1720414,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Сокира Сталь 1 кг (44035),,509,1,https://comfy.ua/topor-stal-1-kg-44035.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
789508562,,,,,1721270,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Сталь,stal,Зубило Сталь 300х16х23  мм (44051),,189,1,https://comfy.ua/zubilo-stal-300h16h23-mm-44051.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
789508601,,,,,1721272,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Сталь,stal,Зубило Сталь 250х16х23 мм (44052),,199,1,https://comfy.ua/zubilo-stal-250h16h23-mm-44052.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
789524675,6569472,HAISSER,Уровень HAISSER 26071 600 мм (88800),488,1720307,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser 600 мм (26071),,619,1,https://comfy.ua/uroven-haisser-600-mm-26071.html,,05.11.2025 23:23,,"вул. Соборна, 42",Фастів,0
789524677,6569524,СТАЛЬ,Уровень СТАЛЬ PROFI 26036 800 мм (70536),550,1720313,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 600 мм (26036),,759,1,https://comfy.ua/uroven-haisser-heavy-duty-600-mm-26036.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
789524679,6569502,СТАЛЬ,Правило-уровень СТАЛЬ 26029 1.5 м (58227),805,1720839,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь 1500 мм (26029),,789,1,https://comfy.ua/uroven-stal-1500-mm-26029.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
789524681,6569508,HAISSER,Уровень спиртовой HAISSER Heavy Duty Class I 1200 мм (26043),960,1720311,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 1200 мм (26043),,1219,1,https://comfy.ua/uroven-haisser-heavy-duty-1200-mm-26043.html,,05.11.2025 22:36,,"вул. Соборна, 42",Фастів,0
789524957,,,,,1746742,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Falke 215 мм (295108215),,502,1,https://comfy.ua/nozhnicy-sadovye-gruntek-falke-215-mm-295108215.html,545,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
789524959,,,,,1746741,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Flamingo 210 мм (295210187),,449,1,https://comfy.ua/nozhnicy-sadovye-gruntek-flamingo-210-mm-295210187.html,482,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
789524961,7046565,GRUNTEK,Секатор GRUNTEK Uhu (295104205_UHU),456,1746746,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Gruntek,gruntek,Ножиці садові Gruntek Uhu 205мм (295104205_UHU),,459,1,https://comfy.ua/nozhnicy-sadovye-gruntek-uhu-205mm-295104205-uhu.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
789525350,6367708,FIRST,Гриль FIRST FA-5330,1999,1171059,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю First,first,Гриль-барбекю електричний First 5330 (FA-5330),,1999,1,https://comfy.ua/gril-barbekju-jelektricheskij-first-5330-fa-5330.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
789525414,6745269,VILGRAND,Электрошашлычница Vilgrand V10052,1199,1730963,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ViLgrand,vilgrand,Електрошашличниця ViLgrand V10052,,1335,1,https://comfy.ua/jelektroshashlychnica-vilgrand-v10052.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
789525682,,,,,1745591,Телевизоры и мультимедиа >> Проекторы и экраны,benq,Проектор BenQ MS560 (9H.JND77.13E),,15049,1,https://comfy.ua/proektor-benq-ms560-9h-jnd77-13e.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
789525685,6881295,OPTOMA,Проектор OPTOMA X309ST (E9PD7DQ01EZ1),27915,1744364,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Optoma,optoma,Проектор Optoma X309ST (E9PD7DQ01EZ1),,27915,1,https://comfy.ua/proektor-optoma-x309st-e9pd7dq01ez1.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
789526045,6569477,HAISSER,Плоскогубцы HAISSER 41126 180 мм Cr-V Pearl-nickel (90389),260,1671478,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 180 мм (41126),,349,1,https://comfy.ua/ploskogubcy-haisser-180-mm-41126.html,,05.11.2025 23:24,,"вул. Соборна, 42",Фастів,0
789526046,7048387,TOLSEN,Клещи зажимные TOLSEN 230 мм (10053),221,1743261,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Tolsen",tolsen,Кліщі Tolsen Профи 230 мм (10053),,309,1,https://comfy.ua/kleschi-tolsen-profi-230-mm-10053.html,,05.11.2025 23:18,,"вул. Соборна, 42",Фастів,0
789526157,6569480,HAISSER,Бокорезы HAISSER 41137 160 мм Cr-Ni Blacken Polished (90401),284,1722607,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Кусачки Haisser Cr-Ni Blacken Polished 160 мм (41137),,389,1,https://comfy.ua/kusachki-haisser-cr-ni-blacken-polished-160-mm-41137.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
789526158,6569478,HAISSER,Плоскогубцы HAISSER 41133 180 мм Cr-Ni Blacken Polished (90398),259,1667926,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 41133 180 мм,,435,1,https://comfy.ua/ploskogubcy-haisser-41133-180-mm.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
789526159,6569484,HAISSER,Плоскогубцы Haisser Blacken Polished Cr-Ni 200 мм (41134),378,1667927,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 41134 200 мм,,479,1,https://comfy.ua/ploskogubcy-haisser-41134-200-mm.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
789526161,6686951,NEO TOOLS,Плоскогубцы удлиненные NEO TOOLS 180 мм 1000 В CrV (01-224),589,1748233,Инструменты и автотовары >> Ручные инструменты,neo-tools,Плоскогубці Neo Tools 01-224 180 мм,,589,1,https://comfy.ua/catalog/product/view/id/1946023,,05.11.2025 22:29,,"вул. Соборна, 42",Фастів,0
789526162,6686950,NEO TOOLS,Плоскогубцы NEO TOOLS 180 мм (01-221),560,1748217,Инструменты и автотовары >> Ручные инструменты,neo-tools,Плоскогубці Neo Tools 01-221 180 мм,,649,1,https://comfy.ua/catalog/product/view/id/1946053,,05.11.2025 22:29,,"вул. Соборна, 42",Фастів,0
789547796,6559332,СТАЛЬ,Отвертка СТАЛЬ PH1х38 (49055),43,1722059,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH1х38 (49055),,43,1,https://comfy.ua/otvertka-stal-ph1h38-49055.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
789547797,,,,,.1722061,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка Сталь PH2х38 (49056),,46,1,https://comfy.ua/otvertka-stal-ph2h38-49056.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
789547798,6559334,СТАЛЬ,Отвертка СТАЛЬ PH0х150 (49100),40,1720428,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH0x150 (49100),,50,1,https://comfy.ua/otvertka-stal-ph0x150-49100.html,,05.11.2025 22:35,,"вул. Соборна, 42",Фастів,0
789547799,6559339,СТАЛЬ,Отвертка СТАЛЬ SL3x150 (49105),49,1720433,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь SL3x150 (49105),,50,1,https://comfy.ua/otvertka-stal-sl3x150-49105.html,,05.11.2025 22:35,,"вул. Соборна, 42",Фастів,0
789547799,6559341,СТАЛЬ,Отвертка СТАЛЬ SL3x150 (49105),49,1720433,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь SL3x150 (49105),,50,1,https://comfy.ua/otvertka-stal-sl3x150-49105.html,,05.11.2025 22:35,,"вул. Соборна, 42",Фастів,0
789547800,,,,,1720435,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь SL5x38 (49107),,46,1,https://comfy.ua/otvertka-stal-sl5x38-49107.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
789547801,6559327,СТАЛЬ,Отвертка СТАЛЬ SL4x100 (49017),53,1720994,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь SL4x100 (49017),,54,1,https://comfy.ua/otvertka-stal-sl4x100-49017.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
789547802,6559335,СТАЛЬ,Отвертка СТАЛЬ PH1х75 (49101),54,1720429,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH1x75 (49101),,54,1,https://comfy.ua/otvertka-stal-ph1x75-49101.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
789547803,,,,,.1720434,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка Сталь SL4x125 (49106),,56,1,https://comfy.ua/otvertka-stal-sl4x125-49106.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
