789674154,column,column,column,column,1746764,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,____merlion_hp_90w_19v_474_55x25_07197lhp901955x25,column,389,1,httpscomfyuazarjadnoeustrojstvodljanoutbukamerlionhp90w19v474a55x2507197lhp901955x25html,column,05112025_1906,column,__42,Фастів,0
789674154,,,,,.1746764,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion HP 90W 19V 4.74А, 5.5x2.5 (07197/LHP90/19-5.5x2.5)",,389,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-hp-90w-19v-4-74a-5-5x2-5-07197-lhp90-19-5-5x2-5.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
789674380,,,,,.1746763,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Acer 150W 19V 7,9A, 5.5x2.5 (00407/LAC150/19-5.5x2.5)",,1465,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-acer-150w-19v-7-9a-5-5x2-5-00407-lac150-19-5-5x2-5.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
789703032,,,,,1746158,Техника для дома >> Мелкая техника,ecg,Пилосос для сухого прибирання без мішка ECG VM 3140 Hobby,,6155,1,https://comfy.ua/catalog/product/view/id/1951533,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
789770359,,,,,1748382,Посуда >> Для напитков,zojirushi,Термочашка Zojirushi SX-FSE45PV 0.45 л Red (1678.05.33),,1650,1,https://comfy.ua/catalog/product/view/id/1951513,1899,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
789809181,6553761,COCONUTS,Велосипедный шлем TRYBIKE Coconuts 44-51см Olive (COCO 10XS),1059,1709518,Детские товары >> Детский транспорт >> Защита >> Защита Coconut,coconut,Шолом Coconut Оливковый 44-51 см (COCO 10XS),,1089,1,https://comfy.ua/shlem-coconut-olivkovyj-44-51-sm-coco-10xs.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
789879634,,,,,1746448,Детские товары >> Детская комната и безопасность >> Ночники и светильники детские >> Ночники и светильники детские Fisher-Price,fisher-price,"""Нічник-іграшка Fisher-Price Музична хмарка-нічник """"Солодкі сни"""" (GJD44)""",,2299,1,https://comfy.ua/interaktivnaja-igrushka-mjagkaja-fisher-price-muzykal-naja-tuchka-nochnik-sladkie-sny-gjd44.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
789879656,6652254,CANDY,Духовой шкаф CANDY FCP615NXL/E1,8199,1738890,Техника для кухни >> Крупная техника,candy,Духова шафа електрична Candy FCP 615 NXL/E1,,8999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-candy-fcp-615-nxl-e1.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
789879656,6663040,CANDY,Духовой шкаф CANDY FCP615XL/E1,8199,1738890,Техника для кухни >> Крупная техника,candy,Духова шафа електрична Candy FCP 615 NXL/E1,,8999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-candy-fcp-615-nxl-e1.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
789879659,6678399,ECG,Пылесос промышленный ECG VM 3140 Hobby,6155,1746158,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ECG,ecg,Пилосос для сухого прибирання без мішка ECG VM 3140 Hobby,,6155,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-ecg-vm-3140-hobby.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
789908598,,,,,1748382,Посуда >> Для напитков,zojirushi,Термочашка Zojirushi SX-FSE45PV 0.45 л Red (1678.05.33),,1650,1,https://comfy.ua/termokruzhka-zojirushi-sx-fse45pv-0-45-l-red-1678-05-33.html,1899,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
