790640671,column,column,column,column,1720885,Инструменты и автотовары >> Ручные инструменты,haisser,i_haisser_14_90_profi,column,435,1,httpscomfyuakljuchtreschetkahaisser1490profihtml,column,05112025_2155,column,__42,Фастів,0
790640671,,,,,.1720885,Инструменты и автотовары >> Ручные инструменты,haisser,"""Ключ-трiскачка Haisser 1/4"""" 90 Profi""",,435,1,https://comfy.ua/kljuch-treschetka-haisser-1-4-90-profi.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
790640672,,,,,.1720886,Инструменты и автотовары >> Ручные инструменты,haisser,"""Ключ-трiскачка Haisser 1/2"""" 90 Profi""",,765,1,https://comfy.ua/kljuch-treschetka-haisser-1-2-90-profi.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
790640687,,,,,1740452,Телевизоры и мультимедиа >> Аксессуары для ТВ,acclab,Кріплення для телевізора ACCLAB AL-BT102 (1283126485718),,499,1,https://comfy.ua/kreplenie-dlja-televizora-acclab-al-bt102-1283126485718.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
790640701,6678917,SATURN,Кофеварка SATURN ST-CM0170,449,1750230,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Saturn,saturn,Кавоварка крапельна Saturn ST-CM0170,,449,1,https://comfy.ua/kofevarka-kapel-naja-saturn-st-cm0170.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
790759247,6569492,СТАЛЬ,Тиски СТАЛЬ PROFI 50мм (47132),305,1733026,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Сталь,stal,Лещата Сталь Profi 50 мм,,305,1,https://comfy.ua/tiski-stal-profi-50-mm.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
790760520,6703671,POWERPLANT,Аккумулятор POWERPLANT BLACK&DECKER 20V 3.0Ah Li-ion A1518L (TB921065),1483,1734743,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства PowerPlant,powerplant,Акумулятор для електроінструментів PowerPlant Black&Decker 20V 3.0Ah Li-ion A1518L (TB921065),,1599,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-black-decker-20v-3-0ah-li-ion-a1518l-tb921065.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
790763451,,,,,1171030,Техника для кухни >> Мелкая техника,first,Міксер First 5262-5 (FA-5262-5) White,,549,1,https://comfy.ua/catalog/product/view/id/1922313,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
790782892,,,,,1739503,Бытовая химия >> Все для уборки,domestos,Засіб для чищення унітазу Domestos Ультра блеск 1 л,,125,1,https://comfy.ua/catalog/product/view/id/1930123,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
790782893,,,,,1739504,Бытовая химия >> Все для уборки,domestos,Засіб для чищення унітазу Domestos Ультра білий 1 л,,107,1,https://comfy.ua/catalog/product/view/id/1930093,148,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
790782894,,,,,1739502,Бытовая химия >> Все для уборки,domestos,"Засіб для чищення унітазу Domestos Эксперт сила 7, 1 л",,114,1,https://comfy.ua/catalog/product/view/id/1930133,148,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
790901355,6874071,DUCK,Стикер для унитаза DUCK Морской 6 шт (4823002005875),121,1751336,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Туалетний блок SC Johnson Туалетне Каченя стікер Морський 6 шт (4823002005875),,102,1,https://comfy.ua/tualetnyj-blok-sc-johnson-tualetnyj-utenok-stiker-morskoj-6-sht-4823002005875.html,120,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
790901360,6800645,MR MUSCLE,Средство для мытья пола Mr Muscle Океанский оазис 750 мл (4823002005745),155,1751103,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Mr. Muscle Океанский оазис 750 мл (4823002005745),,119,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-mr-muscle-okeanskij-oazis-750-ml-4823002005745.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
790901403,6681378,САН КЛІН,Средство для чистки ковров САН КЛІН Универсал 5 л (4820003541142),340,1750431,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки San Clean,san-clean,Засіб для чищення універсальний San Clean 5 л (4820003541142),,275,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-5-l-4820003541142.html,340,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
790901936,,,,,1719202,Техника для кухни >> Мелкая техника,tescoma,Блендер заглибний tescoma President (909020),,4299,1,https://comfy.ua/catalog/product/view/id/1977053,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
790901941,6662401,TEFAL,Утюг TEFAL FV6840E0,2999,1748392,Техника для дома >> Мелкая техника,tefal,Праска Tefal Ultragliss Plus FV6840E0,,2999,1,https://comfy.ua/catalog/product/view/id/1976843,3599,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
790901946,,,,,1752002,Детские товары >> Детский транспорт >> Самокаты >> Самокаты Micro,micro,"""Триколісний самокат Micro """"Mini Deluxe"""" - ФІОЛЕТОВИЙ (до 50 кг, триколісний)""",,2999,1,https://comfy.ua/trjohkoljosnyj-samokat-micro-mini-deluxe-fioletovyj-do-50-kg-trehkolesnyj.html,3599,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
790901963,,,,,1748264,Детские товары >> Подгузники и пеленание >> Присыпки и кремы под подгузники >> Присыпки и кремы под подгузники Lindo,lindo,Крем під підгузок Lindo 50 мл. U 753,,65,1,https://comfy.ua/krem-pod-podguznik-lindo-50-ml-u-753.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
790901964,,,,,1748261,Детские товары >> Подгузники и пеленание >> Присыпки и кремы под подгузники >> Присыпки и кремы под подгузники Lindo,lindo,"Дитяча присипка Lindo з ромашкою, 50 г. (U 791)",,46,1,https://comfy.ua/detskaja-prisypka-lindo-s-romashkoj-50-g-u-791.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
790901965,,,,,1748251,Детские товары >> Подгузники и пеленание,lindo,"Дитяча присипка Lindo класична, 50 г. (U 790)",,46,1,https://comfy.ua/detskaja-prisypka-lindo-klassicheskaja-50-g-u-790.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
790921766,7024692,МИЛОВАРНІ ТРАДИЦІЇ,Твердое мыло Grand Шарм 180 г (4820195500934),32,1750919,"Детские товары >> Уход, купание и гигиена",grand-sharm,Мило кускове дитяче Grand Шарм 180 г (4820195500934),,33,1,https://comfy.ua/catalog/product/view/id/1979273,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
790921768,7024618,GRAND ШАРМ,Детское мыло GRAND ШАРМ забота с первых дней 70г (4820195500712),10,1750916,"Детские товары >> Уход, купание и гигиена",grand-sharm,Мило кускове дитяче Grand Шарм 70 г (4820195500712),,10,1,https://comfy.ua/catalog/product/view/id/1979203,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
790921773,7024617,GRAND ШАРМ,Детское мыло GRAND ШАРМ забота с первых дней 5*70г (4820195500514),48,1750915,"Детские товары >> Уход, купание и гигиена",grand-sharm,Мило кускове дитяче Grand Шарм 5x70 г (4820195500514),,55,1,https://comfy.ua/catalog/product/view/id/1978993,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
790949187,,,,,1752270,Техника для дома >> Крупная техника,candy,Пральна машина Candy CSO4 1175TBE/1-S,,12999,1,https://comfy.ua/catalog/product/view/id/1981773,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
790962497,,,,,1752021,Детские товары >> Детский транспорт >> Самокаты >> Самокаты Micro,micro,"""Двоколісний самокат Micro """"Trixx & Ramp"""" - СИНІЙ (до 100 кг, двоколісний, алюмин.)""",,5199,1,https://comfy.ua/dvuhkoljosnyj-samokat-micro-trixx-ramp-sinij-do-100-kg-dvuhkolesnyj-aljumin.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
790962502,7024692,МИЛОВАРНІ ТРАДИЦІЇ,Твердое мыло Grand Шарм 180 г (4820195500934),32,1750919,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Grand Шарм",grand-sharm,Мило кускове дитяче Grand Шарм 180 г (4820195500934),,33,1,https://comfy.ua/mylo-kuskovoe-detskoe-grand-sharm-180-g-4820195500934.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
790962505,7024618,GRAND ШАРМ,Детское мыло GRAND ШАРМ забота с первых дней 70г (4820195500712),10,1750916,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Grand Шарм",grand-sharm,Мило кускове дитяче Grand Шарм 70 г (4820195500712),,10,1,https://comfy.ua/mylo-kuskovoe-detskoe-grand-sharm-70-g-4820195500712.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
