793816622,column,column,column,column,1746953,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i5_10400f_rtx_3060_12gb_1621_i510400frtx306012gb1621,column,33981,1,httpscomfyuasistemnyjblokqubeqbi510400frtx306012gb1621i510400frtx306012gb1621html,39059,05112025_1917,column,__42,Фастів,0
793816622,,,,,.1746953,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3060 12GB 1621 (i510400FRTX306012GB1621),,33981,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3060-12gb-1621-i510400frtx306012gb1621.html,39059,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
793816623,,,,,.1747021,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3060 12GB 164 (Ryzen53600RTX306012GB164),,29379,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3060-12gb-164-ryzen53600rtx306012gb164.html,33769,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
793816624,,,,,.1746954,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3060 12GB 1622 (i510400FRTX306012GB1622),,34239,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3060-12gb-1622-i510400frtx306012gb1622.html,39355,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
793816688,,,,,1746956,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3060 12GB 1641 (i510400FRTX306012GB1641),,31838,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3060-12gb-1641-i510400frtx306012gb1641.html,36595,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
793816689,,,,,.1747033,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3060 12GB 1621 (Ryzen53600RTX306012GB1621),,31681,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3060-12gb-1621-ryzen53600rtx306012gb1621.html,36415,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
793816690,,,,,.1747036,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3060 12GB 1622 (Ryzen53600RTX306012GB1622),,31899,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3060-12gb-1622-ryzen53600rtx306012gb1622.html,36665,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
793816691,,,,,1746957,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3060 12GB 1642 (i510400FRTX306012GB1642),,34935,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3060-12gb-1642-i510400frtx306012gb1642.html,40155,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
793816692,,,,,.1747034,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3060 12GB 1641 (Ryzen53600RTX306012GB1641),,32377,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3060-12gb-1641-ryzen53600rtx306012gb1641.html,37215,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
793816693,,,,,.1747038,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3060 12GB 1642 (Ryzen53600RTX306012GB1642),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3060-12gb-1642-ryzen53600rtx306012gb1642.html,37465,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
793816694,,,,,.1746959,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3060 12GB 3221 (i510400FRTX306012GB3221),,36539,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3060-12gb-3221-i510400frtx306012gb3221.html,41999,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
