800056612,column,column,column,column,1716197,____________bburago,bburago,__bburago__construction___volvo_ec220e_1832086,column,747,1,httpscomfyuanazemnajaspectehnikabburagoseriiconstructionjekskavatorvolvoec220e1832086html,column,05112025_2357,column,__42,Фастів,0
800056333,,,,,1758492,Детские товары >> Кормление,baby-team,Кругла пустушка Baby Team латексна зі світловим кільцем (3225),,66,1,https://comfy.ua/kruglaja-pustyshka-baby-team-lateksnaja-so-svetjaschimsja-kol-com-3225.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
800056416,,,,,1750132,Детские товары >> Кормление,baby-team,Тримач пустушок Baby Team силіконовий (3390 рожева зірочка),,175,1,https://comfy.ua/derzhatel-pustyshek-baby-team-silikonovyj-3390-rozovaja-zvezdochka.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
800056612,,,,,1716197,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,Наземна спецтехніка Bburago Серії Construction - Екскаватор Volvo EC220E (18-32086),,747,1,https://comfy.ua/nazemnaja-spectehnika-bburago-serii-construction-jekskavator-volvo-ec220e-18-32086.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
800056924,,,,,1745844,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,"Симетрична пустушка Canpol babies Bunny & Company силіконова 18+ міс. рожева, 1 шт. (23/270_pin)",,169,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-bunny-company-silikonovaja-18-mes-rozovaja-1-sht-23-270-pin.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
800056927,,,,,1743669,Детские товары >> Игрушки,funrise,"Наземна будівельна техніка Funrise Будівельна бригада CAT Самоскид, 25 см (82021F)",,949,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-stroitel-naja-brigada-cat-samosval-25-sm-82021f.html,,06.11.2025 0:43,,"вул. Соборна, 42",Фастів,0
800056930,,,,,1743673,Детские товары >> Игрушки,funrise,"Наземна будівельна техніка Funrise Міні-спецтехніка Бульдозер, 15 см (82263)",,675,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-mini-spectehnika-bul-dozer-15-sm-82263.html,,06.11.2025 0:16,,"вул. Соборна, 42",Фастів,0
800056936,,,,,1743436,Детские товары >> Игрушки,mattel,Ігровий набір Cars Mattel Герої в ас. (DXV29),,299,1,https://comfy.ua/igrovoj-nabor-tachki-cars-mattel-geroi-v-as-dxv29.html,399,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
800056941,,,,,1743670,Детские товары >> Игрушки,funrise,"Наземна будівельна техніка Funrise Будівельна бригада CAT Погрузчик, 25 см (82023F)",,905,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-stroitel-naja-brigada-cat-pogruzchik-25-sm-82023f.html,,06.11.2025 0:43,,"вул. Соборна, 42",Фастів,0
800056942,,,,,1743663,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,"Наземна будівельна техніка Funrise Важка техніка CAT Самоскид, 38 см (82031)",,1549,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-tjazhelaja-tehnika-cat-samosval-38-sm-82031.html,,06.11.2025 1:03,,"вул. Соборна, 42",Фастів,0
800056944,,,,,1743660,Детские товары >> Игрушки,funrise,"Наземна будівельна техніка Funrise CAT Самоскид, 17 см (82011F)",,579,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-cat-samosval-17-sm-82011f.html,,06.11.2025 1:03,,"вул. Соборна, 42",Фастів,0
