800263585,column,column,column,column,1760531,__________eco_by_naty,ecobynaty,__eco_by_naty___1_25__25__178358,column,728,1,httpscomfyuaodnorazovyepodguznikiecobynatyorganicheskierazmer125kg25sht178358html,column,05112025_2038,column,__42,Фастів,0
800263585,,,,,1760531,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Eco by Naty,eco-by-naty,Одноразові підгузки Eco By Naty Органічні Розмір 1 (2-5 кг) 25 шт. (178358),,728,1,https://comfy.ua/odnorazovye-podguzniki-eco-by-naty-organicheskie-razmer-1-2-5-kg-25-sht-178358.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
800263626,6734034,VILGRAND,Электрочайник VILGRAND VC 716 L,790,1757751,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ViLgrand,vilgrand,Електричний чайник ViLgrand VC716L,,769,1,https://comfy.ua/jelektricheskij-chajnik-vilgrand-vc716l.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
800263627,,,,,1757749,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ViLgrand,vilgrand,Електричний чайник ViLgrand VC515R,,799,1,https://comfy.ua/jelektricheskij-chajnik-vilgrand-vc515r.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
800263629,,,,,1755599,Техника для кухни >> Крупная техника,hansa,Мікрохвильова піч (НВЧ) вбудовувана Hansa AMGB 20 E2GB,,8799,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-hansa-amgb-20-e2gb.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
800497281,,,,,1758458,Смарт-часы и гаджеты >> Аксессуары,powerplant,Акумулятор для екшн-камери PowerPlant DJI Osmo Action AB1 1220mAh (CB970438),,599,1,https://comfy.ua/akkumuljator-dlja-jekshn-kamery-powerplant-dji-osmo-action-ab1-1220mah-cb970438.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
800497285,,,,,1758234,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone XS (616-00512),,1199,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-apple-iphone-xs-616-00512.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
800497286,,,,,1758235,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone XS Max (616-00507),,699,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-apple-iphone-xs-max-616-00507.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
800531591,6514778,TRANSCEND,SSD накопитель TRANSCEND MTS430S 512 GB M.2 2242 SATAIII TLC (TS512GMTS430S),2347,1757913,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач внутрішній Transcend 2242 512GB (TS512GMTS430S),,2209,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-2242-512gb-ts512gmts430s.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
800658156,6665474,SNAIGE,Ref/w SNAIGE CD35DM-S302SD,21770,1758238,Техника для кухни >> Крупная техника,snaige,Холодильник Snaige CD35DM-S302SD,,23899,1,https://comfy.ua/catalog/product/view/id/2030223,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
800665649,,,,,1760297,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Trust",trust,Кардрідер Trust Dalyx Fast USB 3.2 Card Reader (24135),,499,1,https://comfy.ua/kardrider-trust-dalyx-fast-usb-3-2-card-reader-24135.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
800665651,,,,,1760298,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Trust",trust,Кардрідер Trust Dalyx Fast Aluminium USB-C Card Reader (24136),,499,1,https://comfy.ua/kardrider-trust-dalyx-fast-aluminium-usb-c-card-reader-24136.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
800668355,,,,,1757590,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник аудіо XOKO AC-007,,69,1,https://comfy.ua/perehodnik-audio-xoko-ac-007.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
800691314,,,,,1748389,Посуда >> Для запекания и выпечки,maxmark,Форма для випічки Maxmark MK-R100-28,,260,1,https://comfy.ua/catalog/product/view/id/1953343,759,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
800700791,,,,,.1716645,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime Iris LED Fan 15LED White (FLF-HB120W15),,149,1,https://comfy.ua/korpusnyj-ventiljator-frime-iris-led-fan-15led-white-flf-hb120w15.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
800715414,,,,,.1756047,Техника для кухни >> Крупная техника,siemens,Посудомийна машина вбудована Siemens SN61IX60MT,,18999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-siemens-sn61ix60mt.html,21199,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
800749898,,,,,.1760411,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Samsung Galaxy A32 SM-A325 Transparancy (705649),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-samsung-galaxy-a32-sm-a325-transparancy-705649.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
800749972,,,,,1758669,"Аудио, фото и видео >> Аксессуары для фото, видео",toshiba,Батарейка тип AA Toshiba Alkaline AA/LR06 BL 10 шт. (00152670),,209,1,https://comfy.ua/batarejka-tip-aa-toshiba-alkaline-aa-lr06-bl-10-sht-00152670.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
800751266,6663945,LEXAR,SSD накопитель LEXAR 128GB NS100 2.5” SATA (LNS100-128RB),2455,1757980,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Lexar",lexar,SSD-накопичувач внутрішній Lexar 2.5'' 128GB NS100 (LNS100-128RB),,639,1,https://comfy.ua/ssd-nakopitel-vnutrennij-lexar-2-5-128gb-ns100-lns100-128rb.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
800764869,7162961,EUROPOWER,Стабилизатор напряжения EUROPOWER SLIM-1000SBR LED 1000VA 700W,2080,1760562,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Europower",europower,Стабілізатор напруги Europower SLIM-1000SBR LED,,2165,1,https://comfy.ua/stabilizator-naprjazhenija-europower-slim-1000sbr-led.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
