807253562,6947525,philips_avent,_avent_3__1_scf29100,3696,1758262,__________philips,philips,___philips_avent_scf29100,column,3795,1,httpscomfyuasterilizatoruniversalnyjparovojphilipsaventscf29100html,column,05112025_2027,column,__42,Фастів,0
807253562,6947525,PHILIPS AVENT,Стерилизатор AVENT 3 в 1 SCF291/00,3696,1758262,Детские товары >> Кормление >> Стерилизаторы детские >> Стерилизаторы детские Philips,philips,Стерилізатор універсальний паровий Philips Avent SCF291/00,,3795,1,https://comfy.ua/sterilizator-universal-nyj-parovoj-philips-avent-scf291-00.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
807253581,7086408,TEGA BABY,Накладка на унитаз TEGA BABY FOREST FAIRYTALE Рink (FF-090-107),185,1759849,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз класична Tega Baby Лісова казка Світло-рожевий (FF-090-107),,185,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-lesnaja-skazka-svetlo-rozovyj-ff-090-107.html,230,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253600,7086310,TEGA BABY,Накладка на унитаз TEGA BABY Bunny White (KR-002-103),244,1759836,"Comfy KIDS >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Дитяча накладка на унітаз класична Tega Baby Зайчики з антиковзаючою гумою Білий (KR-002-103),,244,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-zajchiki-s-antiskol-zjaschej-rezinoj-belyj-kr-002-103.html,284,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253609,,,,,1759826,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча накладка на унітаз класична Tega Baby Ведмедики з антиковзаючою гумою Біла Перлина (MS-016-118),,244,1,https://comfy.ua/detskaja-nakladka-na-unitaz-klassicheskaja-tega-baby-mishki-s-antiskol-zjaschej-rezinoj-belaja-zhemchuzhina-ms-016-118.html,284,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807253617,,,,,1758613,Детские товары >> Кормление,baby-team,"Великий потік соска дитяча силіконова Baby Team ортодонтична, 2 шт. (2003)",,94,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-baby-team-ortodonticheskaja-2-sht-2003.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
807253624,,,,,1758647,Детские товары >> Кормление,baby-team,Малий потік соска дитяча силіконова Baby Team класична (2200),,23,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-baby-team-klassicheskaja-2200.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
807253644,,,,,1759421,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Лісова казка 102 см Світло-рожева (FF-005-107),,541,1,https://comfy.ua/detskaja-vannochka-tega-baby-lesnaja-skazka-102-sm-svetlo-rozovaja-ff-005-107.html,619,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807253647,7086389,TEGA BABY,Детская ванночка TEGA BABY FOREST FAIRYTALE 102 см Light Beige (FF-005-111),514,1759420,"Comfy KIDS >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,Дитяча ванночка Tega Baby Лісова казка 102 см Світло-кремова (FF-005-111),,541,1,https://comfy.ua/detskaja-vannochka-tega-baby-lesnaja-skazka-102-sm-svetlo-kremovaja-ff-005-111.html,619,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253651,7086390,TEGA BABY,Детская ванночка TEGA BABY FOREST FAIRYTALE 102 см Light Green (FF-005-112),662,1759414,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,Дитяча ванночка Tega Baby Лісова казка 102 см салатовий (FF-005-112),,541,1,https://comfy.ua/detskaja-vannochka-tega-baby-lesnaja-skazka-102-sm-salatovaja-ff-005-112.html,619,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807253654,,,,,1759413,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Лісова казка 102 см Блакитна (FF-005-108),,541,1,https://comfy.ua/detskaja-vannochka-tega-baby-lesnaja-skazka-102-sm-golubaja-ff-005-108.html,619,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
