807254105,column,column,column,column,1749474,"Детские товары >> Уход, купание и гигиена",babyono,___babyono____77602,column,109,1,httpscomfyuatermometrdljavannybabyonoplavajuschijolenenokrozovyj77602html,column,05112025_2052,column,__42,Фастів,0
807254105,,,,,1749474,"Детские товары >> Уход, купание и гигиена",babyono,"""Термометр для ванни BabyOno плаваючий """"Оленя"""" рожевий (776/02)""",,109,1,https://comfy.ua/termometr-dlja-vanny-babyono-plavajuschij-olenenok-rozovyj-776-02.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807254106,6439683,NUVITA,Набор тарелок NUVITA 6м+ (NV1428Pink),99,1749713,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Nuvita,nuvita,"Набір тарілок для малюка Nuvita дрібні, 3 шт. рожеві і салатова (NV1428Pink)",,99,1,https://comfy.ua/nabor-tarelok-dlja-malysha-nuvita-melkie-3-sht-rozovye-i-salatovaja-nv1428pink.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
807254107,,,,,1749473,"Детские товары >> Уход, купание и гигиена >> Принадлежности для купания >> Принадлежности для купания BabyOno",babyono,"""Термометр для ванни BabyOno плаваючий """"Оленя"""" м'ятний (776/01)""",,109,1,https://comfy.ua/termometr-dlja-vanny-babyono-plavajuschij-olenenok-mjatnyj-776-01.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
807254110,,,,,1750134,Детские товары >> Кормление,baby-team,Йоржик для дитячих пляшечок Baby Team набір 2 шт. (1600 бірюзовий),,78,1,https://comfy.ua/ershik-dlja-detskih-butylochek-baby-team-nabor-2-sht-1600-birjuzovyj.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
807254112,,,,,1751738,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Baby Team",baby-team,Зубна щітка мануальна дитяча Baby Team з присоскою (7202),,80,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-baby-team-s-prisoskoj-7202.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807254113,,,,,1750168,Детские товары >> Кормление,baby-team,"Йоржик для дитячих пляшечок Baby Team набір поролоновий, 2 шт. (1603)",,80,1,https://comfy.ua/ershik-dlja-detskih-butylochek-baby-team-nabor-porolonovyj-2-sht-1603.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
807254117,,,,,1750172,Детские товары >> Кормление,baby-team,Йоржик для дитячих пляшечок Baby Team набір 2 шт. (1600 фіолетовий),,78,1,https://comfy.ua/ershik-dlja-detskih-butylochek-baby-team-nabor-2-sht-1600-fioletovyj.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254120,,,,,1750133,Детские товары >> Кормление,baby-team,Йоржик для дитячих пляшечок Baby Team 2 в 1 (1601),,125,1,https://comfy.ua/ershik-dlja-detskih-butylochek-baby-team-2-v-1-1601.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254123,,,,,1751807,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью BabyOno,babyono,Прокладки для грудей BabyOno COMFORT 70шт (296),,295,1,https://comfy.ua/prokladki-dlja-grudi-babyono-comfort-70sht-296.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254124,,,,,1750182,Детские товары >> Кормление,baby-team,"Прокладки для грудей Baby Team Super, 30 шт, (0020)",,189,1,https://comfy.ua/prokladki-dlja-grudi-baby-team-super-30-sht-0020.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807254127,,,,,1751808,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью BabyOno,babyono,Прокладки для грудей BabyOno COMFORT 140шт (296/140),,495,1,https://comfy.ua/prokladki-dlja-grudi-babyono-comfort-140sht-296-140.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
807254130,,,,,1751810,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью BabyOno,babyono,Прокладки для грудей BabyOno Natural nursing чорні 24шт (298/02),,155,1,https://comfy.ua/prokladki-dlja-grudi-babyono-natural-nursing-chernye-24sht-298-02.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807254133,,,,,1751838,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью BabyOno,babyono,Прокладки для грудей BabyOno Natural nursing білі 24шт (298/01),,155,1,https://comfy.ua/prokladki-dlja-grudi-babyono-natural-nursing-belye-24sht-298-01.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
807254134,,,,,1751854,Детские товары >> Кормление,babyono,Середній потік соска дитяча силіконова BabyOno антіколіковую з широким отвором (1205),,95,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-babyono-antikolikova-s-shirokim-otverstiem-1205.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
807254138,,,,,.1751781,Детские товары >> Кормление,babyono,Малий потік соска дитяча силіконова BabyOno антіколіковую з широким отвором (1204),,105,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-babyono-antikolikova-s-shirokim-otverstiem-1204.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
807254140,,,,,1751763,Детские товары >> Кормление,babyono,Великий потік соска дитяча силіконова BabyOno антіколіковую з широким отвором для каш (1207),,105,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-babyono-antikolikova-s-shirokim-otverstiem-dlja-kash-1207.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
807254141,,,,,1751773,Детские товары >> Кормление,babyono,Великий потік соска дитяча силіконова BabyOno антіколіковую з широким отвором (1206),,105,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-babyono-antikolikova-s-shirokim-otverstiem-1206.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254143,,,,,1738580,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Zewa,zewa,Вологий туалетний папір дитячий Zewa Moist Kids 8x42 (6787-00),,99,1,https://comfy.ua/vlazhnaja-tualetnaja-bumaga-detskaja-zewa-moist-kids-8x42-6787-00.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
807254152,,,,,1748249,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Крем для тіла дитячий Lindo зволожуючий з маслом зародків пшениці і вітаміном Е, 75 мл. в тубі (U 750)",,50,1,https://comfy.ua/krem-dlja-tela-detskij-lindo-uvlazhnjajuschij-s-maslom-zarodyshej-pshenicy-i-vitaminom-e-75-ml-v-tube-u-750.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807254157,,,,,1748260,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Крем для тіла дитячий Lindo універсальний з екстрактом алое, 75 мл. в тубі (U 751)",,51,1,https://comfy.ua/krem-dlja-tela-detskij-lindo-universal-nyj-s-jekstraktom-aloje-75-ml-v-tube-u-751.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
807254159,,,,,1748250,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Крем для тіла дитячий Lindo для атопічної шкіри AtopiStop, 75 мл. (U 759)",,76,1,https://comfy.ua/krem-dlja-tela-detskij-lindo-dlja-atopicheskoj-kozhi-atopistop-75-ml-u-759.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
807254185,,,,,1745308,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,Ніблер дитячий з сіточкою Canpol babies рожевий (56/105_pin),,369,1,https://comfy.ua/nibler-detskij-s-setochkoj-canpol-babies-rozovyj-56-105-pin.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254186,,,,,1745317,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,Ніблер дитячий з сіточкою Canpol babies зелений (56/105_gre),,319,1,https://comfy.ua/nibler-detskij-s-setochkoj-canpol-babies-zelenyj-56-105-gre.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807254197,,,,,1745323,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,"Насадка для ніблерів Canpol babies Змінні сіточки, білі 3 шт. (56/131)",,199,1,https://comfy.ua/nasadka-dlja-niblerov-canpol-babies-smennye-setochki-belye-3-sht-56-131.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254201,,,,,1745307,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,"Насадка для ніблерів Canpol babies Змінна сіточка, силіконова прозора, 1 шт. (56/111)",,119,1,https://comfy.ua/nasadka-dlja-niblerov-canpol-babies-smennaja-setochka-silikonovaja-prozrachnaja-1-sht-56-111.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807254202,7047800,LINDO,Помада защитная LINDO Детская 6+ мес 4.5г Клубника (U 772),45,1748254,"Детские товары >> Уход, купание и гигиена",lindo,"Бальзам для губ дитячий Lindo полуничка, 4.5 м (U 772)",,75,1,https://comfy.ua/bal-zam-dlja-gub-detskij-lindo-klubnichka-4-5-g-u-772.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807254205,,,,,1745316,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,"Насадка для ніблерів Canpol babies Набір змінних силіконових сіточок прозорий, 2 шт. (56/011)",,129,1,https://comfy.ua/nasadka-dlja-niblerov-canpol-babies-nabor-smennyh-silikonovyh-setochek-prozrachnyj-2-sht-56-011.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
807254211,,,,,1745309,Comfy KIDS >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,"Ніблер дитячий Canpol babies силіконовий, рожевий (56/110_pin)",,319,1,https://comfy.ua/nibler-detskij-canpol-babies-silikonovyj-rozovyj-56-110-pin.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254212,7047801,LINDO,Помада защитная LINDO Детская 6+ мес Мороженное (U 773),47,1748263,"Comfy KIDS >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Бальзам для губ дитячий Lindo морозиво, 4.5 м (U 773)",,59,1,https://comfy.ua/bal-zam-dlja-gub-detskij-lindo-morozhenoe-4-5-g-u-773.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
807254214,,,,,1745324,Comfy KIDS >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Canpol babies,canpol-babies,"Ніблер дитячий Canpol babies Силіконовий для годування, зелений з рожевим (56/010)",,319,1,https://comfy.ua/nibler-detskij-canpol-babies-silikonovyj-dlja-kormlenija-zelenyj-s-rozovym-56-010.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254216,,,,,1748247,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Шампунь для дітей Lindo без сліз з Д-Пантенол і екстрактом алое, 300 мл. (U 780)",,86,1,https://comfy.ua/shampun-dlja-detej-lindo-bez-slez-s-d-pantenol-i-jekstraktom-aloje-300-ml-u-780.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807254217,,,,,1748248,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Шампунь для дітей Lindo без сліз з Д-Пантенол і екстрактом ромашки, 300 мл. (U 781)",,86,1,https://comfy.ua/shampun-dlja-detej-lindo-bez-slez-s-d-pantenol-i-jekstraktom-romashki-300-ml-u-781.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807254238,,,,,1750209,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,Аксесуар для дитячих поїльників Lovi Насадка/трубочка для кружки (74/000),,275,1,https://comfy.ua/aksessuar-dlja-detskih-poil-nikov-lovi-nasadka-trubochka-dlja-kruzhki-74-000.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
807254239,,,,,.1750214,Детские товары >> Кормление,canpol-babies,Аксесуар для дитячих поїльників Canpol babies Щітки для чищення трубочок і насадок (7/408),,172,1,https://comfy.ua/aksessuar-dlja-detskih-poil-nikov-canpol-babies-schetki-dlja-chistki-trubochek-i-nasadok-7-408.html,210,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254240,,,,,1750212,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Аксесуар для дитячих поїльників Canpol babies Трубочки для спортивних поїльників 56/113, 56/109, 2 шт. (56/106)",,115,1,https://comfy.ua/aksessuar-dlja-detskih-poil-nikov-canpol-babies-trubochki-dlja-sportivnyh-poil-nikov-56-113-56-109-2-sht-56-106.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
807254241,,,,,.1750211,Детские товары >> Кормление,canpol-babies,"Аксесуар для дитячих поїльників Canpol babies Трубочки для поїльника, 2 шт. (4/111)",,98,1,https://comfy.ua/aksessuar-dlja-detskih-poil-nikov-canpol-babies-trubochki-dlja-poil-nika-2-sht-4-111.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
