807254485,column,column,column,column,1748068,______________canpol_babies,canpolbabies,_____canpol_babies_18317,column,49,1,httpscomfyuabolshojpotoksoskadetskajasilikonovajacanpolbabies18317html,column,05112025_2127,column,__42,Фастів,0
807254485,,,,,1748068,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Великий потік соска дитяча силіконова Canpol babies 18/317,,49,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-canpol-babies-18-317.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
807254486,,,,,1748067,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Великий потік соска дитяча силіконова Canpol babies для каші 2 шт (18/118),,93,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-canpol-babies-dlja-kashi-2-sht-18-118.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
807254490,6702888,PHILIPS AVENT,Чашка-непроливайка AVENT (SCF804/04),421,1740524,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Чашка-непроливайка дитяча Philips 18м + 300 мл Pink (SCF804/04),,419,1,https://comfy.ua/chashka-neprolivajka-detskaja-philips-18m-300-ml-pink-scf804-04.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
807254491,6702887,PHILIPS AVENT,Чашка-непроливайка AVENT (SCF804/03),421,1740523,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Чашка-непроливайка дитяча Philips 18м + 300 мл Green (SCF804/03),,469,1,https://comfy.ua/chashka-neprolivajka-detskaja-philips-18m-300-ml-green-scf804-03.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
807254495,,,,,1745788,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Racing машини (темно-синій), 350 мл. (56/516_blud)",,385,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-racing-mashiny-temno-sinij-350-ml-56-516-blud.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
807254496,,,,,1745787,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Навчальний Cute Animals котик, з силіконовим носиком, 320 мл. (56/512_pin)",,345,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-obuchajuschij-cute-animals-kotik-s-silikonovym-nosikom-320-ml-56-512-pin.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254498,,,,,1745785,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Спортивний c трубочкою рожевий, 270 мл. (56/109_pin)",,285,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-sportivnyj-c-trubochkoj-rozovyj-270-ml-56-109-pin.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
807254499,,,,,1745784,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Навчальний Easy Start Sweet fun рожевий, 240 мл. (35/208_pin)",,220,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-obuchajuschij-easy-start-sweet-fun-rozovyj-240-ml-35-208-pin.html,255,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
807254500,,,,,1745783,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Навчальний Easy Start Sweet fun зелений, 240 мл. (35/208_gre)",,299,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-obuchajuschij-easy-start-sweet-fun-zelenyj-240-ml-35-208-gre.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254502,,,,,1745781,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Навчальний EasyStart Sweet Fun рожевий, 120 мл. (35/207_pin)",,215,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-obuchajuschij-easystart-sweet-fun-rozovyj-120-ml-35-207-pin.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254504,,,,,1745306,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,Контейнер для зберігання пустушок Lovi м'ятний (13/111_min),,255,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-lovi-mjatnyj-13-111-min.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
807254505,,,,,1745305,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,Контейнер для зберігання пустушок Lovi бежевий (13/111_bei),,255,1,https://comfy.ua/kontejner-dlja-hranenija-pustyshek-lovi-bezhevyj-13-111-bei.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254510,7047623,LINDO,Ручной молокоотсос LINDO (Pk 071),414,1745950,"Comfy KIDS >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Lindo",lindo,Механічний молоковідсмоктувач Lindo с бутылочкой для кормления (Pk 071),,579,1,https://comfy.ua/mehanicheskij-molokootsos-lindo-s-butylochkoj-dlja-kormlenija-pk-071.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
807254511,,,,,1745771,"Детские товары >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Canpol babies",canpol-babies,Електричний молоковідсмоктувач Canpol babies Easy&Natural (12/207),,3579,1,https://comfy.ua/jelektricheskij-molokootsos-canpol-babies-easy-natural-12-207.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
807254515,,,,,1745879,Детские товары >> Кормление,lovi,"Стакан-непроливайка дитячий Lovi JUNIOR Salt&Pepper с трубочкой, 350 мл.  (35/357)",,649,1,https://comfy.ua/stakan-neprolivajka-detskij-lovi-junior-salt-pepper-s-trubochkoj-350-ml-35-357.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254516,,,,,1745770,Детские товары >> Кормление,canpol-babies,Електричний молоковідсмоктувач Canpol babies EasyStart (12/201),,3219,1,https://comfy.ua/jelektricheskij-molokootsos-canpol-babies-easystart-12-201.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
807254517,,,,,1745871,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,"Чашка-непроливайка дитяча Lovi Indian Summer для девочки JUNIOR, 250 мл. (35/346girl)",,509,1,https://comfy.ua/chashka-neprolivajka-detskaja-lovi-indian-summer-dlja-devochki-junior-250-ml-35-346girl.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254518,,,,,1745890,Детские товары >> Кормление,lovi,"Стакан-непроливайка дитячий Lovi Lovely Girl JUNIOR с трубочкой, 350 мл. (35/355girl)",,649,1,https://comfy.ua/stakan-neprolivajka-detskij-lovi-lovely-girl-junior-s-trubochkoj-350-ml-35-355girl.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254520,,,,,1745889,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,"Стакан-непроливайка дитячий Lovi Lovely Boy JUNIOR с трубочкой, 350 мл. (35/355boy)",,649,1,https://comfy.ua/stakan-neprolivajka-detskij-lovi-lovely-boy-junior-s-trubochkoj-350-ml-35-355boy.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
