808604488,6687023,neo_tools,_neo_tools__900__11628,565,1771146,______________neo_tools,neotools,_neo_tools_11628_neo_900_,column,565,1,httpscomfyuamolotokneotools11628neo900ghtml,column,05112025_2226,column,__42,Фастів,0
808604488,6687023,NEO TOOLS,Молоток Neo Tools жестянщика 900 г (11-628),565,1771146,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Neo Tools",neo-tools,Молоток Neo Tools 11-628 NEO 900 г,,565,1,https://comfy.ua/molotok-neo-tools-11-628-neo-900-g.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808604497,6871700,GRAPHITE,"""Держатель бит GRAPHITE 1/4"""" 60 мм (56H554)""",139,1770845,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки GRAPHITE,graphite,Тримач для біт GRAPHITE сталь S2 60 мм (56H554),,139,1,https://comfy.ua/derzhatel-dlja-bit-graphite-stal-s2-60-mm-56h554.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
808604999,,,,,1771079,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",agestar,Зовнішній карман AgeStar Gray (3UBNF5C),,679,1,https://comfy.ua/vneshnij-karman-agestar-gray-3ubnf5c.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
808605153,6673373,JBL,Портативная акустика JBL Charge 5 Green (JBLCHARGE5GRN),6499,1773713,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Charge 5 Green (JBLCHARGE5GRN),,6199,1,https://comfy.ua/portativnaja-akustika-jbl-charge-5-green-jblcharge5grn.html,7799,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
808605253,7057915,VLADI TOYS,Мозаика VLADI TOYS Зоопарк (ZB2002-02),659,1765112,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Vladi Toys,vladi-toys,Дерев'яна мозаїка Vladi Toys Зоопарк (ZB2002-02),,628,1,https://comfy.ua/derevjannaja-mozaika-vladi-toys-zoopark-zb2002-02.html,795,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
808605259,6434292,BEURER,Электрический молокоотсос BEURER BY 70,12977,1774555,"Детские товары >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Beurer",beurer,Електричний молоковідсмоктувач Beurer BY 70,,12979,1,https://comfy.ua/jelektricheskij-molokootsos-beurer-by-70.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
808605266,6687872,ASUS,Монитор ASUS ProArt Display PA148CTV (90LM06E0-B01170),19999,1774226,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus ProArt PA148CTV,,19999,1,https://comfy.ua/monitor-asus-proart-pa148ctv.html,21499,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
808605270,,,,,1763831,Детские товары >> Детская комната и безопасность,tega-baby,"""Матрацик пеленальний жорсткий Tega Baby Дикий захід: Оленя """"50х70"""" (Білий)""",,898,1,https://comfy.ua/matrasik-pelenal-nyj-mjagkij-tega-baby-dikij-zapad-olenenok-50h70-belyj.html,1009,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
808605281,6376005,SIGIKID,Рюкзак SIGIKID Arrows (24640SK),1055,1774523,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Arrows (24640SK),,1509,1,https://comfy.ua/rjukzak-detskij-sigikid-arrows-24640sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808605283,6375978,SIGIKID,Рюкзак SIGIKID Forest (24835SK),1039,1774525,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Forest (24835SK),,1265,1,https://comfy.ua/rjukzak-detskij-sigikid-forest-24835sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
