808696094,6705505,bosch,_bosch__gds_18v1050_h_06019j8500,12840,1769618,Инструменты и автотовары >> Электроинструменты,bosch,__bosch_gds_18v1050_h_18_06019j8500,column,12839,1,httpscomfyuacatalogproductviewid2087253,column,05112025_2141,column,__42,Фастів,0
808696094,6705505,BOSCH,Гайковерт BOSCH ударный GDS 18V-1050 H (0.601.9J8.500),12840,1769618,Инструменты и автотовары >> Электроинструменты,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 18В (0.601.9J8.500),,12839,1,https://comfy.ua/catalog/product/view/id/2087253,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
808714877,,,,,1768986,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",real-el,Стабілізатор напруги REAL-EL STAB ENERGY-2000,,2649,1,https://comfy.ua/catalog/product/view/id/2081253,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,2
808725226,6688873,TEFAL,Точилка для ножей TEFAL Fresh Kitchen (K2090514),599,1773689,Посуда >> Нарезка и измельчение >> Точила для ножей >> Точила для ножей Tefal,tefal,Точилка кухонних ножів Tefal Fresh Kitchen (K2090514),,599,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-tefal-fresh-kitchen-k2090514.html,759,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,2
808726785,6688871,TEFAL,Лопатка Tefal Ingenio Black (K2060814),259,1773687,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Лопатка кухонна Tefal Ingenio (K2060814),,259,1,https://comfy.ua/lopatka-kuhonnaja-tefal-ingenio-k2060814.html,399,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
808726910,,,,,1743487,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм -3.5 мм PowerPlant 1m (CA912841),,79,1,https://comfy.ua/catalog/product/view/id/2116703,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
808726911,,,,,1743486,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм - RCA PowerPlant 3.5mm Stereo Plug - 2xRCA 1.5m (CA912834),,299,1,https://comfy.ua/catalog/product/view/id/2116673,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
808736440,,,,,.1774148,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",asus,Монітор Asus VA27AQSB,,10599,1,https://comfy.ua/monitor-asus-va27aqsb.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
808812770,,,,,1743487,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм -3.5 мм PowerPlant 1m (CA912841),,79,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-powerplant-1m-ca912841.html,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
808812771,,,,,1743486,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель 3.5 мм - RCA PowerPlant 3.5mm Stereo Plug - 2xRCA 1.5m (CA912834),,299,1,https://comfy.ua/kabel-3-5-mm-rca-powerplant-3-5mm-stereo-plug-2xrca-1-5m-ca912834.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
808833576,6705092,KRAUFF,Ковш KRAUFF Herzog 2 л (26-247-011),805,1752277,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Krauff,krauff,"""Ківш Krauff 26-247-011 Herzog """"2 л""",,805,1,https://comfy.ua/kovsh-krauff-26-247-011-herzog-2-l.html,1327,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
808840659,6733412,KARCHER,Насадка KARCHER T-Racer T 7 (2.644-074.0),3994,1774371,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары для минимойки >> Аксессуары для минимойки Karcher,karcher,Насадка для мінімийки Karcher T-Racer T 7 Plus Т450 (2.644-074.0),,3995,1,https://comfy.ua/nasadka-dlja-minimojki-karcher-t-racer-t-7-plus-t450-2-644-074-0.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
808847166,6686919,EINHELL,Технический фен Einhell X-Change TE-HA 18 Li - Solo (4520500),3389,1774404,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические Einhell,einhell,Технічний фен Einhell TE-HA 18 Li (4520500),,3389,1,https://comfy.ua/tehnicheskij-fen-einhell-te-ha-18-li-4520500.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
808849354,6678954,TEFAL,Весы напольные TEFAL PP1400V0,799,1771069,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Tefal,tefal,Ваги підлогові Tefal Premiss PP1400V0,,799,1,https://comfy.ua/vesy-napol-nye-tefal-pp1400v0.html,1199,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
808849436,6907250,FIRST,Тостер FIRST FA-5368-3,729,1743162,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры First,first,Тостер First FA-5368-3 White,,895,1,https://comfy.ua/toster-first-fa-5368-3-white.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
808863455,,,,,1774208,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF03WHMEU,,9549,1,https://comfy.ua/catalog/product/view/id/2122533,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
808869166,,,,,1774730,Техника для кухни >> Мелкая техника,grunhelm,Термопот Grunhelm GTP352S,,1719,1,https://comfy.ua/catalog/product/view/id/2123943,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
808879001,,,,,1764718,Посуда >> Для приготовления,tescoma,Сковорода для млинців tescoma 594244 Presto 24 см,,1299,1,https://comfy.ua/catalog/product/view/id/2080533,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
808879672,6439677,NUVITA,Набор ложечек NUVITA Синий и салатовый 7 шт (NV1410Blue),129,1770906,Детские товары >> Кормление,nuvita,Набір дитячих столових приборів для малюка Nuvita 6м + 7 шт. Синій/Салатовий (NV1410Blue),,129,1,https://comfy.ua/catalog/product/view/id/2125493,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
808898181,,,,,.1761825,Детские товары >> Прогулки и поездки,peg-perego,Платформа для автокрісел Peg-Perego Primo Viaggio ISOFIX 0 + 1,,5499,1,https://comfy.ua/platforma-dlja-avtokresel-peg-perego-primo-viaggio-isofix-0-1.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
808898204,6656498,GRUNHELM,Микроволновая печь GRUNHELM 23MX723-B,2789,1633495,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 23MX723-B,,2789,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-23mx723-b.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
808898211,6439677,NUVITA,Набор ложечек NUVITA Синий и салатовый 7 шт (NV1410Blue),129,1770906,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Nuvita,nuvita,Набір дитячих столових приборів для малюка Nuvita 6м + 7 шт. Синій/Салатовий (NV1410Blue),,129,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-nuvita-6m-7-sht-sinij-salatovyj-nv1410blue.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
808898260,,,,,.1765688,Детские товары >> Детский транспорт,razor,Двоколісний самокат Razor A5 Lux Red/Silver (314392),,5549,1,https://comfy.ua/dvuhkoljosnyj-samokat-razor-a5-lux-red-silver-314392.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
808898280,6633285,GRUNHELM,Термопот GRUNHELM GTP352S,1719,1774730,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Grunhelm,grunhelm,Термопот Grunhelm GTP352S,,1719,1,https://comfy.ua/termopot-grunhelm-gtp352s.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
808898291,,,,,1766093,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,"""Брязкальце BabyOno з пищалки """"Кролик Юлія"""", 9х24 см (621)""",,325,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-krolik-julija-9h24-sm-621.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
809440417,6653900,GRUNHELM,Стиральная машина GRUNHELM GWF-WS753BGH,6599,1775102,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Grunhelm,grunhelm,Пральна машина Grunhelm GWF-WS753BGH,,6599,1,https://comfy.ua/stiral-naja-mashina-grunhelm-gwf-ws753bgh.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
809443738,,,,,1760443,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Protective for Samsung Galaxy Buds Live Deep Blue (705688),,299,1,https://comfy.ua/chehol-dlja-naushnikov-becover-protective-for-samsung-galaxy-buds-live-deep-blue-705688.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443751,,,,,1714345,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Purple (705411),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-purple-705411.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
