809446120,column,column,column,column,1774208,____________smeg,smeg,__smeg_klf03whmeu,column,9549,1,httpscomfyuajelektricheskijchajniksmegklf03whmeuhtml,column,05112025_2009,column,__42,Фастів,0
809446120,,,,,1774208,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF03WHMEU,,9549,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf03whmeu.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
809446905,,,,,1582936,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Перехідник аудіо Vention USB 3.1 Type-C / USB 3.0 OTG AF / microUSB BM (CDIB0),,179,1,https://comfy.ua/perehodnik-audio-vention-usb-3-1-type-c-usb-3-0-otg-af-microusb-bm-cdib0.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
809457480,,,,,1776271,Детские товары >> Детский транспорт,nixor-sports,Спортивний самокат Nixor Sports PROFESSIONAL 200 (NA01058),,2199,1,https://comfy.ua/catalog/product/view/id/2132973,3150,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
809482045,,,,,1776530,Детские товары >> Игрушки для малышей,same-toy,Пальчиковий театр Same Toy Тиранозавр зелений (X371Ut),,229,1,https://comfy.ua/catalog/product/view/id/2134163,289,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
809493278,,,,,1776532,Детские товары >> Игрушки для малышей,same-toy,Пальчиковий театр Same Toy Собака помаранчевий (X373Ut),,119,1,https://comfy.ua/catalog/product/view/id/2134253,199,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
809645422,7036181,SKARB MATKI,Пена SKARB MATKI для мытья младенцев и детей 250 мл (1912),269,1776795,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Піна для ванни дитяча Skarb Matki 250 мл. (1912),,269,1,https://comfy.ua/pena-dlja-vanny-detskaja-skarb-matki-250-ml-1912.html,299,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
809645423,7036175,SKARB MATKI,Шампунь SKARB MATKI для младенцев и детей 250 мл (1905),179,1776802,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Шампунь для дітей Skarb Matki 250 мл. (1905),,189,1,https://comfy.ua/shampun-dlja-detej-skarb-matki-250-ml-1905.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
809645426,7036180,SKARB MATKI,Пена для интимной гигиены SKARB MATKI для детей 250 мл (1915),269,1776796,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Піна для ванни дитяча Skarb Matki для інтимної гігієни 250 мл. (1915),,279,1,https://comfy.ua/pena-dlja-vanny-detskaja-skarb-matki-dlja-intimnoj-gigieny-250-ml-1915.html,309,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
809645428,7036177,SKARB MATKI,Лосьон увлажняющий SKARB MATKI для ванны с оливковым маслом 250 мл (1914),199,1776850,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Лосьйон для ванни дитячий Skarb Matki зволожуючий з оливковою олією 250 мл. (1914),,197,1,https://comfy.ua/los-on-dlja-vanny-detskij-skarb-matki-uvlazhnjajuschij-s-olivkovym-maslom-250-ml-1914.html,219,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
809645433,,,,,1776856,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Емульсія для ванни дитяча Skarb Matki масляна Емулінка 250 мл. (1952),,414,1,https://comfy.ua/jemul-sija-dlja-vanny-detskaja-skarb-matki-masljanaja-emulinka-250-ml-1952.html,459,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
