809911173,column,column,column,column,1770093,________________frosch,frosch,____frosch___750_,column,104,1,httpscomfyuasredstvodljachistkiunitazafroschgelmalina750mlhtml,176,05112025_1912,column,__42,Фастів,0
809911173,,,,,1770093,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Frosch,frosch,Засіб для чищення унітазу Frosch Гель Малина 750 мл,,104,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-frosch-gel-malina-750-ml.html,176,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
809911839,,,,,1769996,Бытовая химия >> Средства для чистки техники >> Средства для чистки стиральных машин >> Средства для чистки стиральных машин Dr. Beckmann,dr-beckmann,Засіб від накипу для пральних машин Dr.BECKMANN Очищувач 250 мл,,140,1,https://comfy.ua/sredstvo-ot-nakipi-dlja-stiral-nyh-mashin-dr-beckmann-ochistitel-250-ml.html,205,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
809911841,7066697,DR. BECKMANN,Чистящее средство Dr.Beckmann для стиральных машин 250 г (55703),204,1770033,Бытовая химия >> Средства для чистки техники >> Средства для чистки стиральных машин >> Средства для чистки стиральных машин Dr. Beckmann,dr-beckmann,Засіб від накипу для пральних машин Dr.BECKMANN Гігієнічний очищувач 250 г,,152,1,https://comfy.ua/sredstvo-ot-nakipi-dlja-stiral-nyh-mashin-dr-beckmann-gigienicheskij-ochistitel-250-g.html,227,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
809911842,,,,,1770076,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Frosch,frosch,Засіб для миття у ванній кімнаті Frosch Очищувач лимон д/ванни і душа 500 мл,,129,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-frosch-ochistitel-limon-d-vanny-i-dusha-500-ml.html,209,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
809911843,,,,,1770088,Бытовая химия >> Для кухни и мытья посуды,frosch,Засіб для ручного миття посуду Frosch Бальзам ZERO Аурум 500 мл,,146,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-frosch-bal-zam-zero-sensitiv-500-ml.html,209,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
809911846,,,,,1770124,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch з натуральним екстрактом Грейпфрут 500 мл,,144,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-s-natural-nym-jekstraktom-grejpfrut-500-ml.html,242,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
809911852,6583498,DR-BECKMANN,Гигиенический очиститель DR-BECKMANN для холодильников 250 г (4008455024516),283,1770048,Бытовая химия >> Средства для чистки техники >> Средства для чистки холодильников >> Средства для чистки холодильников Dr. Beckmann,dr-beckmann,Засіб для чищення холодильника Dr.BECKMANN Гігієнічний очисник д/холодильників 250 мл,,262,1,https://comfy.ua/chistjaschee-sredstvo-dlja-holodil-nika-dr-beckmann-gigienicheskij-ochistitel-d-holodil-nikov-250-ml.html,331,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
809911917,,,,,1769989,Бытовая химия >> Все для уборки,dr-beckmann,Засіб по догляду за підлоговими покриттями Dr.BECKMANN Очиститель со щеткой 650 мл,,209,1,https://comfy.ua/mojuschee-sr-vo-dlja-kovrovogo-pokrytija-dr-beckmann-ochistitel-so-schetkoj-650-ml.html,442,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
809911919,,,,,1770080,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Frosch,frosch,Засіб для ручного миття посуду Frosch Зелений Лимон 5 л,,439,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-frosch-zelenyj-limon-5-l.html,763,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
809917803,7072590,JOSEPH JOSEPH,Терка JOSEPH JOSEPH Handi-Zest (20049),1599,1070162,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Joseph Joseph",joseph-joseph,Терка Joseph Joseph 20049,,1355,1,https://comfy.ua/terka-joseph-joseph-20049.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
809922473,,,,,.1777029,Инструменты и автотовары >> Ручные инструменты,stal,Ножівка Сталь 300 мм,,155,1,https://comfy.ua/nozhovka-stal-300-mm.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
809922474,6660809,СТАЛЬ,Пила садовая СТАЛЬ 180 мм (40117),147,1777030,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Сталь",stal,Ножівка Сталь 180 мм (40117),,235,1,https://comfy.ua/nozhovka-stal-180-mm-40117.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
809922476,,,,,1777026,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Сталь",stal,Ножівка Сталь 400 мм (40118),,349,1,https://comfy.ua/nozhovka-stal-400-mm-40118.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
809922477,,,,,1777027,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Сталь",stal,Ножівка Сталь 450 мм (40119),,389,1,https://comfy.ua/nozhovka-stal-450-mm-40119.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
809922479,,,,,.1777034,Инструменты и автотовары >> Ручные инструменты,stal,Ножівка Сталь 350 мм,,369,1,https://comfy.ua/nozhovka-stal-350-mm.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
