809991591,column,column,column,column,1770116,________________frosch,frosch,____frosch__500_,column,134,1,httpscomfyuachistjascheesredstvodljasteklafroschspirtovoe500mlhtml,168,05112025_1941,column,__42,Фастів,0
809991591,,,,,1770116,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Frosch,frosch,Засіб для чищення скла Frosch Спиртове 500 мл,,134,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-frosch-spirtovoe-500-ml.html,168,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
809991593,,,,,1770110,Бытовая химия >> Все для уборки,frosch,Засіб для чищення унітазу Frosch Гель М'ята 750 мл,,104,1,https://comfy.ua/catalog/product/view/id/2146093,176,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
809991617,,,,,1770127,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch д/гладких поверхонь Апе льсін 500 мл,,152,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-d-gladkih-poverhnostej-ape-l-sin-500-ml.html,209,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
809991619,,,,,1770082,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Frosch,frosch,Засіб для миття у ванній кімнаті Frosch Гігієнічний д/ванни лаванда 500 мл,,138,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-frosch-gigienicheskij-d-vanny-lavanda-500-ml.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
809991623,,,,,1770115,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Frosch,frosch,Засіб для чищення скла Frosch Спиртовий 5 л,,469,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-frosch-spirtovoj-5-l.html,774,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
810001849,,,,,1777050,Инструменты и автотовары >> Электроинструменты,forte2,Полірувальна шліфмашина Forte DWS-180-VL,,3665,1,https://comfy.ua/poliroval-naja-shlifmashina-forte-dws-180-vl.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
810001850,,,,,1777051,Инструменты и автотовары >> Электроинструменты,,Полірувальна шліфмашина Forte DWS-225-VLВ,,7115,1,https://comfy.ua/poliroval-naja-shlifmashina-forte-dws-225-vlv.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
810001854,6664134,VERSAILLES,Набор бокалов VERSAILLES MISKET VS-1170 170 мл 6 шт (103138),395,1774949,Посуда >> Для сервировки >> Бокалы >> Бокалы Versailles,versailles,Набір келихів Versailles Misket 170 мл 6 шт. (VS-1170),,485,1,https://comfy.ua/nabor-bokalov-versailles-misket-170-ml-6-sht-vs-1170.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
810001857,6660030,VERSAILLES,Набор бокалов VERSAILLES MISKET 6 х 190 мл (VS-1190),477,1774944,Посуда >> Для сервировки >> Бокалы >> Бокалы Versailles,versailles,Набір келихів Versailles Misket 190 мл 6 шт. VS-1190),,477,1,https://comfy.ua/nabor-bokalov-versailles-misket-190-ml-6-sht-vs-1190.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
810001858,6660031,VERSAILLES,Набор бокалов VERSAILLES MISKET 6 х 365 мл (VS-1645),481,1774945,Посуда >> Для сервировки >> Бокалы >> Бокалы Versailles,versailles,Набір келихів Versailles Misket 365 мл 6 шт.(VS-1645),,536,1,https://comfy.ua/nabor-bokalov-versailles-misket-365-ml-6-sht-vs-1645.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
810001860,6660086,VERSAILLES,Набор бокалов VERSAILLES MISKET 175 мл 6 шт (VS-1175),399,1774951,Посуда >> Для сервировки >> Бокалы >> Бокалы Versailles,versailles,Набір келихів Versailles Misket 175 мл 6 шт. (VS-1175),,495,1,https://comfy.ua/nabor-bokalov-versailles-misket-175-ml-6-sht-vs-1175.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
810002163,,,,,.1776088,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь столярная тип G 125 мм (47117),,299,1,https://comfy.ua/strubcina-stal-stoljarnaja-tip-g-125-mm-47117.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
810002164,,,,,.1776523,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь F 300x120 мм (47106),,419,1,https://comfy.ua/strubcina-stal-f-300x120-mm-47106.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
810002167,,,,,.1776518,Инструменты и автотовары >> Ручные инструменты,stal,Лещата Сталь Стандарт 125 мм (47135),,1999,1,https://comfy.ua/tiski-stal-standart-125-mm-47135.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
810007966,,,,,1741140,Детские товары >> Игрушки,strateg,"""Твістер Strateg """"Твой гопак"""" укр  (887)""",,135,1,https://comfy.ua/tvister-strateg-tvoj-gopak-ukr-887.html,,06.11.2025 0:10,,"вул. Соборна, 42",Фастів,0
810020595,7066693,FROSCH,Чистящее средство Frosch Мята 750 мл (714170),150,1770110,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Frosch,frosch,Засіб для чищення унітазу Frosch Гель М'ята 750 мл,,104,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-frosch-gel-mjata-750-ml.html,176,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
810025462,6653897,GRUNHELM,Стиральная машина GRUNHELM GWF-WS701W,5999,1764752,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Grunhelm,grunhelm,Пральна машина Grunhelm GWF-WS701W,,5999,1,https://comfy.ua/stiral-naja-mashina-grunhelm-gwf-ws701w.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
810025635,6665993,ARIETE,Паровая система ARIETE 6248,3999,1777668,Техника для дома >> Мелкая техника >> Утюги >> Утюги Ariete,ariete,Вертикальний відпарювач стаціонарний Ariete 6248,,4999,1,https://comfy.ua/vertikal-nyj-otparivatel-stacionarnyj-ariete-6248.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
810027971,6670395,KELA,Органайзер KELA Benito для кухонных принадлежностей (11659),959,1675316,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Органайзер для столових приборів Kela Benito (11659),,959,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-kela-benito-11659.html,1599,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
810034146,,,,,1772362,Comfy KIDS >> Школа >> Мебель для школы >> Мебель для школы FunDesk,fundesk,Комплект меблів шкільний 2 елементи FunDesk Bellissima grey,,4589,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-fundesk-bellissima-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034148,,,,,1772382,Детские товары >> Школа,fundesk,Комплект меблів шкільний 2 елементи FunDesk Sole Grey,,3589,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-fundesk-sole-blue.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034154,,,,,1772393,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Pink,,4489,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-pink.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034161,,,,,1772392,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Grey,,4889,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-grey.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
810034167,,,,,1772391,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Blue,,4489,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-blue.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034168,,,,,1772375,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Olea Pink,,3189,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-olea-pink.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
